Quarter,Time,Down,ToGo,Location,PHI,NOR,Detail,EPB,EPA
3,6:45,2,6,PHI 44,0,3,Alvin Kamara right tackle for 3 yards (tackle by Jordan Davis),2.390,2.080
3,6:07,3,3,PHI 41,0,3,Alvin Kamara right tackle for -1 yards (tackle by Jalen Carter),2.080,0.460
3,5:21,4,4,PHI 42,0,3,Matthew Hayball punts 33 yards returned by Cooper DeJean for 6 yards (tackle by Payton Turner and Isaiah Foskey),0.460,0.220
3,5:10,1,10,PHI 15,0,3,Saquon Barkley right tackle for 9 yards (tackle by Paulson Adebo),-0.220,0.620
3,4:31,2,1,PHI 24,0,3,Saquon Barkley right guard for no gain (tackle by Cameron Jordan). Penalty on DeVonta Smith: Illegal Formation 5 yards (accepted) (no play),0.620,-0.110
3,4:03,2,6,PHI 19,0,3,Jalen Hurts pass complete short right to DeVonta Smith for 9 yards (tackle by Paulson Adebo),-0.110,0.810
3,3:15,1,10,PHI 28,0,3,Saquon Barkley right guard for 20 yards (tackle by Paulson Adebo),0.810,2.130
3,2:33,1,10,PHI 48,0,3,Jalen Hurts pass complete short middle to Kenneth Gainwell for 8 yards (tackle by Pete Werner),2.130,2.660
3,1:44,2,2,NOR 44,0,3,Jalen Hurts pass incomplete deep left intended for DeVonta Smith,2.660,1.950
3,1:37,3,2,NOR 44,0,3,Penalty on PHI: Offensive Too Many Men on Field 5 yards (accepted) (no play),1.950,1.290
3,1:37,3,7,NOR 49,0,3,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell,1.290,0.000
3,1:35,4,7,NOR 49,0,3,Braden Mann punts blocked by J.T. Gray (tackle by Nolan Smith),0.000,-3.780
3,1:29,1,10,PHI 27,0,3,Alvin Kamara left guard for 3 yards (tackle by Nakobe Dean and Jordan Davis),3.780,3.640
3,1:04,2,7,PHI 24,0,3,Alvin Kamara left guard for 6 yards (tackle by Zack Baun and C.J. Gardner-Johnson),3.640,3.840
3,0:27,3,1,PHI 18,0,3,Alvin Kamara left guard for no gain (tackle by Nakobe Dean and C.J. Gardner-Johnson),3.840,2.400
4,15:00,4,1,PHI 18,0,3,Alvin Kamara left tackle for no gain (tackle by Zack Baun),2.400,-0.040
4,14:58,1,10,PHI 18,0,3,Jalen Hurts pass complete short right to DeVonta Smith for 6 yards,0.040,0.410
4,14:27,2,4,PHI 24,0,3,Jalen Hurts pass complete short right to DeVonta Smith for 6 yards (tackle by Paulson Adebo),0.410,0.940
4,13:54,1,10,PHI 30,0,3,Jalen Hurts pass complete short right to DeVonta Smith for 5 yards (tackle by Paulson Adebo),0.940,1.070
4,13:27,2,5,PHI 35,6,3,Saquon Barkley left guard for 65 yards touchdown,1.070,7.000
4,13:17,,,NOR 15,7,3,Jake Elliott kicks extra point good,0.000,0.000
4,13:17,,,PHI 35,7,3,Braden Mann kicks off 65 yards touchback.,0.000,0.940
4,13:17,1,10,NOR 30,7,3,Derek Carr pass complete short right to Cedrick Wilson for 3 yards (tackle by Brandon Graham),0.940,0.800
4,12:35,2,7,NOR 33,7,3,Alvin Kamara left end for 16 yards (tackle by C.J. Gardner-Johnson),0.800,2.190
4,11:49,1,10,NOR 49,7,3,Derek Carr pass incomplete short right,2.190,1.650
4,11:44,,,,,,Timeout #1 by New Orleans Saints,,
4,11:44,2,10,NOR 49,7,3,Derek Carr pass complete deep left to Alvin Kamara for 27 yards (tackle by Zack Baun),1.650,3.970
4,11:06,1,10,PHI 24,7,3,Alvin Kamara right end for -1 yards (tackle by Nakobe Dean),3.970,3.300
4,10:39,2,11,PHI 25,7,3,Derek Carr pass incomplete deep right intended for Rashid Shaheed (defended by Darius Slay),3.300,2.610
4,10:33,3,11,PHI 25,7,3,Derek Carr pass complete short left to Mason Tipton for 5 yards (tackle by Zack Baun),2.610,2.150
4,9:52,4,6,PHI 20,7,6,Blake Grupe 38 yard field goal good,2.150,3.000
