Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
3,0:50,1,10,DAL 40,28,6,Dak Prescott pass complete short middle to Jake Ferguson for 26 yards (tackle by Roquan Smith),1.600,3.310
3,0:28,1,10,BAL 34,28,6,Dak Prescott sacked by. Dak Prescott fumbles recovered by Dak Prescott at BAL-38,3.310,2.230
4,15:00,2,14,BAL 38,28,6,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Ar'Darius Washington),2.230,1.550
4,14:55,3,14,BAL 38,28,6,Dak Prescott pass incomplete short left intended for Jake Ferguson,1.550,0.720
4,14:52,4,14,BAL 38,28,6,Dak Prescott pass incomplete deep left intended for Brandin Cooks. Penalty on Brandin Cooks: Offensive Pass Interference 10 yards (declined),0.720,-1.530
4,14:47,1,10,BAL 39,28,6,Derrick Henry left end for 11 yards (tackle by Trevon Diggs),1.530,2.260
4,14:02,1,10,DAL 50,28,6,Justice Hill left tackle for 2 yards (tackle by Mazi Smith),2.260,1.980
4,13:26,2,8,DAL 48,28,6,Lamar Jackson pass complete short right to Rashod Bateman for 12 yards (tackle by Damone Clark and Donovan Wilson),1.980,3.180
4,12:42,1,10,DAL 36,28,6,Justice Hill left end for 1 yard (tackle by Micah Parsons),3.180,2.770
4,12:09,2,9,DAL 35,28,6,Derrick Henry right tackle for 4 yards (tackle by Damone Clark),2.770,2.610
4,11:27,3,5,DAL 31,28,6,Derrick Henry up the middle for 3 yards (tackle by DeMarcus Lawrence and Eric Kendricks),2.610,1.700
4,10:44,4,2,DAL 28,28,6,Justin Tucker 46 yard field goal no good,1.700,-1.330
4,10:41,1,10,DAL 36,28,6,Dak Prescott pass complete short middle to Rico Dowdle for 5 yards (tackle by Roquan Smith),1.330,1.470
4,10:19,2,5,DAL 41,28,6,Dak Prescott pass complete short left to Jake Ferguson for 16 yards (tackle by Tavius Robinson),1.470,2.720
4,9:49,1,10,BAL 43,28,6,Dak Prescott pass incomplete short right intended for Rico Dowdle,2.720,2.180
4,9:45,2,10,BAL 43,28,6,Dak Prescott pass complete deep middle to Jalen Tolbert for 19 yards (tackle by Brandon Stephens),2.180,3.970
4,9:19,1,10,BAL 24,28,6,Dak Prescott pass complete deep middle to KaVontae Turpin for 23 yards (tackle by Marcus Williams and Eddie Jackson),3.970,6.970
4,8:57,1,1,BAL 1,28,12,Dak Prescott up the middle for 1 yard touchdown,6.970,7.000
4,8:53,,,BAL 2,28,12,Two Point Attempt: Dak Prescott pass incomplete intended for intended for CeeDee Lamb,1.000,-1.000
4,8:53,,,DAL 35,28,12,Brandon Aubrey kicks onside 9 yards recovered by C.J. Goodwin,0.000,-1.860
4,8:51,1,10,DAL 44,28,12,Rico Dowdle left tackle for 3 yards (tackle by Kyle Hamilton and Michael Pierce),1.860,1.720
4,8:30,2,7,DAL 47,28,12,Dak Prescott pass complete short left to Jalen Tolbert for 8 yards (tackle by Brandon Stephens),1.720,2.590
4,8:02,1,10,BAL 45,28,12,Dak Prescott pass incomplete short right intended for Jake Ferguson (defended by Kyle Van Noy),2.590,2.040
4,7:58,2,10,BAL 45,28,12,Dak Prescott pass complete short right to Jake Ferguson for 6 yards (tackle by Kyle Hamilton),2.040,2.150
4,7:35,3,4,BAL 39,28,12,Dak Prescott pass complete short right to Jalen Brooks for 24 yards (tackle by Nate Wiggins),2.150,4.580
4,7:16,1,10,BAL 15,28,12,Dak Prescott pass incomplete short right intended for Luke Schoonmaker,4.580,3.950
4,7:12,2,10,BAL 15,28,18,Dak Prescott pass complete short middle to Jalen Tolbert for 15 yards touchdown,3.950,7.000
4,7:07,,,BAL 2,28,18,Two Point Attempt: Dak Prescott pass incomplete intended for intended for Rico Dowdle,1.000,-1.000
4,7:07,,,DAL 35,28,18,Brandon Aubrey kicks onside 12 yards returned by Zay Flowers for no gain,0.000,2.460
4,7:05,1,10,DAL 47,28,18,Derrick Henry right end for 6 yards (tackle by Damone Clark),2.460,2.720
4,6:24,2,4,DAL 41,28,18,Derrick Henry up the middle for 1 yard (tackle by Donovan Wilson and Eric Kendricks),2.720,2.150
4,5:37,3,3,DAL 40,28,18,Lamar Jackson pass incomplete short right intended for Mark Andrews,2.150,0.590
4,5:34,4,3,DAL 40,28,18,Jordan Stout punts 31 yards downed by Sanoussi Kane,0.590,0.380
4,5:26,1,10,DAL 9,28,18,Dak Prescott pass complete short middle to Deuce Vaughn for 8 yards (tackle by Roquan Smith and Kyle Hamilton),-0.380,-0.020
4,5:03,2,2,DAL 17,28,18,Dak Prescott pass incomplete short middle intended for CeeDee Lamb,-0.020,-0.480
4,5:00,3,2,DAL 17,28,18,Dak Prescott pass complete short right to Hunter Luepke for 24 yards (tackle by Ar'Darius Washington),-0.480,1.660
4,4:30,1,10,DAL 41,28,18,Dak Prescott pass incomplete short right intended for Jalen Brooks (defended by Marlon Humphrey),1.660,1.120
4,4:26,2,10,DAL 41,28,18,Dak Prescott pass complete short left to Luke Schoonmaker for 5 yards (tackle by Brandon Stephens),1.120,1.090
4,3:59,3,5,DAL 46,28,18,Dak Prescott pass incomplete deep middle intended for Jake Ferguson. Penalty on Marcus Williams: Illegal Contact 5 yards (accepted) (no play),1.090,2.320
4,3:55,1,10,BAL 49,28,18,Dak Prescott pass incomplete short right intended for CeeDee Lamb,2.320,1.780
4,3:50,2,10,BAL 49,28,18,Dak Prescott pass incomplete deep right intended for CeeDee Lamb (defended by Ar'Darius Washington). Penalty on Odafe Oweh: Roughing the Passer 15 yards (accepted) (no play),1.780,3.310
4,3:45,1,10,BAL 34,28,18,Dak Prescott pass incomplete short middle intended for Hunter Luepke (defended by Roquan Smith),3.310,2.770
4,3:41,2,10,BAL 34,28,18,Dak Prescott pass complete short left to Rico Dowdle for 18 yards (tackle by Kyle Hamilton and Eddie Jackson),2.770,4.510
4,3:10,1,10,BAL 16,28,18,Dak Prescott pass incomplete deep left intended for Brandin Cooks (defended by Brandon Stephens),4.510,3.900
4,3:05,2,10,BAL 16,28,18,Dak Prescott pass incomplete deep right,3.900,3.080
4,2:58,3,10,BAL 16,28,24,Dak Prescott pass complete deep left to KaVontae Turpin for 16 yards touchdown,3.080,7.000
4,2:53,,,BAL 15,28,25,Brandon Aubrey kicks extra point good,0.000,0.000
