Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA
3,0:23,1,10,BUF 26,10,37,Trevor Lawrence pass complete short right to Brian Thomas for 16 yards (tackle by Taylor Rapp and Christian Benford),3.840,4.910
4,15:00,1,10,BUF 10,10,37,Travis Etienne left guard for 3 yards (tackle by Dorian Williams),4.910,4.760
4,14:24,2,7,BUF 7,10,37,Penalty on Walker Little: False Start 5 yards (accepted) (no play),4.760,3.860
4,14:24,2,12,BUF 12,10,37,Trevor Lawrence pass incomplete short middle intended for Gabriel Davis (defended by Damar Hamlin),3.860,3.100
4,14:20,3,12,BUF 12,10,37,Trevor Lawrence pass incomplete short left intended for Christian Kirk (defended by Ja'Marcus Ingram),3.100,2.630
4,14:13,4,12,BUF 12,10,37,Penalty on Walker Little: False Start 5 yards (accepted) (no play),2.630,2.310
4,14:13,4,17,BUF 17,10,37,Trevor Lawrence sacked by Von Miller for -10 yards,2.310,-0.740
4,14:09,1,10,BUF 27,10,37,James Cook left tackle for -1 yards (tackle by Jeremiah Ledbetter),0.740,0.060
4,13:31,2,11,BUF 26,10,37,Ray Davis left tackle for 10 yards (tackle by Devin Lloyd and Ventrell Miller),0.060,0.700
4,12:51,3,1,BUF 36,10,37,Ray Davis right tackle for -2 yards (tackle by Ronald Darby and Andre Cisco),0.700,-1.110
4,12:02,,,,,,Timeout #2 by Buffalo Bills,,
4,12:02,4,3,BUF 34,10,37,Sam Martin punts 49 yards fair catch by Devin Duvernay at JAC-17. Penalty on Ja'Marcus Ingram: Unnecessary Roughness / Offense 15 yards (accepted),-1.110,-1.070
4,11:55,1,10,JAX 32,10,37,Trevor Lawrence sacked by Casey Toohill for -8 yards,1.070,-0.550
4,11:26,2,18,JAX 24,10,37,Trevor Lawrence pass complete short middle to Travis Etienne for 1 yard (tackle by Dorian Williams),-0.550,-1.090
4,10:50,3,17,JAX 25,10,37,Trevor Lawrence pass complete short middle to Travis Etienne for 7 yards (tackle by Damar Hamlin),-1.090,-1.240
4,10:04,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,10:04,4,10,JAX 32,10,37,Trevor Lawrence pass incomplete short left intended for Brian Thomas,-1.240,-3.450
4,9:58,1,10,JAX 32,10,37,Penalty on Reggie Gilliam: False Start 5 yards (accepted) (no play),3.450,3.120
4,9:58,1,15,JAX 37,10,37,Ray Davis left end for 2 yards (tackle by Yasir Abdullah),3.120,2.500
4,9:14,2,13,JAX 35,10,37,Ray Davis up the middle for 7 yards (tackle by Ventrell Miller),2.500,2.740
4,8:32,3,6,JAX 28,10,37,Mitchell Trubisky pass complete short right to Curtis Samuel for 3 yards (tackle by Chad Muma and Josh Hines-Allen),2.740,1.900
4,7:48,4,3,JAX 25,10,40,Tyler Bass 43 yard field goal good,1.900,3.000
4,7:45,,,BUF 35,10,40,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
4,7:45,1,10,JAX 30,10,40,Travis Etienne right tackle for 14 yards (tackle by Damar Hamlin and Kaiir Elam),0.940,1.860
4,7:10,1,10,JAX 44,10,40,D'Ernest Johnson right end for 1 yard (tackle by Austin Johnson),1.860,1.450
4,6:31,2,9,JAX 45,10,40,Mac Jones sacked by Javon Solomon for -17 yards. Mac Jones fumbles (forced by Javon Solomon) recovered by Casey Toohill at JAC-21,1.450,-4.170
4,6:21,1,10,JAX 21,10,40,Ty Johnson up the middle for 1 yard (tackle by Travon Walker and Ventrell Miller),4.170,3.760
4,5:36,2,9,JAX 20,10,40,Ty Johnson right end for 18 yards (tackle by Antonio Johnson),3.760,6.740
4,4:51,1,2,JAX 2,10,40,Ty Johnson left guard for -1 yards (tackle by Jeremiah Ledbetter and Chad Muma),6.740,5.530
4,4:08,2,3,JAX 3,10,46,Ray Davis right guard for 3 yards touchdown,5.530,7.000
4,4:04,,,JAX 15,10,47,Tyler Bass kicks extra point good,0.000,0.000
4,4:04,,,BUF 35,10,47,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
4,4:04,1,10,JAX 30,10,47,Mac Jones pass complete short right to Brian Thomas for 9 yards (tackle by Brandon Codrington and Joe Andreessen),0.940,1.610
4,3:34,2,1,JAX 39,10,47,Mac Jones pass complete short left to Christian Kirk for 5 yards (tackle by Ja'Marcus Ingram),1.610,1.860
4,3:02,1,10,JAX 44,10,47,Travis Etienne left tackle for 22 yards (tackle by Kaiir Elam),1.860,3.310
4,2:30,1,10,BUF 34,10,47,Mac Jones pass complete short right to Christian Kirk for 1 yard (tackle by Brandon Codrington),3.310,2.910
4,2:25,2,9,BUF 33,10,47,Mac Jones pass incomplete short left intended for Christian Kirk (defended by Kaiir Elam),2.910,2.210
4,2:20,3,9,BUF 33,10,47,Mac Jones pass incomplete short middle intended for Parker Washington. Penalty on Brandon Codrington: Defensive Pass Interference 10 yards (accepted) (no play),2.210,4.040
4,2:15,1,10,BUF 23,10,47,D'Ernest Johnson right guard for 11 yards (tackle by Cole Bishop and Damar Hamlin),4.040,4.780
4,2:00,1,10,BUF 12,10,47,Penalty on Brandon Scherff: False Start 5 yards (accepted) (no play),4.780,4.320
4,2:00,1,15,BUF 17,10,47,Mac Jones pass complete short left to Devin Duvernay for -1 yards (tackle by Kaiir Elam),4.320,3.310
4,1:28,2,16,BUF 18,10,47,Mac Jones pass incomplete short left intended for D'Ernest Johnson,3.310,2.730
4,1:25,3,16,BUF 18,10,47,Mac Jones pass complete short left to Josiah Deguara for 8 yards (tackle by Joe Andreessen),2.730,2.760
4,0:48,4,8,BUF 10,10,47,Mac Jones pass incomplete short middle intended for Parker Washington (defended by Brandon Codrington),2.760,0.380
4,0:44,1,10,BUF 10,10,47,Mitchell Trubisky kneels for -1 yards,-0.380,-0.850
