Quarter,Time,Down,ToGo,Location,NYG,CLE,Detail,EPB,EPA
3,10:08,1,10,CLE 44,21,7,Daniel Jones pass incomplete deep right intended for Malik Nabers,2.650,2.110
3,10:02,2,10,CLE 44,21,7,Daniel Jones pass incomplete deep right intended for Malik Nabers (defended by Greg Newsome),2.110,1.420
3,9:56,3,10,CLE 44,21,7,Penalty on Andrew Thomas: False Start 5 yards (accepted) (no play),1.420,0.760
3,9:56,3,15,CLE 49,21,7,Daniel Jones aborted snap recovered by Daniel Jones at NYG-46 Daniel Jones pass incomplete short right. Penalty on Jon Runyan: Ineligible Downfield Pass 5 yards (declined),0.760,0.000
3,9:50,4,15,CLE 49,21,7,Penalty on Chris Manhertz: False Start 5 yards (accepted) (no play),0.000,-0.320
3,9:50,4,20,NYG 46,21,7,Jamie Gillan punts 47 yards returned by James Proche for 12 yards (tackle by Daniel Bellinger),-0.320,-0.150
3,9:40,1,10,CLE 19,21,7,Deshaun Watson pass incomplete short left intended for Amari Cooper,0.150,-0.390
3,9:37,2,10,CLE 19,21,7,Deshaun Watson pass complete short right to Jordan Akins for 8 yards (tackle by Isaiah Simmons),-0.390,-0.030
3,8:58,3,2,CLE 27,21,7,Deshaun Watson pass complete short left to Jerome Ford for 7 yards (tackle by Micah McFadden),-0.030,1.200
3,8:27,1,10,CLE 34,21,7,Deshaun Watson pass incomplete deep left intended for Amari Cooper,1.200,0.660
3,8:23,2,10,CLE 34,21,7,Deshaun Watson pass complete short left to Jerry Jeudy for 9 yards (tackle by Bobby Okereke and Cordale Flott),0.660,1.160
3,8:00,3,1,CLE 43,21,7,Jerome Ford up the middle for 3 yards (tackle by Jason Pinnock and Rakeem Nunez-Roches),1.160,1.990
3,7:27,1,10,CLE 46,21,7,Deshaun Watson sacked by and Azeez Ojulari for -8 yards and Kayvon Thibodeaux for -8 yards,1.990,0.370
3,6:46,2,18,CLE 38,21,7,Deshaun Watson pass complete short right to Jordan Akins for 10 yards (tackle by Bobby Okereke and Isaiah Simmons),0.370,1.030
3,6:15,3,8,CLE 48,21,7,Deshaun Watson pass incomplete deep middle intended for Jerry Jeudy (defended by Brian Burns),1.030,-0.190
