Quarter,Time,Down,ToGo,Location,HOU,MIN,Detail,EPB,EPA
4,4:39,1,10,HOU 25,7,34,Davis Mills pass complete short right to Nico Collins for 25 yards (tackle by Bo Richter),0.610,2.260
4,4:17,1,10,MIN 50,7,34,Davis Mills pass incomplete short right intended for Stefon Diggs,2.260,1.710
4,4:11,2,10,MIN 50,7,34,Davis Mills pass complete short middle to J.J. Taylor for 2 yards (tackle by Josh Metellus),1.710,1.290
4,3:46,3,8,MIN 48,7,34,Davis Mills pass complete short left to Stefon Diggs for 6 yards (tackle by Camryn Bynum),1.290,0.460
4,3:05,4,2,MIN 42,7,34,Davis Mills pass complete short left to Stefon Diggs for 9 yards (tackle by Brian Asamoah and Shaquill Griffin),0.460,3.380
4,2:38,1,10,MIN 33,7,34,Davis Mills pass complete deep right to Tank Dell for 17 yards (tackle by Theo Jackson),3.380,4.510
4,2:29,1,10,MIN 16,7,34,Davis Mills sacked by Jalen Redmond for -7 yards,4.510,3.010
4,2:00,2,17,MIN 23,7,34,Davis Mills pass complete short left to Stefon Diggs for 3 yards (tackle by Shaquill Griffin),3.010,2.740
4,1:31,3,14,MIN 20,7,34,Davis Mills pass complete deep middle to Tank Dell for 17 yards (tackle by Byron Murphy),2.740,6.510
4,1:10,1,3,MIN 3,7,34,Davis Mills pass incomplete short left intended for Nico Collins,6.510,5.530
4,1:02,,,,,,Timeout #3 by Minnesota Vikings,,
4,1:02,2,3,MIN 3,7,34,Davis Mills pass incomplete short middle intended for Nico Collins (defended by Shaquill Griffin),5.530,4.720
4,0:57,3,3,MIN 3,7,34,Davis Mills pass incomplete short right intended for Nico Collins,4.720,3.040
4,0:52,4,3,MIN 3,7,34,Davis Mills pass incomplete short left intended for Nico Collins (defended by Theo Jackson),3.040,0.380
4,0:47,1,10,MIN 3,7,34,Nick Mullens kneels for no gain,-0.380,-0.780
