Quarter,Time,Down,ToGo,Location,SFO,TAM,Detail,EPB,EPA
2,7:01,3,3,TAM 48,10,0,Baker Mayfield pass complete short middle to Cade Otton for 9 yards (tackle by Fred Warner and Deommodore Lenoir),1.360,2.720
2,6:23,1,10,SFO 43,10,0,Baker Mayfield pass complete short left to Cade Otton for 2 yards (tackle by Sam Okuayinonu),2.720,2.450
2,5:46,2,8,SFO 41,10,0,Bucky Irving left tackle for 1 yard (tackle by Maliek Collins),2.450,1.880
2,5:07,3,7,SFO 40,10,0,Baker Mayfield pass complete short right to Cade Otton for 7 yards (tackle by Deommodore Lenoir and Fred Warner),1.880,3.380
2,4:44,1,10,SFO 33,10,0,Bucky Irving right tackle for 9 yards (tackle by Evan Anderson and Nick Bosa),3.380,4.050
2,4:08,2,1,SFO 24,10,0,Bucky Irving right tackle for 10 yards (tackle by Renardo Green),4.050,4.650
2,3:30,1,10,SFO 14,10,0,Sterling Shepard right end for 3 yards (tackle by De'Vondre Campbell),4.650,4.520
2,2:45,2,7,SFO 11,10,0,Baker Mayfield pass complete short middle to Cade Otton for 2 yards (tackle by Malik Mustapha and De'Vondre Campbell),4.520,4.050
2,2:00,3,5,SFO 9,10,0,Baker Mayfield pass complete short right to Bucky Irving for -3 yards (tackle by De'Vondre Campbell),4.050,2.630
2,1:17,4,8,SFO 12,10,3,Chase McLaughlin 30 yard field goal good,2.630,3.000
2,1:14,,,TAM 35,10,3,Trenton Gill kicks off 56 yards returned by Ronnie Bell for 23 yards (tackle by Tavierre Thomas and J.J. Russell),0.000,1.070
2,1:08,1,10,SFO 32,10,3,Brock Purdy pass complete short right to Jauan Jennings for 30 yards (tackle by Jordan Whitehead),1.070,3.050
2,0:43,1,10,TAM 38,10,3,Brock Purdy pass incomplete short middle,3.050,2.510
2,0:38,2,10,TAM 38,10,3,Brock Purdy pass incomplete short left intended for Jauan Jennings (defended by Josh Hayes),2.510,1.820
2,0:34,3,10,TAM 38,10,3,Brock Purdy pass complete short left to Ricky Pearsall for 7 yards (tackle by Zyon McCollum),1.820,1.380
2,0:29,4,3,TAM 31,10,3,Jake Moody 49 yard field goal no good,1.380,-1.530
2,0:25,1,10,TAM 39,10,3,Baker Mayfield pass incomplete short right intended for Cade Otton,1.530,0.990
2,0:22,2,10,TAM 39,10,3,Baker Mayfield pass complete short right to Rakim Jarrett for 13 yards (tackle by Renardo Green) Replay Assistant challenged the pass completion ruling and the original play was overturned. Baker Mayfield pass incomplete short right intended for Rakim Jarrett (defended by Renardo Green),0.990,0.300
2,0:19,,,,,,Timeout #1 by San Francisco 49ers,,
2,0:19,3,10,TAM 39,10,3,Penalty on Sam Okuayinonu: Neutral Zone Infraction 5 yards (accepted) (no play),0.300,0.960
2,0:19,3,5,TAM 44,10,3,Baker Mayfield pass incomplete short right intended for Cade Otton,0.960,-0.460
2,0:16,4,5,TAM 44,10,3,Trenton Gill punts 48 yards out of bounds,-0.460,0.380
2,0:08,1,10,SFO 8,10,3,Brock Purdy kneels for -1 yards,-0.380,-0.850
3,15:00,,,SFO 35,10,3,Jake Moody kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,TAM 30,10,3,Rachaad White right guard for 6 yards (tackle by Fred Warner and Malik Mustapha),0.940,1.200
3,14:17,2,4,TAM 36,10,3,Baker Mayfield pass incomplete deep middle intended for Trey Palmer (defended by Leonard Floyd),1.200,0.500
3,14:12,3,4,TAM 36,10,3,Baker Mayfield pass incomplete short right intended for Cade Otton,0.500,-0.980
3,14:05,4,4,TAM 36,10,3,Trenton Gill punts 44 yards recovered by Anthony Nelson at SF-21,-0.980,4.170
3,13:55,1,10,SFO 21,10,3,Bucky Irving left guard for 8 yards (tackle by Isaac Yiadom),4.170,4.950
3,13:20,2,2,SFO 13,10,3,Bucky Irving right guard for no gain (tackle by Deommodore Lenoir),4.950,4.240
3,12:45,3,2,SFO 13,10,3,Bucky Irving left tackle for 4 yards (tackle by De'Vondre Campbell and Malik Mustapha),4.240,5.140
3,12:05,1,9,SFO 9,10,9,Baker Mayfield pass complete short middle to Rachaad White for 9 yards touchdown,5.140,7.000
3,11:58,,,SFO 15,10,10,Chase McLaughlin kicks extra point good,0.000,0.000
3,11:58,,,TAM 35,10,10,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
3,11:58,1,10,SFO 30,10,10,Christian McCaffrey right guard for 13 yards (tackle by Antoine Winfield),0.940,1.800
3,11:16,1,10,SFO 43,10,10,Brock Purdy pass complete short left to Deebo Samuel for 10 yards (tackle by Josh Hayes and Antoine Winfield),1.800,2.460
3,10:32,1,10,TAM 47,10,10,Brock Purdy scrambles right end for 5 yards (tackle by YaYa Diaby). Penalty on Zyon McCollum: Illegal Contact 5 yards (accepted),2.460,3.120
3,10:00,1,10,TAM 37,10,10,Christian McCaffrey up the middle for -3 yards (tackle by Calijah Kancey),3.120,2.170
3,9:16,2,13,TAM 40,10,10,Brock Purdy pass complete short middle to Christian McCaffrey for 8 yards (tackle by Lavonte David and Christian Izien),2.170,2.540
3,8:33,3,5,TAM 32,10,10,Brock Purdy pass complete short middle to Deebo Samuel for 11 yards (tackle by Josh Hayes),2.540,4.170
3,7:50,1,10,TAM 21,10,10,Christian McCaffrey left end for 5 yards (tackle by Josh Hayes and Antoine Winfield),4.170,4.370
3,7:07,2,5,TAM 16,10,10,Brock Purdy pass incomplete short left intended for Jauan Jennings,4.370,3.630
3,7:03,3,5,TAM 16,10,10,Brock Purdy pass complete short left to Christian McCaffrey for 7 yards (tackle by Anthony Nelson),3.630,5.140
3,6:23,1,9,TAM 9,10,10,Isaac Guerendo up the middle for no gain (tackle by Jordan Whitehead and Lavonte David),5.140,4.380
3,5:46,2,9,TAM 9,10,10,Brock Purdy sacked by Joe Tryon-Shoyinka for -10 yards,4.380,2.490
3,5:06,3,19,TAM 19,10,10,Brock Purdy pass complete short right to Deebo Samuel for 4 yards (tackle by Calijah Kancey and Jordan Whitehead),2.490,2.440
3,4:25,4,15,TAM 15,13,10,Jake Moody 33 yard field goal good,2.440,3.000
3,4:21,,,SFO 35,13,10,Jake Moody kicks off 65 yards touchback.,0.000,0.940
3,4:21,1,10,TAM 30,13,10,Baker Mayfield pass complete short right to Sterling Shepard for 7 yards (tackle by Renardo Green),0.940,1.340
3,3:47,2,3,TAM 37,13,10,Rachaad White right guard for 5 yards (tackle by Robert Beal),1.340,1.730
3,3:07,1,10,TAM 42,13,10,Rachaad White up the middle for 1 yard (tackle by Fred Warner),1.730,1.320
3,2:25,2,9,TAM 43,13,10,Baker Mayfield pass complete short right to Rachaad White for 10 yards (tackle by Renardo Green),1.320,2.460
3,1:48,1,10,SFO 47,13,10,Rachaad White right guard for 8 yards (tackle by Nick Bosa),2.460,2.990
3,1:07,2,2,SFO 39,13,10,Rachaad White right guard for 5 yards (tackle by Deommodore Lenoir),2.990,3.310
3,0:26,1,10,SFO 34,13,10,Baker Mayfield pass incomplete deep right intended for Ryan Miller (defended by Renardo Green),3.310,2.770
3,0:17,2,10,SFO 34,13,10,Bucky Irving left end for 8 yards (tackle by Malik Mustapha),2.770,3.140
4,15:00,3,2,SFO 26,13,10,Bucky Irving up the middle for 14 yards (tackle by Ji'Ayir Brown and Malik Mustapha),3.140,4.780
4,14:24,1,10,SFO 12,13,16,Bucky Irving right end for 12 yards touchdown,4.780,7.000
4,14:18,,,SFO 15,13,17,Chase McLaughlin kicks extra point good,0.000,0.000
4,14:18,,,TAM 35,13,17,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
4,14:18,1,10,SFO 30,13,17,Brock Purdy pass complete short left to George Kittle for 33 yards (tackle by Jordan Whitehead and William Gholston),0.940,3.120
4,13:27,1,10,TAM 37,13,17,Brock Purdy pass incomplete short middle intended for Deebo Samuel,3.120,2.570
4,13:21,2,10,TAM 37,13,17,Christian McCaffrey left end for 1 yard (tackle by Lavonte David),2.570,2.010
4,12:37,3,9,TAM 36,13,17,Brock Purdy pass complete short right to Jauan Jennings for 4 yards (tackle by Christian Izien),2.010,1.260
4,11:54,4,5,TAM 32,13,17,Jake Moody 50 yard field goal no good,1.260,-1.600
4,11:50,1,10,TAM 40,13,17,Bucky Irving left guard for -2 yards (tackle by Jordan Elliott),1.600,0.780
4,11:16,2,12,TAM 38,13,17,Baker Mayfield pass complete short right to Rakim Jarrett for 6 yards (tackle by Renardo Green and Deommodore Lenoir),0.780,0.890
4,10:35,3,6,TAM 44,13,17,Baker Mayfield pass incomplete deep left intended for Sterling Shepard,0.890,-0.460
4,10:30,4,6,TAM 44,13,17,Trenton Gill punts 50 yards returned by Jacob Cowing for 30 yards (tackle by Sean Tucker and Trenton Gill),-0.460,-1.330
4,10:17,1,10,SFO 36,13,17,Christian McCaffrey right tackle for no gain (tackle by Jordan Whitehead and YaYa Diaby),1.330,0.790
4,9:36,2,10,SFO 36,13,17,Brock Purdy pass complete short right to Jauan Jennings for 11 yards (tackle by Zyon McCollum),0.790,2.060
4,8:55,1,10,SFO 47,13,17,Brock Purdy pass complete deep right to Christian McCaffrey for 30 yards (tackle by Antoine Winfield),2.060,4.040
4,8:13,1,10,TAM 23,13,17,Deebo Samuel left end for no gain (tackle by Josh Hayes),4.040,3.500
4,7:25,2,10,TAM 23,13,17,Brock Purdy pass incomplete short right. Penalty on Calijah Kancey: Unnecessary Roughness / Defense 12 yards (accepted) (no play),3.500,4.840
4,7:17,1,10,TAM 11,13,17,Brock Purdy pass incomplete short middle intended for Jauan Jennings (defended by Josh Hayes),4.840,4.140
4,7:14,2,10,TAM 11,19,17,Brock Purdy pass complete short left to George Kittle for 11 yards touchdown,4.140,7.000
4,7:02,,,TAM 15,20,17,Jake Moody kicks extra point good,0.000,0.000
4,7:02,,,SFO 35,20,17,Jake Moody kicks off 65 yards touchback.,0.000,0.940
4,7:02,1,10,TAM 30,20,17,Rachaad White right tackle for 1 yard (tackle by Kalia Davis),0.940,0.530
4,6:22,2,9,TAM 31,20,17,Baker Mayfield aborted snap recovered by Baker Mayfield at TB-27 and returned for -4 yards,0.530,-0.690
4,5:48,3,13,TAM 27,20,17,Baker Mayfield sacked by Nick Bosa for -10 yards,-0.690,-2.320
4,5:09,4,23,TAM 17,20,17,Trenton Gill punts 44 yards downed by Keenan Isaac,-2.320,-1.530
4,4:57,1,10,SFO 39,20,17,Brock Purdy pass complete short middle to Deebo Samuel for 32 yards (tackle by Antoine Winfield),1.530,3.640
4,4:48,1,10,TAM 29,20,17,Christian McCaffrey right end for 2 yards (tackle by Jordan Whitehead and Logan Hall),3.640,3.370
4,4:02,2,8,TAM 27,20,17,Brock Purdy sacked by Calijah Kancey for no gain. Brock Purdy fumbles (forced by Calijah Kancey) recovered by Jauan Jennings at TB-26,3.370,2.810
4,3:16,3,7,TAM 26,20,17,Brock Purdy pass incomplete short left intended for Christian McCaffrey (defended by Antoine Winfield),2.810,1.740
4,3:13,4,7,TAM 26,20,17,Jake Moody 44 yard field goal no good,1.740,-1.200
4,3:09,1,10,TAM 34,20,17,Baker Mayfield pass complete short right to Rachaad White for 6 yards (tackle by Leonard Floyd),1.200,1.470
