Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA
4,4:30,3,7,JAX 11,9,7,Sam Darnold pass incomplete short right intended for Justin Jefferson,3.620,2.700
4,4:26,4,7,JAX 11,12,7,John Parker Romo 29 yard field goal good,2.700,3.000
4,4:22,,,MIN 35,12,7,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
4,4:22,1,10,JAX 30,12,7,Mac Jones pass complete short left to Brian Thomas for 2 yards (tackle by Stephon Gilmore),0.940,0.660
4,3:47,2,8,JAX 32,12,7,Mac Jones pass deep right intended for Gabriel Davis is intercepted by Byron Murphy at JAC-49 and returned for 2 yards (tackle by Gabriel Davis),0.660,-2.460
4,3:39,1,10,JAX 47,12,7,Aaron Jones up the middle for 5 yards (tackle by Jeremiah Ledbetter),2.460,2.590
4,3:00,2,5,JAX 42,12,7,Aaron Jones up the middle for 4 yards (tackle by Andre Cisco),2.590,2.280
4,2:53,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,2:53,3,2,JAX 39,12,7,Sam Darnold sacked by Travon Walker for -8 yards,2.280,0.200
4,2:49,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,2:49,4,9,JAX 46,12,7,Ryan Wright punts 29 yards out of bounds,0.200,0.060
4,2:42,1,10,JAX 17,12,7,Mac Jones pass complete short right to Evan Engram for -1 yards (tackle by Ivan Pace),-0.060,-0.730
4,2:18,2,11,JAX 16,12,7,Mac Jones pass complete short right to Evan Engram for 5 yards,-0.730,-0.750
4,2:13,3,6,JAX 21,12,7,Mac Jones pass incomplete short right intended for Evan Engram Replay Assistant challenged the pass completion ruling and the original play was overturned. Mac Jones pass complete deep right to Evan Engram for 11 yards (tackle by Josh Metellus),-0.750,1.070
4,2:07,1,10,JAX 32,12,7,Mac Jones pass complete short left to Brian Thomas for 10 yards,1.070,1.800
4,2:03,1,10,JAX 43,12,7,Mac Jones sacked by Blake Cashman for no gain. Penalty on Blake Cashman: Face Mask (15 Yards) 15 yards (accepted) (no play),1.800,2.720
4,1:57,1,10,MIN 43,12,7,Mac Jones pass deep right intended for Gabriel Davis is intercepted by Camryn Bynum in end zone and returned for no gain (tackle by Gabriel Davis) Replay Assistant challenged the runner was down by contact ruling and the original play was overturned. Mac Jones pass deep right intended for Gabriel Davis is intercepted by Camryn Bynum at MIN-1 and returned for no gain (tackle by Gabriel Davis),2.720,0.380
4,1:52,1,10,MIN 1,12,7,Sam Darnold up the middle for 1 yard (tackle by Travon Walker),-0.380,-0.710
4,1:50,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,1:50,2,9,MIN 2,12,7,Aaron Jones up the middle for 2 yards (tackle by Devin Lloyd),-0.710,-1.070
4,1:04,,,,,,Timeout #1 by Minnesota Vikings,,
4,1:04,3,7,MIN 4,12,7,Aaron Jones left guard for 6 yards (tackle by Andre Cisco). Penalty on Travon Walker: Unnecessary Roughness / Defense 15 yards (accepted),-1.070,0.610
4,0:51,1,10,MIN 25,12,7,Sam Darnold kneels for no gain,0.610,0.060
4,0:29,2,10,MIN 25,12,7,Sam Darnold kneels for -1 yards,0.060,-0.760
