Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA
2,0:23,1,10,DAL 30,14,6,Cooper Rush pass incomplete short left intended for Jalen Brooks (defended by Quinyon Mitchell),0.940,0.390
2,0:17,2,10,DAL 30,14,6,Cooper Rush pass incomplete short right intended for Jake Ferguson (defended by Jalen Carter),0.390,-0.300
2,0:13,3,10,DAL 30,14,6,Cooper Rush pass incomplete short left intended for Hunter Luepke,-0.300,-1.370
2,0:09,4,10,DAL 30,14,6,Bryan Anger punts 57 yards downed by Jalen Moreno-Cropper,-1.370,0.320
2,0:01,1,10,PHI 13,14,6,Jalen Hurts kneels for -1 yards,-0.320,-0.850
3,15:00,,,DAL 35,14,6,Brandon Aubrey kicks off 60 yards returned by Will Shipley for 32 yards (tackle by C.J. Goodwin),0.000,1.400
3,14:54,1,10,PHI 37,14,6,Saquon Barkley up the middle for 1 yard (tackle by Mazi Smith and Eric Kendricks),1.400,0.990
3,14:10,2,9,PHI 38,14,6,Jalen Hurts pass incomplete short right,0.990,0.300
3,14:03,3,9,PHI 38,14,6,Jalen Hurts pass incomplete deep right intended for A.J. Brown (defended by Caelen Carson),0.300,-0.850
3,13:56,4,9,PHI 38,14,6,Braden Mann punts 51 yards fair catch by KaVontae Turpin at DAL-11,-0.850,0.370
3,13:48,1,10,DAL 11,14,6,Rico Dowdle right guard for 1 yard (tackle by Jalen Carter),-0.370,-0.710
3,13:12,2,9,DAL 12,14,6,Cooper Rush pass complete short right to Rico Dowdle for 1 yard (tackle by Nakobe Dean),-0.710,-1.190
3,12:31,3,8,DAL 13,14,6,Cooper Rush pass complete short right to Jalen Tolbert for 1 yard (tackle by Isaiah Rodgers),-1.190,-2.470
3,11:55,4,7,DAL 14,14,6,Bryan Anger punts 54 yards returned by Cooper DeJean for 31 yards (tackle by Bryan Anger),-2.470,-3.120
3,11:42,1,10,DAL 37,14,6,Saquon Barkley right tackle for 7 yards (tackle by Eric Kendricks),3.120,3.520
3,11:08,2,3,DAL 30,14,6,Saquon Barkley up the middle for 4 yards (tackle by DeMarvion Overshown and Mazi Smith),3.520,3.840
3,10:44,1,10,DAL 26,14,6,Saquon Barkley right end for 1 yard (tackle by Eric Kendricks),3.840,3.430
3,9:56,2,9,DAL 25,14,6,Jalen Hurts pass incomplete short left. Penalty on Caelen Carson: Illegal Contact 5 yards (accepted) (no play),3.430,4.240
3,9:56,1,10,DAL 20,14,6,Kenneth Gainwell right end for 13 yards (tackle by Malik Hooker),4.240,5.600
3,9:31,1,7,DAL 7,14,6,Kenneth Gainwell right tackle for 2 yards (tackle by Eric Kendricks and DeMarvion Overshown),5.600,5.150
3,9:06,2,5,DAL 5,14,6,Jalen Hurts pass incomplete short right,5.150,4.260
3,9:00,3,5,DAL 5,20,6,Jalen Hurts pass complete short left to Johnny Wilson for 5 yards touchdown,4.260,7.000
3,8:52,,,DAL 15,21,6,Jake Elliott kicks extra point good,0.000,0.000
3,8:52,,,PHI 35,21,6,Braden Mann kicks off 71 yards returned by KaVontae Turpin for 36 yards (tackle by Kelee Ringo),0.000,0.940
3,8:45,1,10,DAL 30,21,6,Cooper Rush pass complete short left to Rico Dowdle for 2 yards (tackle by Nakobe Dean),0.940,0.660
3,8:08,2,8,DAL 32,21,6,Cooper Rush pass complete short left to Jake Ferguson for 3 yards (tackle by Jordan Davis),0.660,0.370
3,7:33,3,5,DAL 35,21,6,Cooper Rush pass incomplete deep right intended for CeeDee Lamb (defended by Darius Slay),0.370,-1.040
3,7:25,4,5,DAL 35,21,6,Bryan Anger punts 53 yards returned by Cooper DeJean for 5 yards (tackle by Damone Clark),-1.040,0.060
3,7:13,1,10,PHI 17,21,6,Jalen Hurts pass complete deep right to A.J. Brown for 44 yards (tackle by Caelen Carson),-0.060,2.980
