Quarter,Time,Down,ToGo,Location,DET,HOU,Detail,EPB,EPA
4,6:32,1,10,HOU 39,20,23,Jahmyr Gibbs left guard for 6 yards (tackle by Jimmie Ward),2.980,3.250
4,5:58,2,4,HOU 33,20,23,Jahmyr Gibbs right end for -7 yards (tackle by Henry To'oTo'o),3.250,1.620
4,5:13,3,11,HOU 40,20,23,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,1.620,0.590
4,5:06,4,11,HOU 40,23,23,Jake Bates 58 yard field goal good,0.590,3.000
4,5:01,,,DET 35,23,23,Jake Bates kicks off 65 yards touchback.,0.000,0.940
4,5:01,1,10,HOU 30,23,23,Joe Mixon up the middle for 4 yards (tackle by Jack Campbell),0.940,0.930
4,4:26,2,6,HOU 34,23,23,C.J. Stroud pass incomplete short right intended for John Metchie,0.930,0.230
4,4:17,3,6,HOU 34,23,23,C.J. Stroud pass complete short right to John Metchie for 9 yards (tackle by Terrion Arnold),0.230,1.800
4,3:39,1,10,HOU 43,23,23,Joe Mixon right tackle for 2 yards (tackle by Jack Campbell),1.800,1.520
4,2:54,2,8,HOU 45,23,23,C.J. Stroud pass complete short left to Tank Dell for 9 yards (tackle by Brian Branch),1.520,2.520
4,2:47,1,10,DET 46,23,23,Joe Mixon left guard for 4 yards (tackle by Carlton Davis),2.520,2.520
4,2:08,2,6,DET 42,23,23,Joe Mixon right tackle for 2 yards (tackle by Ben Niemann and D.J. Reader),2.520,2.080
4,2:00,3,4,DET 40,23,23,C.J. Stroud pass incomplete short middle intended for Xavier Hutchinson (defended by Terrion Arnold) (defended by Alex Anzalone),2.080,0.590
4,1:56,,,,,,Timeout #1 by Detroit Lions,,
4,1:56,4,4,DET 40,23,23,Ka'imi Fairbairn 58 yard field goal no good,0.590,-2.130
4,1:51,1,10,DET 48,23,23,Jahmyr Gibbs left guard for 4 yards (tackle by Jalen Pitre and Tommy Togiai),2.130,2.120
4,1:46,,,,,,Timeout #1 by Houston Texans,,
4,1:46,2,6,HOU 48,23,23,Jahmyr Gibbs left end for no gain (tackle by Azeez Al-Shaair),2.120,1.420
4,1:40,,,,,,Timeout #2 by Houston Texans,,
4,1:40,3,6,HOU 48,23,23,Jared Goff pass complete short right to Amon-Ra St. Brown for 11 yards (tackle by Azeez Al-Shaair),1.420,3.120
4,1:33,,,,,,Timeout #3 by Houston Texans,,
4,1:33,1,10,HOU 37,23,23,Jahmyr Gibbs up the middle for 2 yards (tackle by Danielle Hunter and Tommy Togiai),3.120,2.840
4,0:49,2,8,HOU 35,23,23,David Montgomery up the middle for 1 yard (tackle by Danielle Hunter and Jalen Pitre),2.840,2.280
4,0:04,,,,,,Timeout #2 by Detroit Lions,,
4,0:04,3,7,HOU 34,26,23,Jake Bates 52 yard field goal good,2.280,3.000
