Quarter,Time,Down,ToGo,Location,MIA,LAR,Detail,EPB,EPA
4,1:55,2,10,LAR 43,23,12,Matthew Stafford pass complete short right to Puka Nacua for 10 yards (tackle by Jordyn Brooks and Jalen Ramsey),1.250,2.460
4,1:38,1,10,MIA 47,23,12,Matthew Stafford pass complete deep left to Demarcus Robinson for 23 yards,2.460,3.970
4,1:30,1,10,MIA 24,23,12,Matthew Stafford pass incomplete short middle intended for Tyler Johnson,3.970,3.430
4,1:27,2,10,MIA 24,23,12,Matthew Stafford pass complete short right to Tyler Johnson for 9 yards (tackle by Tyus Bowser),3.430,4.170
4,1:12,3,1,MIA 15,23,12,Kyren Williams right guard for 3 yards (tackle by Jordan Poyer and Jalen Ramsey),4.170,4.780
4,0:53,1,10,MIA 12,23,12,Matthew Stafford pass incomplete short left intended for Demarcus Robinson,4.780,4.100
4,0:46,2,10,MIA 12,23,12,Matthew Stafford pass incomplete short right intended for Puka Nacua,4.100,3.120
4,0:42,3,10,MIA 12,23,15,Joshua Karty 31 yard field goal good,3.120,3.000
4,0:39,,,LAR 35,23,15,Joshua Karty kicks onside 8 yards returned by Duke Riley for no gain,0.000,2.720
4,0:38,1,10,LAR 43,23,15,Tua Tagovailoa kneels for -1 yards,2.720,2.040
