Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA
4,8:27,1,10,BAL 41,28,38,Lamar Jackson right end for -2 yards (tackle by Akeem Davis-Gaither),1.660,0.850
4,7:44,2,12,BAL 39,28,38,Lamar Jackson pass complete deep right to Zay Flowers for 17 yards,0.850,2.650
4,7:09,1,10,CIN 44,28,38,Lamar Jackson pass incomplete short middle intended for Justice Hill (defended by B.J. Hill),2.650,2.110
4,7:06,2,10,CIN 44,28,38,Lamar Jackson pass complete short left to Zay Flowers for 12 yards (tackle by Jalen Davis),2.110,3.450
4,6:41,1,10,CIN 32,28,38,Lamar Jackson pass incomplete short middle,3.450,2.900
4,6:36,2,10,CIN 32,28,38,Lamar Jackson pass incomplete deep right intended for Nelson Agholor,2.900,2.210
4,6:34,3,10,CIN 32,28,38,Lamar Jackson pass complete short middle to Tylan Wallace for 12 yards (tackle by Geno Stone and Vonn Bell). Penalty on Trey Hendrickson: Roughing the Passer 10 yards (accepted),2.210,4.910
4,6:18,1,10,CIN 10,28,38,Lamar Jackson scrambles right end for 4 yards (tackle by Sam Hubbard),4.910,4.950
4,5:36,2,6,CIN 6,34,38,Lamar Jackson aborted snap recovered by Lamar Jackson at CIN-6 Lamar Jackson pass complete short middle to Isaiah Likely for 6 yards touchdown,4.950,7.000
4,5:24,,,CIN 15,35,38,Justin Tucker kicks extra point good,0.000,0.000
4,5:24,,,BAL 35,35,38,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
4,5:24,1,10,CIN 30,35,38,Joe Burrow pass complete short left to Ja'Marr Chase for 19 yards (tackle by Roquan Smith),0.940,2.190
4,4:39,1,10,CIN 49,35,38,Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Trenton Simpson),2.190,2.920
4,3:59,1,10,BAL 40,35,38,Zack Moss left tackle for 3 yards (tackle by Odafe Oweh),2.920,2.780
4,3:15,2,7,BAL 37,35,38,Joe Burrow pass complete short middle to Tee Higgins for 9 yards (tackle by Brandon Stephens),2.780,3.710
4,3:08,,,,,,Timeout #1 by Baltimore Ravens,,
4,3:08,1,10,BAL 28,35,38,Zack Moss left guard for no gain (tackle by Travis Jones),3.710,3.170
4,3:05,,,,,,Timeout #2 by Baltimore Ravens,,
4,3:05,2,10,BAL 28,35,38,Penalty on Orlando Brown: False Start 5 yards (accepted) (no play),3.170,2.490
4,3:05,2,15,BAL 33,35,38,Joe Burrow pass short right intended for Ja'Marr Chase is intercepted by Marlon Humphrey at BAL-28 and returned for no gain (tackle by Ja'Marr Chase),2.490,-0.810
4,3:01,1,10,BAL 28,35,38,Lamar Jackson pass complete short right to Rashod Bateman for 9 yards (tackle by Germaine Pratt),0.810,1.480
4,2:32,2,1,BAL 37,35,38,Lamar Jackson pass incomplete deep right intended for Zay Flowers,1.480,0.760
4,2:27,3,1,BAL 37,35,38,Justice Hill left tackle for 2 yards (tackle by Kris Jenkins and Logan Wilson),0.760,1.530
4,2:07,1,10,BAL 39,35,38,Lamar Jackson pass complete short left to Tylan Wallace for 19 yards (tackle by Cam Taylor-Britt),1.530,2.790
4,1:56,1,10,CIN 42,35,38,Lamar Jackson pass incomplete short middle intended for Zay Flowers,2.790,2.240
4,1:53,2,10,CIN 42,35,38,Lamar Jackson pass complete short left to Mark Andrews for 4 yards (tackle by Germaine Pratt),2.240,2.080
4,1:43,,,,,,Timeout #3 by Baltimore Ravens,,
4,1:43,3,6,CIN 38,35,38,Lamar Jackson pass incomplete short right intended for Rashod Bateman,2.080,0.720
4,1:40,4,6,CIN 38,38,38,Justin Tucker 56 yard field goal good,0.720,3.000
4,1:35,,,BAL 35,38,38,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
4,1:35,1,10,CIN 30,38,38,Joe Burrow sacked by Nnamdi Madubuike for -7 yards,0.940,-0.550
4,1:00,2,17,CIN 23,38,38,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Nate Wiggins),-0.550,-1.220
4,0:53,3,17,CIN 23,38,38,Chase Brown up the middle for 9 yards (tackle by Kyle Van Noy),-1.220,-1.240
4,0:09,,,,,,Timeout #1 by Cincinnati Bengals,,
4,0:09,4,8,CIN 32,38,38,Ryan Rehkow punts 57 yards out of bounds,-1.240,0.000
,,,,,,,Ravens won the coin toss Ravens to receive the overtime kickoff.,,
OT,10:00,,,CIN 35,38,38,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
OT,10:00,1,10,BAL 30,38,38,Derrick Henry left guard for no gain (tackle by Sam Hubbard and B.J. Hill),0.940,0.390
OT,9:24,2,10,BAL 30,38,38,Derrick Henry right end for 8 yards (tackle by Sam Hubbard),0.390,0.760
OT,8:51,3,2,BAL 38,38,38,Derrick Henry left guard for 3 yards (tackle by Sam Hubbard),0.760,1.660
OT,8:19,1,10,BAL 41,38,38,Lamar Jackson pass incomplete short right intended for Rashod Bateman,1.660,1.120
OT,8:07,2,10,BAL 41,38,38,Lamar Jackson scrambles up the middle for 5 yards (tackle by Germaine Pratt),1.120,1.090
OT,7:24,3,5,BAL 46,38,38,Lamar Jackson pass complete short right to Rashod Bateman for 15 yards (tackle by Cam Taylor-Britt),1.090,2.980
