Quarter,Time,Down,ToGo,Location,IND,JAX,Detail,EPB,EPA
4,9:00,2,13,JAX 46,17,27,Joe Flacco pass complete short right to Andrew Ogletree for 5 yards (tackle by Ventrell Miller),1.770,1.750
4,8:17,3,8,JAX 41,17,27,Joe Flacco scrambles up the middle for 21 yards (tackle by Tre Flowers),1.750,4.240
4,7:28,1,10,JAX 20,17,27,Joe Flacco pass complete short left to Josh Downs for -1 yards (tackle by Ventrell Miller),4.240,3.560
4,6:56,2,11,JAX 21,17,27,Tyler Goodson right end for 2 yards (tackle by Arik Armstead and Devin Lloyd),3.560,3.100
4,6:06,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,6:06,3,9,JAX 19,17,27,Joe Flacco pass incomplete deep right intended for Mo Alie-Cox,3.100,2.180
4,6:04,4,9,JAX 19,20,27,Matt Gay 37 yard field goal good,2.180,3.000
4,6:00,,,IND 35,20,27,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,6:00,1,10,JAX 30,20,27,Trevor Lawrence pass complete short right to Christian Kirk for 5 yards (tackle by Chris Lammons),0.940,1.070
4,5:21,2,5,JAX 35,20,33,Tank Bigsby up the middle for 65 yards touchdown,1.070,7.000
4,5:09,,,IND 15,20,34,Cam Little kicks extra point good. Penalty on Adam Gotsis: Defensive Holding 5 yards (declined),0.000,0.000
4,5:09,,,JAX 35,20,34,Cam Little kicks off 65 yards touchback.,0.000,0.940
4,5:09,1,10,IND 30,20,34,Joe Flacco pass complete deep left to Alec Pierce for 24 yards (tackle by Montaric Brown),0.940,2.520
4,4:49,1,10,JAX 46,20,34,Joe Flacco pass complete deep left to Alec Pierce for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Joe Flacco pass complete deep left to Alec Pierce for 45 yards (tackle by Andre Cisco),2.520,6.970
4,4:32,1,1,JAX 1,26,34,Trey Sermon up the middle for 1 yard touchdown,6.970,7.000
4,4:27,,,JAX 15,27,34,Matt Gay kicks extra point good,0.000,0.000
4,4:27,,,IND 35,27,34,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,4:27,1,10,JAX 30,27,34,Trevor Lawrence pass complete short left to D'Ernest Johnson for no gain (tackle by Adam Gotsis),0.940,0.390
4,3:49,2,10,JAX 30,27,34,Trevor Lawrence pass incomplete short left intended for Brian Thomas (defended by Jaylon Jones),0.390,-0.300
4,3:40,3,10,JAX 30,27,34,Trevor Lawrence pass incomplete short right intended for Gabriel Davis (defended by Samuel Womack),-0.300,-1.370
4,3:36,4,10,JAX 30,27,34,Logan Cooke punts 58 yards returned by Josh Downs for 11 yards (tackle by Josiah Deguara),-1.370,-0.480
4,3:25,1,10,IND 23,27,34,Penalty on Quenton Nelson: False Start 5 yards (accepted) (no play),0.480,0.000
4,3:25,1,15,IND 18,27,34,Trey Sermon up the middle for 17 yards (tackle by Andre Cisco),0.000,1.270
4,2:50,1,10,IND 35,33,34,Joe Flacco pass complete deep right to Alec Pierce for 65 yards touchdown,1.270,7.000
4,2:40,,,JAX 15,34,34,Matt Gay kicks extra point good,0.000,0.000
4,2:40,,,IND 35,34,34,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,2:40,1,10,JAX 30,34,34,Trevor Lawrence pass complete short right to D'Ernest Johnson for 9 yards (tackle by Samuel Womack),0.940,1.610
4,2:00,2,1,JAX 39,34,34,Tank Bigsby up the middle for 5 yards (tackle by E.J. Speed),1.610,1.860
4,1:25,1,10,JAX 44,34,34,Trevor Lawrence pass complete short left to Luke Farrell for 11 yards (tackle by Chris Lammons),1.860,2.590
4,0:36,1,10,IND 45,34,34,Trevor Lawrence pass complete short right to Christian Kirk for 14 yards,2.590,3.510
4,0:30,1,10,IND 31,34,34,Tank Bigsby up the middle for 1 yard (tackle by Samuel Womack),3.510,3.100
4,0:27,,,,,,Timeout #1 by Indianapolis Colts,,
4,0:27,2,9,IND 30,34,34,Tank Bigsby up the middle for -2 yards (tackle by Taven Bryan),3.100,2.150
4,0:24,,,,,,Timeout #2 by Indianapolis Colts,,
4,0:24,3,11,IND 32,34,34,D'Ernest Johnson up the middle for 1 yard (tackle by Grover Stewart),2.150,1.320
4,0:21,4,10,IND 31,34,37,Cam Little 49 yard field goal good,1.320,3.000
4,0:17,,,JAX 35,34,37,Cam Little kicks off 65 yards touchback.,0.000,0.940
4,0:17,1,10,IND 30,34,37,Joe Flacco pass incomplete deep middle intended for Josh Downs (defended by Jarrian Jones),0.940,0.390
4,0:12,2,10,IND 30,34,37,Joe Flacco sacked by Travon Walker for -17 yards,0.390,-3.300
