Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
4,8:43,2,8,ATL 45,30,27,Kirk Cousins pass complete short middle to Drake London for 15 yards (tackle by K.J. Britt),1.520,2.920
4,8:18,1,10,TAM 40,30,27,Tyler Allgeier left end for no gain (tackle by Anthony Nelson and Christian Izien). Penalty on Chris Lindstrom: Offensive Holding 10 yards (accepted) (no play),2.920,2.260
4,7:52,1,20,TAM 50,30,27,Kirk Cousins pass complete short left to Ray-Ray McCloud for 4 yards (tackle by Jamel Dean),2.260,1.560
4,7:17,2,16,TAM 46,30,27,Kirk Cousins pass complete short right to Kyle Pitts for 10 yards (tackle by Jamel Dean),1.560,2.210
4,6:43,3,6,TAM 36,30,27,Kirk Cousins pass incomplete deep left intended for Darnell Mooney,2.210,0.880
4,6:37,4,6,TAM 36,30,27,Younghoe Koo 54 yard field goal no good blocked by Tavierre Thomas,0.880,-1.860
4,6:29,1,10,TAM 44,30,27,Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Matt Judon),1.860,1.320
4,6:26,2,10,TAM 44,30,27,Rachaad White left guard for 8 yards (tackle by Matt Judon),1.320,1.690
4,5:47,3,2,ATL 48,30,27,Baker Mayfield scrambles right tackle for 5 yards (tackle by JD Bertrand),1.690,2.720
4,5:06,1,10,ATL 43,30,27,Bucky Irving left guard for 5 yards (tackle by James Smith-Williams and Jessie Bates),2.720,2.850
4,4:27,2,5,ATL 38,30,27,Baker Mayfield pass complete short left to Bucky Irving for 3 yards (tackle by Grady Jarrett and Jessie Bates),2.850,2.540
4,3:42,3,2,ATL 35,30,27,Rachaad White left guard for 3 yards (tackle by Grady Jarrett),2.540,3.450
4,3:00,1,10,ATL 32,30,27,Bucky Irving left tackle for 7 yards. Bucky Irving fumbles (forced by Jessie Bates) recovered by Kaden Elliss at ATL-25,3.450,-0.610
4,2:50,1,10,ATL 25,30,27,Tyler Allgeier left guard for -2 yards (tackle by YaYa Diaby),0.610,-0.210
4,2:26,2,12,ATL 23,30,27,Kirk Cousins sacked by Logan Hall for -7 yards,-0.210,-2.140
4,2:01,3,19,ATL 16,30,27,Kirk Cousins pass complete short right to Tyler Allgeier for 4 yards (tackle by Zyon McCollum),-2.140,-2.030
4,1:52,4,15,ATL 20,30,27,Kirk Cousins pass short right intended for Darnell Mooney is intercepted by Lavonte David at ATL-35 and returned for 7 yards (tackle by Tyler Allgeier),-2.030,-3.710
4,1:44,1,10,ATL 28,30,27,Rachaad White left end for -3 yards (tackle by James Smith-Williams),3.710,2.760
4,1:39,,,,,,Timeout #1 by Atlanta Falcons,,
4,1:39,2,13,ATL 31,30,27,Bucky Irving left tackle for no gain (tackle by Kaden Elliss). Penalty on Graham Barton: Offensive Holding 10 yards (accepted) (no play),2.760,1.410
4,1:33,2,23,ATL 41,30,27,Baker Mayfield pass complete short left to Rachaad White for -2 yards (tackle by Justin Simmons and Kaden Elliss),1.410,0.500
4,1:26,,,,,,Timeout #2 by Atlanta Falcons,,
4,1:26,3,25,ATL 43,30,27,Bucky Irving left tackle for 1 yard (tackle by Matt Judon),0.500,0.460
4,1:21,,,,,,Timeout #3 by Atlanta Falcons,,
4,1:21,4,24,ATL 42,30,27,Trenton Gill punts 42 yards touchback.,0.460,-0.280
4,1:14,1,10,ATL 20,30,27,Kirk Cousins pass complete short right to Kyle Pitts for 5 yards (tackle by Zyon McCollum),0.280,0.410
4,1:08,2,5,ATL 25,30,27,Kirk Cousins pass complete deep middle to Darnell Mooney for 17 yards (tackle by Tykee Smith),0.410,1.730
4,0:46,1,10,ATL 42,30,27,Kirk Cousins pass complete short left to Ray-Ray McCloud for 9 yards. Ray-Ray McCloud fumbles ball out of bounds at TB-49 (forced by Tykee Smith). Ray-Ray McCloud fumbles out of bounds,1.730,2.400
4,0:22,2,1,TAM 49,30,27,Kirk Cousins spiked the ball,2.400,1.690
4,0:21,3,1,TAM 49,30,27,Kirk Cousins pass complete short left to Drake London for 6 yards (tackle by Jamel Dean),1.690,2.720
4,0:17,1,10,TAM 43,30,27,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud (defended by Zyon McCollum),2.720,2.180
4,0:12,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,0:12,2,10,TAM 43,30,27,Kirk Cousins pass complete short left to Drake London for 14 yards (tackle by Jamel Dean),2.180,3.640
4,0:03,1,10,TAM 29,30,27,Kirk Cousins spiked the ball,3.640,3.100
4,0:01,2,10,TAM 29,30,27,Penalty on Younghoe Koo: Delay of Game 5 yards (accepted) (no play),3.100,2.420
4,0:01,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,0:01,2,15,TAM 34,30,30,Younghoe Koo 52 yard field goal good,2.420,3.000
,,,,,,,Falcons won the coin toss Falcons to receive the overtime kickoff.,,
OT,10:00,,,TAM 35,30,30,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
OT,10:00,1,10,ATL 30,30,30,Tyler Allgeier right tackle for 1 yard (tackle by YaYa Diaby),0.940,0.530
OT,9:37,2,9,ATL 31,30,30,Kirk Cousins pass complete short right to Drake London for 6 yards (tackle by Zyon McCollum),0.530,0.630
OT,9:14,3,3,ATL 37,30,30,Kirk Cousins pass complete short right to Drake London for 18 yards (tackle by Christian Izien and Zyon McCollum),0.630,2.590
OT,8:54,1,10,TAM 45,30,36,Kirk Cousins pass complete short right to KhaDarel Hodge for 45 yards touchdown,2.590,6.000
