Quarter,Time,Down,ToGo,Location,ARI,SFO,Detail,EPB,EPA
4,11:56,2,7,SFO 16,13,23,James Conner up the middle for 14 yards (tackle by Ji'Ayir Brown and Deommodore Lenoir),4.180,6.740
4,11:30,1,2,SFO 2,19,23,Kyler Murray pass complete short left to Elijah Higgins for 2 yards touchdown. Penalty on Sam Okuayinonu: Roughing the Passer 1 yard (accepted),6.740,7.000
4,11:25,,,SFO 1,21,23,Two Point Attempt: James Conner rushes conversion succeeds.,1.000,1.000
4,11:25,,,ARI 35,21,23,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
4,11:25,1,10,SFO 30,21,23,Brock Purdy pass complete short middle to Jordan Mason for 9 yards (tackle by Budda Baker and Kyzir White),0.940,1.610
4,10:46,2,1,SFO 39,21,23,Jordan Mason up the middle for 20 yards (tackle by Budda Baker),1.610,2.850
4,10:02,1,10,ARI 41,21,23,Deebo Samuel right end for no gain (tackle by Budda Baker),2.850,2.310
4,9:25,2,10,ARI 41,21,23,Brock Purdy pass complete deep left to Brandon Aiyuk for 20 yards (tackle by Sean Murphy-Bunting),2.310,4.170
4,8:42,1,10,ARI 21,21,23,Jordan Mason right guard for 1 yard (tackle by Mack Wilson and Khyiris Tonga),4.170,3.760
4,7:58,2,9,ARI 20,21,23,Brock Purdy pass complete short right to George Kittle for 3 yards (tackle by Dadrion Taylor-Demerson),3.760,3.460
4,7:11,3,6,ARI 17,21,23,Brock Purdy pass complete short middle to George Kittle for 9 yards (tackle by Krys Barnes),3.460,5.370
4,6:23,1,8,ARI 8,21,23,Jordan Mason left end for -1 yards. Jordan Mason fumbles (tackle by Kyzir White) recovered by Mack Wilson at ARI-9 (tackle by Kyzir White),5.370,0.380
4,6:11,1,10,ARI 9,21,23,James Conner up the middle for 9 yards (tackle by Fred Warner),-0.380,0.140
4,5:38,2,1,ARI 18,21,23,James Conner left tackle for 6 yards (tackle by Deommodore Lenoir),0.140,0.540
4,5:00,1,10,ARI 24,21,23,James Conner left guard for 3 yards (tackle by Fred Warner and Leonard Floyd),0.540,0.400
4,4:25,2,7,ARI 27,21,23,James Conner up the middle for 8 yards (tackle by De'Vondre Campbell and Deommodore Lenoir),0.400,1.270
4,3:42,1,10,ARI 35,21,23,Kyler Murray pass complete short right to Trey McBride for 5 yards (tackle by Fred Warner),1.270,1.400
4,3:03,2,5,ARI 40,21,23,Kyler Murray pass incomplete deep right intended for Michael Wilson,1.400,0.700
4,2:52,3,5,ARI 40,21,23,Kyler Murray pass incomplete short right intended for Greg Dortch (defended by De'Vondre Campbell),0.700,-0.720
4,2:49,4,5,ARI 40,21,23,Kyler Murray pass complete short left to Marvin Harrison for 14 yards (tackle by Isaac Yiadom),-0.720,2.520
4,2:09,1,10,SFO 46,21,23,Kyler Murray right tackle for 13 yards (tackle by Fred Warner and Charvarius Ward),2.520,3.380
4,2:02,1,10,SFO 33,21,23,James Conner up the middle for 10 yards (tackle by Charvarius Ward and Leonard Floyd),3.380,4.040
4,1:56,1,10,SFO 23,21,23,James Conner up the middle for -1 yards (tackle by Nick Bosa and Maliek Collins),4.040,3.360
4,1:50,,,,,,Timeout #1 by San Francisco 49ers,,
4,1:50,2,11,SFO 24,21,23,James Conner up the middle for 1 yard (tackle by De'Vondre Campbell and Maliek Collins),3.360,2.810
4,1:46,,,,,,Timeout #2 by San Francisco 49ers,,
4,1:46,3,10,SFO 23,21,23,Kyler Murray right end for 7 yards (tackle by Nick Bosa),2.810,2.480
4,1:40,,,,,,Timeout #3 by San Francisco 49ers,,
4,1:40,4,3,SFO 16,24,23,Chad Ryland 35 yard field goal good,2.480,3.000
4,1:37,,,ARI 35,24,23,Chad Ryland kicks off 70 yards returned by Isaac Guerendo for 32 yards (tackle by Joey Blount),0.000,0.740
4,1:32,1,10,SFO 27,24,23,Brock Purdy pass complete short middle to George Kittle for 15 yards (tackle by Budda Baker),0.740,1.730
4,1:16,1,10,SFO 42,24,23,Brock Purdy pass short left intended for Brandon Aiyuk is intercepted by Kyzir White at 50 and returned for no gain (tackle by George Kittle),1.730,-2.260
4,1:10,1,10,SFO 50,24,23,Kyler Murray kneels for -1 yards,2.260,1.580
4,0:31,2,11,ARI 49,24,23,Kyler Murray kneels for -2 yards,1.580,0.630
