Quarter,Time,Down,ToGo,Location,NYJ,MIN,Detail,EPB,EPA
2,3:33,1,10,NYJ 43,0,17,Aaron Rodgers pass complete short left to Garrett Wilson for 4 yards (tackle by Josh Metellus and Patrick Jones),1.800,1.790
2,2:56,2,6,NYJ 47,0,17,Aaron Rodgers pass incomplete short right intended for Tyler Conklin,1.790,1.090
2,2:51,3,6,NYJ 47,0,17,Aaron Rodgers sacked by Harrison Smith for -8 yards,1.090,-0.780
2,2:05,4,14,NYJ 39,0,17,Penalty on Thomas Morstead: Delay of Game 5 yards (accepted) (no play),-0.780,-1.110
2,2:00,4,19,NYJ 34,0,17,Thomas Morstead punts 56 yards returned by Brandon Powell for no gain (tackle by Samuel Eguavoen). Penalty on Jay Ward: Illegal Block Above the Waist 5 yards (accepted),-1.110,0.380
2,1:50,1,10,MIN 5,0,17,Ty Chandler left guard for 4 yards (tackle by Jamien Sherwood and Quincy Williams),-0.380,-0.490
2,1:42,,,,,,Timeout #1 by New York Jets,,
2,1:42,2,6,MIN 9,0,17,Sam Darnold pass incomplete short right intended for Justin Jefferson (defended by Sauce Gardner),-0.490,-0.950
2,1:39,3,6,MIN 9,0,17,Penalty on Sam Darnold: Delay of Game 4 yards (accepted) (no play),-0.950,-1.420
2,1:39,3,10,MIN 5,0,17,Ty Chandler right tackle for -1 yards (tackle by Jamien Sherwood and Javon Kinlaw),-1.420,-2.490
2,1:36,,,,,,Timeout #2 by New York Jets,,
2,1:36,4,11,MIN 4,0,17,Ryan Wright punts 58 yards returned by Xavier Gipson for 31 yards (tackle by Theo Jackson),-2.490,-3.510
2,1:22,1,10,MIN 31,0,17,Breece Hall left tackle for 7 yards (tackle by Harrison Smith),3.510,3.910
2,0:53,2,3,MIN 24,0,17,Aaron Rodgers pass complete short left to Garrett Wilson for 10 yards (tackle by Stephon Gilmore),3.910,4.650
2,0:48,1,10,MIN 14,0,17,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,4.650,4.000
2,0:45,2,10,MIN 14,0,17,Aaron Rodgers pass incomplete short left intended for Garrett Wilson,4.000,3.110
2,0:42,3,10,MIN 14,6,17,Aaron Rodgers pass complete short middle to Allen Lazard for 14 yards touchdown,3.110,7.000
2,0:36,,,MIN 15,7,17,Greg Zuerlein kicks extra point good,0.000,0.000
2,0:36,,,NYJ 35,7,17,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
2,0:36,1,10,MIN 30,7,17,Sam Darnold pass incomplete short left,0.940,0.390
2,0:29,2,10,MIN 30,7,17,Sam Darnold sacked by Micheal Clemons for -9 yards,0.390,-1.480
3,15:00,,,NYJ 35,7,17,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,MIN 30,7,17,Ty Chandler right guard for 1 yard (tackle by Jamien Sherwood),0.940,0.530
3,14:25,2,9,MIN 31,7,17,Sam Darnold pass complete short right to Ty Chandler for 1 yard (tackle by Tony Adams and Jamien Sherwood),0.530,-0.030
3,13:41,3,8,MIN 32,7,17,Sam Darnold pass incomplete short left,-0.030,-1.240
3,13:29,4,8,MIN 32,7,17,Ryan Wright punts 43 yards fair catch by Xavier Gipson at NYJ-25. Penalty on Akayleb Evans: Fair Catch Interference 15 yards (accepted),-1.240,-1.600
3,13:21,1,10,NYJ 40,7,17,Breece Hall left end for 3 yards (tackle by Jonathan Bullard),1.600,1.460
3,12:44,2,7,NYJ 43,7,17,Breece Hall up the middle for -5 yards (tackle by Ivan Pace),1.460,0.100
3,12:00,3,12,NYJ 38,7,17,Aaron Rodgers pass complete short right to Tyler Conklin for 7 yards (tackle by Josh Metellus),0.100,-0.390
3,11:21,4,5,NYJ 45,7,17,Thomas Morstead punts 55 yards touchback.,-0.390,-0.280
3,11:10,1,10,MIN 20,7,17,Sam Darnold pass complete short right to Jordan Addison for 5 yards (tackle by Sauce Gardner),0.280,0.410
3,10:37,2,5,MIN 25,7,17,Sam Darnold pass complete deep left to Jordan Addison for 26 yards (tackle by Tony Adams),0.410,2.320
3,10:13,1,10,NYJ 49,7,17,Penalty on Blake Brandel: False Start 5 yards (accepted) (no play),2.320,1.990
3,9:54,1,15,MIN 46,7,17,Sam Darnold pass complete short left to Jordan Addison for 5 yards (tackle by D.J. Reed),1.990,1.780
3,9:18,2,10,NYJ 49,7,17,Sam Darnold sacked by Leonard Taylor for -5 yards,1.780,0.430
3,8:33,3,15,MIN 46,7,17,Sam Darnold pass complete short left to Ty Chandler for 8 yards (tackle by Isaiah Oliver),0.430,0.200
