Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
3,1:17,3,9,DAL 13,35,19,Derek Carr pass incomplete short middle intended for Taysom Hill. Penalty on Jourdan Lewis: Defensive Pass Interference 6 yards (accepted) (no play),3.260,5.600
3,1:14,1,7,DAL 7,41,19,Alvin Kamara left end for 7 yards touchdown,5.600,7.000
3,1:09,,,DAL 15,41,19,Blake Grupe kicks extra point blocked blocked by Chauncey Golston,0.000,-1.000
3,1:09,,,NOR 35,41,19,Blake Grupe kicks off 65 yards touchback.,0.000,0.940
3,1:09,1,10,DAL 30,41,19,Dak Prescott pass complete short right to Rico Dowdle for 5 yards (tackle by Paulson Adebo),0.940,1.070
3,0:44,2,5,DAL 35,41,19,Rico Dowdle up the middle for 7 yards (tackle by Tyrann Mathieu),1.070,1.730
3,0:21,1,10,DAL 42,41,19,Dak Prescott pass complete short middle to Rico Dowdle for 9 yards (tackle by Pete Werner),1.730,2.400
4,15:00,2,1,NOR 49,41,19,Dak Prescott pass complete short right to Luke Schoonmaker for 15 yards (tackle by Alontae Taylor),2.400,3.310
4,14:41,1,10,NOR 34,41,19,Dak Prescott pass complete short middle to Jalen Tolbert for 12 yards (tackle by Paulson Adebo),3.310,4.110
4,14:19,1,10,NOR 22,41,19,Dak Prescott pass complete short middle to Rico Dowdle for 6 yards (tackle by Chase Young),4.110,4.460
4,13:54,2,4,NOR 16,41,19,Dak Prescott pass incomplete deep left intended for CeeDee Lamb (defended by Kool-Aid McKinstry),4.460,3.740
4,13:49,3,4,NOR 16,41,19,Dak Prescott pass incomplete deep right intended for Jalen Tolbert,3.740,2.450
4,13:45,4,4,NOR 16,41,19,Dak Prescott pass incomplete short middle intended for Brevyn Spann-Ford (defended by Will Harris),2.450,0.060
4,13:41,1,10,NOR 17,41,19,Alvin Kamara left guard for 3 yards (tackle by Tyrus Wheat),-0.060,-0.060
4,12:59,2,7,NOR 20,41,19,Alvin Kamara right end for 7 yards (tackle by Tyrus Wheat and Donovan Wilson),-0.060,0.740
4,12:13,1,10,NOR 27,41,19,Derek Carr pass deep middle intended for Chris Olave is intercepted by Donovan Wilson at NO-47 and returned for no gain (tackle by Chris Olave),0.740,-2.460
4,12:04,1,10,NOR 47,41,19,Dak Prescott pass deep middle intended for CeeDee Lamb is intercepted by Tyrann Mathieu at NO-30 and returned for no gain (tackle by CeeDee Lamb),2.460,-0.940
4,11:59,1,10,NOR 30,41,19,Alvin Kamara up the middle for 8 yards (tackle by Donovan Wilson),0.940,1.470
4,11:18,2,2,NOR 38,41,19,Alvin Kamara left tackle for 3 yards (tackle by DeMarcus Lawrence and Linval Joseph),1.470,1.660
4,10:37,1,10,NOR 41,41,19,Derek Carr pass incomplete short left intended for Adam Prentice (defended by Osa Odighizuwa),1.660,1.120
4,10:32,2,10,NOR 41,41,19,Jamaal Williams left end for -2 yards (tackle by Osa Odighizuwa and Micah Parsons),1.120,0.170
4,9:47,3,12,NOR 39,41,19,Derek Carr pass incomplete short right intended for Chris Olave (defended by Jourdan Lewis),0.170,-0.780
4,9:43,4,12,NOR 39,41,19,Matthew Hayball punts 49 yards out of bounds,-0.780,0.350
4,9:34,1,10,DAL 12,41,19,Dak Prescott pass complete short left to Jalen Tolbert for 4 yards (tackle by Tyrann Mathieu),-0.350,-0.370
4,9:09,2,6,DAL 16,41,19,Dak Prescott sacked by and Carl Granderson for -6 yards and Chase Young for -6 yards,-0.370,-1.650
4,8:31,3,12,DAL 10,41,19,Dak Prescott pass complete short right to Luke Schoonmaker for 3 yards (tackle by Kool-Aid McKinstry),-1.650,-2.490
4,7:56,4,9,DAL 13,41,19,Dak Prescott pass incomplete deep right intended for Jalen Brooks (defended by Paulson Adebo),-2.490,-4.710
4,7:49,1,10,DAL 13,41,19,Alvin Kamara right guard for 7 yards (tackle by Eric Kendricks and Malik Hooker),4.710,5.340
4,7:08,2,3,DAL 6,41,19,Alvin Kamara right end for no gain (tackle by Damone Clark). Penalty on Foster Moreau: Offensive Holding 10 yards (accepted) (no play),5.340,3.620
4,6:40,2,13,DAL 16,41,19,Jamaal Williams right tackle for 6 yards (tackle by Eric Kendricks),3.620,3.650
4,5:58,3,7,DAL 10,41,19,Jamaal Williams left tackle for 2 yards (tackle by DeMarvion Overshown and DeMarcus Lawrence),3.650,2.970
4,5:15,4,5,DAL 8,44,19,Blake Grupe 26 yard field goal good,2.970,3.000
4,5:11,,,NOR 35,44,19,Blake Grupe kicks off 65 yards touchback.,0.000,0.940
4,5:11,1,10,DAL 30,44,19,Cooper Rush pass incomplete short right intended for KaVontae Turpin,0.940,0.390
4,5:08,2,10,DAL 30,44,19,Cooper Rush pass incomplete deep left intended for KaVontae Turpin (defended by Ugo Amadi),0.390,-0.300
4,5:02,3,10,DAL 30,44,19,Cooper Rush pass complete short left to Deuce Vaughn for 6 yards (tackle by Jordan Howden and Isaiah Foskey),-0.300,-0.980
4,4:17,4,4,DAL 36,44,19,Bryan Anger punts 53 yards fair catch by Rashid Shaheed at NO-11,-0.980,0.370
4,4:09,1,10,NOR 11,44,19,Jamaal Williams up the middle for 2 yards (tackle by Osa Odighizuwa and Chauncey Golston),-0.370,-0.630
4,3:27,2,8,NOR 13,44,19,Jamaal Williams up the middle for 9 yards (tackle by Donovan Wilson and Damone Clark),-0.630,0.410
4,2:43,1,10,NOR 22,44,19,Jamaal Williams right end for 11 yards (tackle by Trevon Diggs),0.410,1.140
4,2:00,1,10,NOR 33,44,19,Jake Haener kneels for -1 yards,1.140,0.460
4,1:21,2,11,NOR 32,44,19,Jake Haener kneels for -1 yards,0.460,-0.360
4,0:39,3,12,NOR 31,44,19,Jake Haener kneels for -1 yards,-0.360,-1.370
