Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA
4,0:45,3,6,TAM 10,20,16,Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Derrick Barnes),-0.950,-2.490
4,0:42,4,6,TAM 10,20,16,Jake Camarda punts 43 yards returned by Kalif Raymond for 9 yards (tackle by Ko Kieft),-2.490,-2.650
4,0:33,1,10,TAM 44,20,16,Jared Goff pass complete short left to Amon-Ra St. Brown for 9 yards (tackle by Lavonte David),2.650,3.260
4,0:27,,,,,,Timeout #2 by Detroit Lions,,
4,0:27,2,2,TAM 35,20,16,Jared Goff pass complete short right to Jahmyr Gibbs for 9 yards (tackle by Tykee Smith and SirVocea Dennis),3.260,3.840
4,0:16,1,10,TAM 26,20,16,Jared Goff spiked the ball,3.840,3.300
4,0:14,2,10,TAM 26,20,16,Jared Goff pass incomplete short left intended for Jameson Williams,3.300,2.610
4,0:10,3,10,TAM 26,20,16,Jared Goff pass incomplete short right intended for Jameson Williams (defended by Zyon McCollum),2.610,1.740
4,0:06,4,10,TAM 26,20,16,Jared Goff pass incomplete short left intended for Tom Kennedy,1.740,-0.670
4,0:02,1,10,TAM 26,20,16,Baker Mayfield kneels for -1 yards,0.670,-0.010
