Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
3,0:41,,,ARI 15,10,34,Joshua Karty kicks extra point good,0.000,0.000
3,0:41,,,LAR 35,10,34,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
3,0:41,1,10,ARI 30,10,34,James Conner left end for no gain (tackle by Troy Reeder). Penalty on Tre'Davious White: Defensive Offside 5 yards (accepted) (no play),0.940,1.670
3,0:16,1,5,ARI 35,10,34,James Conner up the middle for 5 yards (tackle by Jared Verse),1.670,1.600
4,15:00,1,10,ARI 40,10,34,Trey Benson left end for -3 yards (tackle by Jared Verse),1.600,0.650
4,14:17,2,13,ARI 37,10,34,Kyler Murray pass complete short right to Greg Dortch for 8 yards (tackle by Kamren Curl and Troy Reeder),0.650,1.030
4,13:39,3,5,ARI 45,10,34,Kyler Murray pass complete short left to Trey McBride for 18 yards (tackle by Quentin Lake),1.030,3.120
4,12:59,1,10,LAR 37,10,34,Trey Benson right tackle for 1 yard (tackle by Desjuan Johnson),3.120,2.710
4,12:16,2,9,LAR 36,10,34,James Conner up the middle for 10 yards (tackle by Quentin Lake),2.710,3.840
4,11:29,1,10,LAR 26,10,34,James Conner up the middle for 8 yards (tackle by Quentin Lake and Kamren Curl),3.840,4.450
4,10:44,2,2,LAR 18,10,34,James Conner up the middle for 1 yard (tackle by Bobby Brown),4.450,3.950
4,9:59,3,1,LAR 17,10,34,Kyler Murray right end for 10 yards (tackle by Kamren Curl),3.950,5.600
4,9:13,1,7,LAR 7,10,34,Kyler Murray pass incomplete short left intended for Marvin Harrison,5.600,4.760
4,9:09,2,7,LAR 7,10,40,James Conner left end for 2 yards. James Conner fumbles (forced by Jared Verse) recovered by Trey McBride in end zone touchdown,4.760,7.000
4,9:02,,,LAR 15,10,41,Matt Prater kicks extra point good,0.000,0.000
4,9:02,,,ARI 35,10,41,Matt Prater kicks off 65 yards touchback.,0.000,0.940
4,9:02,1,10,LAR 30,10,41,Matthew Stafford pass complete short right to Tutu Atwell for 11 yards (tackle by Jalen Thompson),0.940,1.660
4,8:38,1,10,LAR 41,10,41,Matthew Stafford pass complete short left to Kyren Williams for 9 yards (tackle by Kyzir White and Starling Thomas),1.660,2.340
4,8:11,2,1,LAR 50,10,41,Matthew Stafford sacked by Dennis Gardeck for -2 yards. Matthew Stafford fumbles (forced by Dennis Gardeck) recovered by L.J. Collier at LA-48 (tackle by Beaux Limmer). Penalty on Mack Wilson: Taunting / Defense 15 yards (accepted),2.340,-1.400
4,7:59,1,10,ARI 37,10,41,Trey Benson up the middle for 2 yards (tackle by Braden Fiske and Desjuan Johnson),1.400,1.130
4,7:16,2,8,ARI 39,10,41,Trey Benson up the middle for -1 yards (tackle by Jared Verse),1.130,0.300
4,6:40,3,9,ARI 38,10,41,Emari Demercado left tackle for 41 yards (tackle by Charles Woods),0.300,4.170
4,5:52,1,10,LAR 21,10,41,Emari Demercado left tackle for 5 yards (tackle by Michael Hoecht and Troy Reeder),4.170,4.370
4,5:10,2,5,LAR 16,10,41,Trey Benson up the middle for 3 yards (tackle by Braden Fiske and Michael Hoecht),4.370,4.240
4,4:26,3,2,LAR 13,10,41,Clayton Tune up the middle for -6 yards. Clayton Tune fumbles recovered by Braden Fiske at LA-20 and returned for 8 yards (tackle by Jackson Barton),4.240,-0.810
4,4:17,1,10,LAR 28,10,41,Blake Corum right tackle for 2 yards (tackle by Roy Lopez),0.810,0.530
4,3:47,2,8,LAR 30,10,41,Blake Corum up the middle for 8 yards (tackle by Krys Barnes),0.530,1.470
4,3:08,1,10,LAR 38,10,41,Blake Corum up the middle for 9 yards (tackle by Owen Pappoe and Xavier Thomas),1.470,2.140
4,2:34,2,1,LAR 47,10,41,Blake Corum up the middle for -1 yards (tackle by Kei'Trel Clark and Roy Lopez),2.140,1.290
4,2:00,3,2,LAR 46,10,41,Blake Corum up the middle for 5 yards (tackle by Owen Pappoe),1.290,2.320
4,1:31,1,10,ARI 49,10,41,Blake Corum up the middle for 2 yards (tackle by Victor Dimukeje and Krys Barnes),2.320,2.050
4,1:02,2,8,ARI 47,10,41,Blake Corum right tackle for -1 yards (tackle by Victor Dimukeje),2.050,1.220
4,0:29,3,9,ARI 48,10,41,Blake Corum right tackle for 4 yards (tackle by Owen Pappoe),1.220,0.330
