Quarter,Time,Down,ToGo,Location,SFO,MIN,Detail,EPB,EPA
4,11:21,1,10,MIN 29,7,20,Brock Purdy pass incomplete deep left intended for George Kittle,3.640,3.100
4,11:16,2,10,MIN 29,7,20,Brock Purdy pass complete short left to Deebo Samuel for 13 yards MIN challenged the runner was in bounds ruling and the play was upheld.,3.100,4.510
4,10:59,1,10,MIN 16,7,20,Jordan Mason up the middle for 6 yards (tackle by Harrison Phillips),4.510,4.970
4,10:21,2,4,MIN 10,13,20,Jordan Mason right end for 10 yards touchdown,4.970,7.000
4,10:16,,,MIN 15,14,20,Jake Moody kicks extra point good,0.000,0.000
4,10:16,,,SFO 35,14,20,Jake Moody kicks off 65 yards touchback.,0.000,0.940
4,10:16,1,10,MIN 30,14,20,Aaron Jones up the middle for 3 yards (tackle by Ji'Ayir Brown and Nick Bosa),0.940,0.800
4,9:37,2,7,MIN 33,14,20,Sam Darnold sacked by Fred Warner for no gain. Sam Darnold fumbles ball out of bounds at MIN-33 (forced by Fred Warner). Sam Darnold fumbles out of bounds,0.800,0.100
4,8:53,3,7,MIN 33,14,20,Sam Darnold pass complete short right to Brandon Powell for 11 yards (tackle by Isaac Yiadom),0.100,1.860
4,8:23,1,10,MIN 44,14,20,Ty Chandler left end for 2 yards (tackle by Fred Warner),1.860,1.590
4,7:45,2,8,MIN 46,14,20,Sam Darnold pass incomplete short left intended for Johnny Mundt,1.590,0.890
4,7:41,3,8,MIN 46,14,20,Sam Darnold pass complete deep right to Jalen Nailor for 26 yards (tackle by Isaac Yiadom),0.890,3.710
4,6:54,1,10,SFO 28,14,20,Ty Chandler right tackle for 2 yards (tackle by Fred Warner),3.710,3.440
4,6:12,2,8,SFO 26,14,20,Sam Darnold pass complete short right to Johnny Mundt for 6 yards (tackle by De'Vondre Campbell),3.440,3.530
4,5:37,3,2,SFO 20,14,20,Sam Darnold pass complete short middle to Brandon Powell for 5 yards (tackle by Isaac Yiadom),3.530,4.580
4,4:50,1,10,SFO 15,14,20,Ty Chandler left end for 11 yards (tackle by Deommodore Lenoir),4.580,6.280
4,3:59,1,4,SFO 4,14,20,Penalty on Blake Brandel: False Start 5 yards (accepted) (no play),6.280,5.140
4,3:47,1,9,SFO 9,14,20,Ty Chandler sacked by Kevin Givens for -1 yards,5.140,4.190
4,3:42,2,10,SFO 10,14,20,Sam Darnold pass complete short right to Aaron Jones for -2 yards (tackle by De'Vondre Campbell),4.190,3.100
4,3:35,,,,,,Timeout #2 by San Francisco 49ers,,
4,3:35,3,12,SFO 12,14,20,Aaron Jones up the middle for 4 yards (tackle by Demetrius Flannigan-Fowles and Javon Hargrave),3.100,2.950
4,3:32,,,,,,Timeout #3 by San Francisco 49ers,,
4,3:32,4,8,SFO 8,14,23,Will Reichard 27 yard field goal good,2.950,3.000
4,3:30,,,MIN 35,14,23,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,3:30,1,10,SFO 30,14,23,Brock Purdy pass complete short right to George Kittle for 6 yards (tackle by Byron Murphy),0.940,1.200
4,3:23,2,4,SFO 36,14,23,Brock Purdy pass complete short left to Jordan Mason for 4 yards (tackle by Andrew Van Ginkel),1.200,1.600
4,2:59,1,10,SFO 40,14,23,Brock Purdy pass complete deep right to Deebo Samuel for 21 yards (tackle by Josh Metellus and Camryn Bynum),1.600,2.980
4,2:39,1,10,MIN 39,14,23,Brock Purdy pass complete short left to Eric Saubert for 12 yards (tackle by Byron Murphy and Camryn Bynum),2.980,3.780
4,2:21,1,10,MIN 27,14,23,Brock Purdy pass complete short middle to Eric Saubert for 14 yards (tackle by Harrison Smith). Penalty on Andrew Van Ginkel: Defensive Offside 5 yards (declined),3.780,4.710
4,2:15,1,10,MIN 13,14,23,Brock Purdy pass complete short right to Deebo Samuel for 2 yards (tackle by Byron Murphy),4.710,4.390
4,2:01,2,8,MIN 11,14,23,Penalty on Colton McKivitz: False Start 5 yards (accepted) (no play),4.390,3.620
4,2:01,2,13,MIN 16,14,23,Brock Purdy pass complete short left to Brandon Aiyuk for 12 yards (tackle by Harrison Smith),3.620,5.010
4,1:57,3,1,MIN 4,14,23,Deebo Samuel right end for -9 yards (tackle by Andrew Van Ginkel),5.010,2.570
4,1:15,4,10,MIN 13,17,23,Jake Moody 31 yard field goal good,2.570,3.000
4,1:12,,,,,,Timeout #2 by Minnesota Vikings,,
4,1:12,,,SFO 35,17,23,Mitch Wishnowsky kicks onside 7 yards returned by Nick Muse for no gain,0.000,2.790
4,1:11,1,10,SFO 42,17,23,Sam Darnold kneels for -1 yards,2.790,2.110
4,0:41,2,11,SFO 43,17,23,Sam Darnold kneels for -1 yards,2.110,1.290
