Quarter,Time,Down,ToGo,Location,IND,GNB,Detail,EPB,EPA
4,10:59,,,,,,Timeout #1 by Green Bay Packers,,
4,10:59,3,10,IND 16,3,13,Malik Willis pass incomplete short right. Penalty on Zach Tom: Offensive Holding 10 yards (declined),3.080,2.380
4,10:54,4,10,IND 16,3,16,Brayden Narveson 34 yard field goal good,2.380,3.000
4,10:50,,,GNB 35,3,16,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
4,10:50,1,10,IND 30,3,16,Anthony Richardson pass complete deep left to Adonai Mitchell for 30 yards (tackle by Evan Williams),0.940,2.920
4,10:28,1,10,GNB 40,3,16,Anthony Richardson pass incomplete deep left intended for Michael Pittman (defended by Carrington Valentine),2.920,2.370
4,10:23,2,10,GNB 40,3,16,Anthony Richardson pass short middle intended for Michael Pittman is intercepted by Eric Wilson at GB-25 and returned for no gain (tackle by Michael Pittman),2.370,-0.610
4,10:19,1,10,GNB 25,3,16,Josh Jacobs right tackle for 3 yards (tackle by Kenny Moore and Jaylon Carlies),0.610,0.470
4,9:31,2,7,GNB 28,3,16,Malik Willis pass complete short middle to Romeo Doubs for 15 yards (tackle by Rodney Thomas),0.470,1.800
4,9:06,1,10,GNB 43,3,16,MarShawn Lloyd left tackle for 2 yards (tackle by E.J. Speed),1.800,1.520
4,8:29,2,8,GNB 45,3,16,Josh Jacobs up the middle for 12 yards (tackle by Zaire Franklin and Rodney Thomas),1.520,2.720
4,7:48,1,10,IND 43,3,16,Josh Jacobs left guard for -1 yards (tackle by Isaiah Land and Taven Bryan),2.720,2.040
4,7:07,2,11,IND 44,3,16,Malik Willis pass complete short right to Luke Musgrave for 6 yards (tackle by Jaylon Carlies and Kenny Moore),2.040,2.150
4,6:27,3,5,IND 38,3,16,Malik Willis pass complete short left to Dontayvion Wicks for 7 yards,2.150,3.510
4,5:52,1,10,IND 31,3,16,Emanuel Wilson left end for no gain (tackle by Raekwon Davis),3.510,2.970
4,5:09,2,10,IND 31,3,16,MarShawn Lloyd left guard for no gain (tackle by Dayo Odeyingbo),2.970,2.280
4,4:58,,,,,,Timeout #1 by Indianapolis Colts,,
4,4:58,3,10,IND 31,3,16,Malik Willis up the middle for 5 yards (tackle by Kwity Paye),2.280,1.790
4,4:17,4,5,IND 26,3,16,Brayden Narveson 45 yard field goal no good,1.790,-1.270
4,4:10,1,10,IND 35,3,16,Anthony Richardson pass complete short left to Tyler Goodson for 2 yards (tackle by Keisean Nixon),1.270,0.990
4,3:47,2,8,IND 37,3,16,Anthony Richardson pass complete deep middle to Alec Pierce for 18 yards (tackle by Quay Walker and Javon Bullard),0.990,2.590
4,3:21,1,10,GNB 45,3,16,Anthony Richardson pass incomplete deep left intended for Alec Pierce,2.590,2.040
4,3:19,2,10,GNB 45,3,16,Anthony Richardson pass complete short middle to Michael Pittman for 11 yards (tackle by Quay Walker),2.040,3.310
4,2:55,1,10,GNB 34,3,16,Anthony Richardson pass incomplete deep middle intended for Ashton Dulin,3.310,2.770
4,2:52,2,10,GNB 34,3,16,Anthony Richardson pass complete short middle to Kylen Granson for 9 yards (tackle by Quay Walker),2.770,3.270
4,2:28,3,1,GNB 25,3,16,Anthony Richardson pass complete short left to Alec Pierce for 11 yards GNB challenged the pass completion ruling and the play was upheld.,3.270,4.650
4,2:17,1,10,GNB 14,3,16,Anthony Richardson pass incomplete short left intended for Kylen Granson (defended by Javon Bullard),4.650,4.000
4,2:11,2,10,GNB 14,3,16,Anthony Richardson pass incomplete short middle,4.000,3.110
4,2:07,3,10,GNB 14,3,16,Trey Sermon left tackle for 4 yards (tackle by Preston Smith),3.110,2.790
4,2:00,4,6,GNB 10,3,16,Penalty on Quenton Nelson: False Start 5 yards (accepted) (no play),2.790,2.440
4,2:00,4,11,GNB 15,3,16,Anthony Richardson scrambles left end for 11 yards (tackle by Kenny Clark) Replay Assistant challenged the short of the line to gain ruling and the play was upheld.,2.440,6.280
4,1:53,1,4,GNB 4,9,16,Anthony Richardson pass complete short right to Alec Pierce for 4 yards touchdown,6.280,7.000
4,1:47,,,GNB 15,10,16,Matt Gay kicks extra point good,0.000,0.000
4,1:47,,,IND 35,10,16,Matt Gay kicks onside 8 yards returned by Eric Wilson for no gain,0.000,2.720
4,1:46,1,10,IND 43,10,16,Josh Jacobs up the middle for 3 yards (tackle by Dayo Odeyingbo and Nick Cross),2.720,2.580
4,1:41,,,,,,Timeout #2 by Indianapolis Colts,,
4,1:41,,,,,,Timeout #3 by Green Bay Packers,,
4,1:41,2,7,IND 40,10,16,Josh Jacobs left guard for 1 yard (tackle by Tyquan Lewis and Jaylon Jones),2.580,2.010
4,1:35,,,,,,Timeout #3 by Indianapolis Colts,,
4,1:35,3,6,IND 39,10,16,Josh Jacobs left guard for 1 yard (tackle by Nick Cross and Grover Stewart),2.010,0.720
4,0:49,4,5,IND 38,10,16,Penalty on Malik Willis: Delay of Game 5 yards (accepted) (no play),0.720,0.400
4,0:49,4,10,IND 43,10,16,Daniel Whelan punts 38 yards fair catch by Anthony Gould at IND-5,0.400,0.380
4,0:43,1,10,IND 5,10,16,Anthony Richardson pass complete short middle to Alec Pierce for 15 yards (tackle by Evan Williams),-0.380,0.280
4,0:27,1,10,IND 20,10,16,Anthony Richardson spiked the ball,0.280,-0.270
4,0:26,2,10,IND 20,10,16,Anthony Richardson pass incomplete deep right intended for Adonai Mitchell,-0.270,-0.960
4,0:19,3,10,IND 20,10,16,Anthony Richardson scrambles left end for 21 yards (tackle by Isaiah McDuffie),-0.960,1.660
4,0:09,1,10,IND 41,10,16,Anthony Richardson pass incomplete deep left intended for Andrew Ogletree,1.660,1.120
4,0:05,2,10,IND 41,10,16,Anthony Richardson pass deep right is intercepted by Evan Williams at GB-7 and returned for 1 yard (tackle by Kylen Granson),1.120,0.000
