Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA
4,12:28,3,2,WAS 19,12,15,Daniel Jones pass incomplete short right intended for Malik Nabers. Penalty on Noah Igbinoghene: Defensive Pass Interference 9 yards (accepted) (no play),3.640,4.910
4,12:24,1,10,WAS 10,12,15,Devin Singletary left guard for 3 yards (tackle by Bobby Wagner and Frankie Luvu),4.910,4.760
4,11:39,2,7,WAS 7,12,15,Daniel Jones pass incomplete short left intended for Malik Nabers (defended by Benjamin St-Juste),4.760,3.810
4,11:35,3,7,WAS 7,18,15,Daniel Jones pass complete short right to Wan'Dale Robinson for 7 yards touchdown,3.810,7.000
4,11:32,,,WAS 2,18,15,Two Point Attempt: Daniel Jones pass incomplete intended for intended for Darius Slayton,1.000,-1.000
4,11:32,,,NYG 35,18,15,Jamie Gillan kicks off 25 yards. Penalty on Jamie Gillan: Kickoff Short of Landing Zone (accepted),0.000,1.600
4,11:32,1,10,WAS 40,18,15,Jayden Daniels pass complete short middle to Olamide Zaccheaus for no gain (tackle by Andru Phillips),1.600,1.050
4,10:52,2,10,WAS 40,18,15,Jayden Daniels pass complete short middle to John Bates for 5 yards (tackle by Brian Burns),1.050,1.030
4,10:14,3,5,WAS 45,18,15,Jayden Daniels sacked by. Penalty on Andru Phillips: Defensive Holding 5 yards (accepted) (no play),1.030,2.260
4,9:55,1,10,WAS 50,18,15,Jayden Daniels pass complete short middle to Noah Brown for 15 yards (tackle by Micah McFadden),2.260,3.250
4,9:13,1,10,NYG 35,18,15,Jayden Daniels pass complete short left to Terry McLaurin for 2 yards (tackle by Deonte Banks),3.250,2.970
4,8:42,2,8,NYG 33,18,15,Jayden Daniels pass complete short left to Austin Ekeler for 27 yards (tackle by Andru Phillips),2.970,5.830
4,8:11,1,6,NYG 6,18,15,Penalty on Samuel Cosmi: False Start 5 yards (accepted) (no play),5.830,4.770
4,8:11,1,11,NYG 11,18,15,Jayden Daniels pass incomplete short left intended for Brian Robinson (defended by Brian Burns),4.770,4.020
4,8:07,2,11,NYG 11,18,15,Jayden Daniels scrambles up the middle for 1 yard (tackle by Dexter Lawrence and Rakeem Nunez-Roches),4.020,3.130
4,7:21,3,10,NYG 10,18,15,Penalty on Cornelius Lucas: False Start 5 yards (accepted) (no play),3.130,2.930
4,7:21,3,15,NYG 15,18,15,Jayden Daniels pass incomplete short right intended for Brian Robinson,2.930,2.440
4,7:16,4,15,NYG 15,18,18,Austin Seibert 33 yard field goal good,2.440,3.000
4,7:12,,,WAS 35,18,18,Austin Seibert kicks off 63 yards returned by Eric Gray for 30 yards (tackle by Mykal Walker),0.000,1.070
4,7:07,1,10,NYG 32,18,18,Devin Singletary up the middle for 6 yards (tackle by Frankie Luvu),1.070,1.340
4,6:32,2,4,NYG 38,18,18,Daniel Jones pass complete short left to Darius Slayton for 3 yards (tackle by Benjamin St-Juste),1.340,1.030
4,5:51,3,1,NYG 41,18,18,Penalty on Frankie Luvu: Defensive Offside 5 yards (accepted) (no play),1.030,1.990
