Quarter,Time,Down,ToGo,Location,CLE,JAX,Detail,EPB,EPA
3,10:14,2,10,JAX 30,16,3,Trevor Lawrence pass incomplete short middle intended for Brenton Strange,0.390,-0.300
3,10:10,3,10,JAX 30,16,3,Trevor Lawrence pass complete deep right to Brenton Strange for 26 yards (tackle by Rodney McLeod),-0.300,2.650
3,9:39,1,10,CLE 44,16,3,D'Ernest Johnson right end for 9 yards (tackle by Myles Garrett),2.650,3.330
3,9:13,2,1,CLE 35,16,3,D'Ernest Johnson up the middle for 4 yards (tackle by Dalvin Tomlinson),3.330,3.510
3,8:50,1,10,CLE 31,16,3,D'Ernest Johnson up the middle for 4 yards (tackle by Grant Delpit),3.510,3.510
3,8:07,2,6,CLE 27,16,3,Trevor Lawrence pass complete short left to Travis Etienne for 8 yards (tackle by Alex Wright and Martin Emerson),3.510,4.310
3,7:40,1,10,CLE 19,16,3,Travis Etienne up the middle for 5 yards (tackle by Jeremiah Owusu-Koramoah),4.310,4.530
3,7:17,2,5,CLE 14,16,3,Travis Etienne left end for -3 yards (tackle by Grant Delpit),4.530,3.260
3,6:35,3,8,CLE 17,16,3,Trevor Lawrence sacked by Myles Garrett for -9 yards. Trevor Lawrence fumbles (forced by Myles Garrett) recovered by D'Ernest Johnson at CLE-25 (tackle by Myles Garrett),3.260,1.800
3,5:52,4,16,CLE 25,16,3,Cam Little 43 yard field goal no good,1.800,-1.140
3,5:48,1,10,CLE 33,16,3,Deshaun Watson pass complete short right to Amari Cooper for 7 yards (tackle by Montaric Brown),1.140,1.540
3,5:05,2,3,CLE 40,16,3,D'Onta Foreman up the middle for 3 yards (tackle by Roy Robertson-Harris and Foyesade Oluokun),1.540,1.800
3,4:12,1,10,CLE 43,16,3,D'Onta Foreman left end for -1 yards (tackle by Montaric Brown),1.800,1.120
3,3:28,,,,,,Timeout #1 by Cleveland Browns,,
3,3:28,2,11,CLE 42,16,3,Deshaun Watson pass complete short left to Elijah Moore for -1 yards (tackle by Ronald Darby),1.120,0.300
3,2:43,3,12,CLE 41,16,3,Deshaun Watson pass incomplete short right intended for Jerome Ford,0.300,-0.650
3,2:37,4,12,CLE 41,16,3,Corey Bojorquez punts 31 yards fair catch by Devin Duvernay at JAC-28,-0.650,-0.810
3,2:29,1,10,JAX 28,16,3,Trevor Lawrence pass complete deep middle to Brian Thomas for 66 yards (tackle by Greg Newsome),0.810,5.830
3,1:51,1,6,CLE 6,16,3,Travis Etienne up the middle for 2 yards (tackle by Dalvin Tomlinson),5.830,5.340
3,1:14,2,4,CLE 4,16,9,Travis Etienne up the middle for 4 yards touchdown,5.340,7.000
3,1:11,,,CLE 15,16,10,Cam Little kicks extra point good,0.000,0.000
3,1:11,,,JAX 35,16,10,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,1:11,1,10,CLE 30,16,10,D'Onta Foreman up the middle for 3 yards (tackle by Josh Hines-Allen and Devin Lloyd),0.940,0.800
3,0:28,2,7,CLE 33,16,10,Deshaun Watson sacked by Foyesade Oluokun for -9 yards,0.800,-1.090
4,15:00,3,16,CLE 24,16,10,Deshaun Watson pass complete short left to D'Onta Foreman for 9 yards (tackle by Tre Flowers),-1.090,-1.180
4,14:23,4,7,CLE 33,16,10,Corey Bojorquez punts 56 yards returned by Devin Duvernay for 8 yards (tackle by Mike Ford). Penalty on Tank Bigsby: Illegal Block Above the Waist 9 yards (accepted),-1.180,0.380
4,14:14,1,10,JAX 10,16,10,Trevor Lawrence pass incomplete short middle intended for Brian Thomas,-0.380,-0.780
4,14:10,2,10,JAX 10,16,10,Trevor Lawrence pass complete short right to Travis Etienne for no gain (tackle by Jeremiah Owusu-Koramoah). Penalty on Myles Garrett: Defensive Offside 5 yards (accepted) (no play),-0.780,-0.350
4,13:46,2,5,JAX 15,16,10,Trevor Lawrence pass complete short right to Luke Farrell for 7 yards (tackle by Grant Delpit),-0.350,0.410
4,13:15,1,10,JAX 22,16,10,Travis Etienne up the middle for 5 yards (tackle by Cameron Mitchell),0.410,0.540
4,12:32,2,5,JAX 27,16,10,Trevor Lawrence sacked by Sam Kamara for no gain. Penalty on Cameron Mitchell: Defensive Holding 5 yards (accepted) (no play),0.540,1.070
4,12:06,1,10,JAX 32,16,10,Devin Duvernay left end for 4 yards (tackle by Cameron Mitchell),1.070,1.070
4,11:27,2,6,JAX 36,16,10,Trevor Lawrence pass complete short left to Luke Farrell for 6 yards (tackle by Martin Emerson),1.070,1.730
4,10:54,1,10,JAX 42,16,10,Trevor Lawrence sacked by Quinton Jefferson for -8 yards,1.730,0.110
4,10:08,2,18,JAX 34,16,10,Trevor Lawrence pass incomplete deep middle intended for Christian Kirk. Penalty on Alex Wright: Defensive Offside 5 yards (accepted) (no play),0.110,0.780
4,10:00,2,13,JAX 39,16,10,Trevor Lawrence pass complete deep left to Brenton Strange for 30 yards (tackle by Ronnie Hickman),0.780,3.510
4,9:29,1,10,CLE 31,16,10,Travis Etienne left end for 12 yards (tackle by Jordan Hicks),3.510,4.310
4,9:02,1,10,CLE 19,16,10,Trevor Lawrence pass complete short left to Gabriel Davis for 11 yards (tackle by Ronnie Hickman),4.310,5.370
4,8:29,1,8,CLE 8,16,10,D'Ernest Johnson right end for 6 yards (tackle by Greg Newsome and Rodney McLeod),5.370,5.720
4,7:52,2,2,CLE 2,16,10,Trevor Lawrence pass complete short left to Christian Kirk for no gain touchdown. Penalty on D'Ernest Johnson: Illegal Shift 5 yards (accepted) (no play),5.720,4.760
4,7:46,2,7,CLE 7,16,10,Trevor Lawrence pass incomplete short right intended for Travis Etienne,4.760,3.810
4,7:39,3,7,CLE 7,16,10,Trevor Lawrence pass incomplete short right intended for Brenton Strange,3.810,2.970
4,7:34,4,7,CLE 7,16,13,Cam Little 25 yard field goal good,2.970,3.000
4,7:32,,,JAX 35,16,13,Cam Little kicks off 65 yards touchback.,0.000,0.940
4,7:32,1,10,CLE 30,16,13,Deshaun Watson pass complete short left to Amari Cooper for 2 yards (tackle by Josh Hines-Allen),0.940,0.660
4,6:55,2,8,CLE 32,16,13,Deshaun Watson pass incomplete short left intended for Amari Cooper,0.660,-0.030
4,6:51,3,8,CLE 32,16,13,Deshaun Watson pass complete short right to Jerry Jeudy for 8 yards (tackle by Montaric Brown),-0.030,1.600
4,6:09,1,10,CLE 40,16,13,D'Onta Foreman up the middle for no gain (tackle by Antonio Johnson). Penalty on Elijah Moore: Illegal Shift 5 yards (accepted) (no play),1.600,1.270
4,5:39,1,15,CLE 35,16,13,Deshaun Watson pass complete deep left to Jerry Jeudy for 30 yards (tackle by Antonio Johnson),1.270,3.250
4,5:03,1,10,JAX 35,16,13,Deshaun Watson pass complete short right to Jerry Jeudy for 5 yards,3.250,3.380
4,4:52,2,5,JAX 30,16,13,Jerome Ford up the middle for 2 yards (tackle by Jeremiah Ledbetter),3.380,2.940
4,4:09,3,3,JAX 28,16,13,Deshaun Watson pass complete short left to Amari Cooper for 2 yards (tackle by Jarrian Jones),2.940,1.890
4,3:23,4,1,JAX 26,16,13,Jameis Winston up the middle for 2 yards (tackle by Devin Lloyd),1.890,3.970
4,2:44,1,10,JAX 24,16,13,D'Onta Foreman left guard for no gain (tackle by Devin Lloyd),3.970,3.430
4,2:36,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,2:36,2,10,JAX 24,16,13,D'Onta Foreman up the middle for 9 yards (tackle by Antonio Johnson). Penalty on D'Onta Foreman: Offensive Facemask 15 yards (accepted),3.430,2.620
4,2:27,2,16,JAX 30,16,13,Deshaun Watson pass incomplete short right intended for Elijah Moore (defended by Devin Lloyd),2.620,1.950
4,2:23,3,16,JAX 30,16,13,Deshaun Watson scrambles left end for no gain (tackle by Josh Hines-Allen). Penalty on Ethan Pocic: Offensive Holding 10 yards (accepted) (no play),1.950,0.630
4,2:12,3,26,JAX 40,16,13,Deshaun Watson pass complete short middle to Jordan Akins for no gain (tackle by Andre Cisco and Montaric Brown). Penalty on Wyatt Teller: Offensive Holding 10 yards (accepted) (no play),0.630,-0.690
4,2:03,,,,,,Timeout #2 by Cleveland Browns,,
4,2:03,3,36,JAX 50,16,13,Deshaun Watson left end for 9 yards (tackle by Montaric Brown),-0.690,0.530
4,1:56,4,27,JAX 41,16,13,Corey Bojorquez punts 39 yards out of bounds,0.530,0.380
4,1:48,1,10,JAX 2,18,13,Trevor Lawrence sacked by Alex Wright for -2 yards safety.,-0.380,-2.000
4,1:44,,,,,,Timeout #3 by Cleveland Browns,,
4,1:44,,,JAX 20,18,13,Logan Cooke kicks off 22 yards,0.000,2.790
4,1:44,1,10,JAX 42,18,13,D'Onta Foreman up the middle for 3 yards (tackle by Travon Walker and Foyesade Oluokun),2.790,2.650
4,1:40,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,1:40,2,7,JAX 39,18,13,D'Onta Foreman up the middle for 1 yard (tackle by Travon Walker),2.650,2.080
4,1:36,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,1:36,3,6,JAX 38,18,13,Deshaun Watson pass incomplete short left intended for Cedric Tillman (defended by Josh Hines-Allen),2.080,0.720
4,1:33,4,6,JAX 38,18,13,Corey Bojorquez punts 28 yards fair catch by Devin Duvernay at JAC-10,0.720,0.380
4,1:27,1,10,JAX 10,18,13,Trevor Lawrence pass incomplete short middle intended for Christian Kirk (defended by Jordan Hicks),-0.380,-0.780
4,1:22,2,10,JAX 10,18,13,Trevor Lawrence pass complete deep middle to Gabriel Davis for 22 yards (tackle by Jeremiah Owusu-Koramoah),-0.780,1.070
4,1:10,1,10,JAX 32,18,13,Trevor Lawrence scrambles right end for 12 yards (tackle by Jeremiah Owusu-Koramoah),1.070,1.860
4,0:48,1,10,JAX 44,18,13,Trevor Lawrence pass incomplete short right intended for Gabriel Davis. Penalty on Gabriel Davis: Illegal Shift 5 yards (accepted) (no play),1.860,1.530
4,0:38,1,15,JAX 39,18,13,Trevor Lawrence pass incomplete deep left intended for Christian Kirk (defended by Ronnie Hickman),1.530,0.640
4,0:26,2,15,JAX 39,18,13,Trevor Lawrence pass complete deep left to Brian Thomas for 28 yards (tackle by Jeremiah Owusu-Koramoah),0.640,3.380
4,0:10,1,10,CLE 33,18,13,Trevor Lawrence spiked the ball,3.380,2.840
4,0:08,2,10,CLE 33,18,13,Trevor Lawrence pass incomplete deep middle,2.840,2.150
