Quarter,Time,Down,ToGo,Location,GNB,CHI,Detail,EPB,EPA
3,0:31,,,CHI 35,14,19,Cairo Santos kicks off 67 yards returned by Keisean Nixon for 26 yards (tackle by Noah Sewell),0.000,0.540
3,0:26,1,10,GNB 24,14,19,Jordan Love pass complete short right to Josh Jacobs for 8 yards (tackle by T.J. Edwards),0.540,1.080
4,15:00,2,2,GNB 32,14,19,Josh Jacobs right guard for 12 yards (tackle by Tremaine Edmunds and Kevin Byard),1.080,1.860
4,14:19,1,10,GNB 44,14,19,Jordan Love pass complete deep right to Christian Watson for 48 yards (tackle by Kyler Gordon),1.860,5.370
4,13:34,1,8,CHI 8,14,19,Josh Jacobs right guard for -1 yards (tackle by Tyrique Stevenson and Jonathan Owens),5.370,4.380
4,12:56,2,9,CHI 9,14,19,Josh Jacobs right guard for 4 yards (tackle by Kevin Byard and DeMarcus Walker),4.380,4.260
4,12:14,3,5,CHI 5,14,19,Jordan Love sacked by DeMarcus Walker for -1 yards,4.260,2.990
4,11:28,4,6,CHI 6,14,19,Jordan Love scrambles right end for 5 yards (tackle by T.J. Edwards and Tyrique Stevenson),2.990,0.380
4,11:19,1,10,CHI 2,14,19,Roschon Johnson right tackle for 3 yards (tackle by Rashan Gary and Xavier McKinney),-0.380,-0.560
4,10:34,2,7,CHI 5,14,19,Caleb Williams pass complete short right to Cole Kmet for 6 yards (tackle by Isaiah McDuffie),-0.560,-0.370
4,10:05,3,1,CHI 11,14,19,Roschon Johnson right guard for 1 yard (tackle by Rashan Gary),-0.370,-0.350
4,9:24,1,10,CHI 12,14,19,Caleb Williams pass incomplete deep right intended for Rome Odunze,-0.350,-0.780
4,9:17,2,10,CHI 12,14,19,D'Andre Swift right guard for 1 yard (tackle by Karl Brooks),-0.780,-1.300
4,8:37,3,9,CHI 13,14,19,Caleb Williams pass complete short left to Keenan Allen for 17 yards (tackle by Carrington Valentine),-1.300,0.940
4,8:05,1,10,CHI 30,14,19,Roschon Johnson right tackle for 6 yards (tackle by Arron Mosby and Quay Walker),0.940,1.200
4,7:18,,,,,,Timeout #1 by Chicago Bears,,
4,7:18,2,4,CHI 36,14,19,D'Andre Swift left end for 2 yards (tackle by Xavier McKinney),1.200,0.760
4,6:35,3,2,CHI 38,14,19,Caleb Williams pass complete short left to D.J. Moore for 6 yards (tackle by Carrington Valentine),0.760,1.860
4,6:06,1,10,CHI 44,14,19,Caleb Williams pass complete short left to Rome Odunze for 2 yards (tackle by Edgerrin Cooper),1.860,1.590
4,5:25,2,8,CHI 46,14,19,Caleb Williams pass incomplete short left intended for Keenan Allen,1.590,0.890
4,5:18,3,8,CHI 46,14,19,Caleb Williams pass complete short right to Rome Odunze for 5 yards (tackle by Keisean Nixon),0.890,0.000
4,4:27,4,3,GNB 49,14,19,Penalty on Caleb Williams: Delay of Game 5 yards (accepted) (no play),0.000,-0.320
4,4:27,4,8,CHI 46,14,19,Tory Taylor punts 48 yards returned by Jayden Reed for 16 yards (tackle by Travis Homer and Daniel Hardy),-0.320,-0.410
4,4:17,1,10,GNB 22,14,19,Josh Jacobs right guard for 4 yards (tackle by Tremaine Edmunds and Chris Williams),0.410,0.410
4,3:41,2,6,GNB 26,14,19,Jordan Love pass complete deep left to Christian Watson for 60 yards (tackle by Kyler Gordon) CHI challenged the pass completion ruling and the play was upheld.,0.410,4.650
4,3:12,1,10,CHI 14,14,19,Jordan Love scrambles right end for 13 yards (tackle by Kevin Byard) GNB challenged the runner broke the plane ruling and the play was upheld.,4.650,6.970
4,3:02,1,1,CHI 1,20,19,Jordan Love up the middle for 1 yard touchdown,6.970,7.000
4,2:59,,,CHI 2,20,19,Two Point Attempt: Josh Jacobs rushes conversion fails.,1.000,-1.000
4,2:59,,,GNB 35,20,19,Brandon McManus kicks off 65 yards touchback.,0.000,0.940
4,2:59,1,10,CHI 30,20,19,Caleb Williams sacked by Tedarrell Slaton for -1 yards,0.940,0.260
4,2:36,2,11,CHI 29,20,19,Caleb Williams sacked by Rashan Gary for -8 yards,0.260,-1.480
4,2:00,3,19,CHI 21,20,19,Caleb Williams pass complete deep right to Rome Odunze for 16 yards (tackle by Evan Williams),-1.480,-0.910
4,1:35,4,3,CHI 37,20,19,Caleb Williams pass complete deep right to Rome Odunze for 21 yards (tackle by Keisean Nixon),-0.910,2.790
4,0:56,1,10,GNB 42,20,19,Caleb Williams pass complete short left to Keenan Allen for 12 yards (tackle by Javon Bullard),2.790,3.580
4,0:35,,,,,,Timeout #3 by Green Bay Packers,,
4,0:35,1,10,GNB 30,20,19,Roschon Johnson up the middle for 2 yards (tackle by Rashan Gary and Carrington Valentine),3.580,3.300
4,0:03,,,,,,Timeout #3 by Chicago Bears,,
4,0:03,2,8,GNB 28,20,19,Cairo Santos 46 yard field goal no good blocked by Karl Brooks,3.300,1.270
