Quarter,Time,Down,ToGo,Location,ATL,DEN,Detail,EPB,EPA
3,7:56,1,10,DEN 46,6,28,Bo Nix pass incomplete short left intended for Devaughn Vele (defended by Natrone Brooks),1.990,1.450
3,7:54,2,10,DEN 46,6,28,Bo Nix pass complete short right to Audric Estime for 9 yards (tackle by Jessie Bates) DEN challenged the first down ruling and the original play was overturned. Bo Nix pass complete short right to Audric Estime for 11 yards (tackle by Jessie Bates),1.450,2.720
3,7:40,1,10,ATL 43,6,28,Bo Nix pass complete short left to Audric Estime for no gain (tackle by Nathan Landman). Penalty on Garett Bolles: Unnecessary Roughness / Offense 15 yards (accepted) (no play),2.720,1.730
3,7:09,1,25,DEN 42,6,28,Audric Estime left guard for 4 yards (tackle by David Onyemata and Grady Jarrett),1.730,0.690
3,6:46,2,21,DEN 46,6,28,Bo Nix pass complete short middle to Courtland Sutton for 11 yards (tackle by Jessie Bates),0.690,1.490
3,6:21,3,10,ATL 43,6,28,Bo Nix pass complete short left to Audric Estime for no gain (tackle by Nathan Landman),1.490,0.400
3,5:44,4,10,ATL 43,6,28,Riley Dixon punts 37 yards downed by Tremon Smith,0.400,0.380
3,5:35,1,10,ATL 6,6,28,Bijan Robinson left guard for 5 yards (tackle by Devon Key and Malcolm Roach),-0.380,-0.420
3,5:09,2,5,ATL 11,6,28,Kirk Cousins pass incomplete short middle intended for Drake London (defended by Patrick Surtain),-0.420,-0.840
3,5:03,3,5,ATL 11,6,28,Kirk Cousins pass complete short left to Kyle Pitts for no gain (tackle by Patrick Surtain). Penalty on Patrick Surtain: Face Mask (15 Yards) 15 yards (accepted) (no play),-0.840,0.670
3,4:51,1,10,ATL 26,6,28,Bijan Robinson left end for 1 yard (tackle by Dondrea Tillman and Zach Allen),0.670,0.270
3,4:11,2,9,ATL 27,6,28,Penalty on Kaleb McGary: False Start 5 yards (accepted) (no play),0.270,-0.410
3,3:55,2,14,ATL 22,6,28,Kirk Cousins pass complete short right to Ray-Ray McCloud for 7 yards (tackle by Cody Barton),-0.410,-0.160
3,3:25,3,7,ATL 29,6,28,Kirk Cousins sacked by Jonah Elliss for -7 yards,-0.160,-1.900
3,2:51,4,14,ATL 22,6,28,Bradley Pinion punts 46 yards out of bounds,-1.900,-1.070
3,2:45,1,10,DEN 32,6,28,Jaleel McLaughlin left tackle for 4 yards (tackle by David Onyemata),1.070,1.070
3,2:13,2,6,DEN 36,6,28,Bo Nix pass complete deep right to Courtland Sutton for 23 yards (tackle by AJ Terrell),1.070,2.850
3,1:25,1,10,ATL 41,6,28,Audric Estime left guard for 5 yards (tackle by Kaden Elliss and David Onyemata),2.850,2.980
3,0:53,2,5,ATL 36,6,28,Marvin Mims right end for 6 yards (tackle by Clark Phillips),2.980,3.580
4,15:00,1,10,ATL 30,6,28,Bo Nix pass complete short left to Javonte Williams for 4 yards (tackle by Nathan Landman),3.580,3.570
4,14:18,2,6,ATL 26,6,28,Audric Estime up the middle for -2 yards (tackle by Justin Simmons and Zach Harrison),3.570,2.610
4,14:00,3,8,ATL 28,6,28,Bo Nix pass complete short right to Lil'Jordan Humphrey for 1 yard (tackle by Matt Judon),2.610,1.670
4,13:12,4,7,ATL 27,6,31,Wil Lutz 45 yard field goal good,1.670,3.000
4,13:08,,,DEN 35,6,31,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,13:08,1,10,ATL 30,6,31,Penalty on Jake Matthews: False Start 5 yards (accepted) (no play),0.940,0.610
4,13:08,1,15,ATL 25,6,31,Kirk Cousins pass complete short right to Ray-Ray McCloud for 5 yards (tackle by Ja'Quan McMillian),0.610,0.390
4,12:39,2,10,ATL 30,6,31,Kirk Cousins pass complete short left to Bijan Robinson for -1 yards (tackle by Zach Allen),0.390,-0.430
4,12:04,3,11,ATL 29,6,31,Kirk Cousins sacked by Nik Bonitto for -7 yards,-0.430,-1.900
4,11:27,4,18,ATL 22,6,31,Bradley Pinion punts 51 yards returned by Marvin Mims for 14 yards (tackle by Lorenzo Carter and DeAngelo Malone),-1.900,-1.660
4,11:15,1,10,DEN 41,6,31,Javonte Williams up the middle for 6 yards (tackle by Jessie Bates),1.660,1.930
4,10:41,2,4,DEN 47,6,31,Jaleel McLaughlin left guard for 8 yards (tackle by Lorenzo Carter),1.930,2.590
4,9:59,1,10,ATL 45,6,31,Jaleel McLaughlin right end for 4 yards (tackle by Lorenzo Carter and Clark Phillips),2.590,2.580
4,9:12,2,6,ATL 41,6,37,Bo Nix pass complete short left to Lil'Jordan Humphrey for 41 yards touchdown,2.580,7.000
4,9:03,,,ATL 15,6,38,Wil Lutz kicks extra point good,0.000,0.000
4,9:03,,,DEN 35,6,38,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,9:03,,,,,,Timeout #2 by Denver Broncos,,
4,9:03,1,10,ATL 30,6,38,Michael Penix pass complete deep middle to Ray-Ray McCloud for 20 yards (tackle by Riley Moss),0.940,2.260
4,8:42,1,10,DEN 50,6,38,Michael Penix pass incomplete deep left intended for Casey Washington,2.260,1.710
4,8:29,2,10,DEN 50,6,38,Jase McClellan right tackle for 8 yards (tackle by Zach Cunningham and Ja'Quan McMillian),1.710,2.080
4,8:03,3,2,DEN 42,6,38,Jase McClellan right tackle for no gain (tackle by Riley Moss),2.080,0.460
4,7:21,4,2,DEN 42,6,38,Michael Penix pass complete short right to KhaDarel Hodge for 4 yards (tackle by Riley Moss and Zach Cunningham),0.460,3.050
4,6:43,1,10,DEN 38,6,38,Michael Penix sacked by Nik Bonitto for no gain,3.050,2.510
4,5:56,2,10,DEN 38,6,38,Jase McClellan right end for -8 yards (tackle by John Franklin-Myers),2.510,0.760
4,5:19,3,18,DEN 46,6,38,Michael Penix pass incomplete short left. Penalty on Matthew Bergeron: Ineligible Downfield Pass 5 yards (declined),0.760,0.200
4,5:03,4,18,DEN 46,6,38,Bradley Pinion punts 42 yards downed by Liam McCullough,0.200,0.380
4,4:53,1,10,DEN 4,6,38,Audric Estime left guard for 5 yards (tackle by Brandon Dorlus and AJ Terrell),-0.380,-0.420
4,4:21,2,5,DEN 9,6,38,Audric Estime right end for 4 yards (tackle by AJ Terrell),-0.420,-0.370
4,4:06,3,1,DEN 13,6,38,Michael Burton up the middle for no gain (tackle by Khalid Kareem and Brandon Dorlus),-0.370,-2.490
4,3:16,4,1,DEN 13,6,38,Riley Dixon punts 47 yards returned by Avery Williams for 10 yards (tackle by Devon Key),-2.490,-2.260
4,3:03,1,10,DEN 50,6,38,Jase McClellan left tackle for 3 yards (tackle by Zach Cunningham),2.260,2.120
4,2:29,2,7,DEN 47,6,38,Jase McClellan right end for 6 yards (tackle by JL Skinner and Dondrea Tillman),2.120,2.210
4,2:00,3,1,DEN 41,6,38,Jase McClellan left guard for 3 yards (tackle by Levelle Bailey and Keidron Smith),2.210,3.050
4,1:27,1,10,DEN 38,6,38,Jase McClellan up the middle for 4 yards (tackle by Levelle Bailey),3.050,3.050
4,0:45,2,6,DEN 34,6,38,Jase McClellan right guard for -1 yards (tackle by Malcolm Roach and Levi Wallace),3.050,2.210
