Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
3,11:32,1,10,DET 43,6,35,David Montgomery up the middle for 1 yard (tackle by Devin Lloyd and Foyesade Oluokun),1.800,1.390
3,11:07,2,9,DET 44,6,35,Jared Goff pass incomplete short middle intended for Jameson Williams,1.390,0.690
3,11:03,3,9,DET 44,6,35,Jared Goff pass complete deep middle to Jameson Williams for 22 yards (tackle by Andre Cisco and Foyesade Oluokun),0.690,3.310
3,10:15,1,10,JAX 34,6,35,Jared Goff pass complete short middle to David Montgomery for 9 yards (tackle by Tyson Campbell and Myles Cole),3.310,3.990
3,9:22,2,1,JAX 25,6,35,David Montgomery right tackle for 5 yards (tackle by Josh Hines-Allen and DaVon Hamilton). Penalty on Allen Robinson: Unnecessary Roughness / Offense 15 yards (accepted),3.990,3.250
3,9:05,1,10,JAX 35,6,35,Jared Goff scrambles right end for 8 yards (tackle by Jarrian Jones),3.250,3.780
3,8:19,2,2,JAX 27,6,35,David Montgomery left tackle for 4 yards (tackle by DaVon Hamilton),3.780,4.040
3,7:37,1,10,JAX 23,6,35,Amon-Ra St. Brown left end for -4 yards (tackle by Josh Hines-Allen),4.040,2.960
3,7:03,2,14,JAX 27,6,35,Jared Goff pass incomplete short left. Penalty on Jarrian Jones: Illegal Contact 5 yards (accepted) (no play),2.960,4.110
3,6:56,1,10,JAX 22,6,35,David Montgomery left tackle for 5 yards (tackle by Jordan Jefferson and Tyson Campbell),4.110,4.290
3,6:26,2,5,JAX 17,6,35,David Montgomery up the middle for 2 yards (tackle by Ventrell Miller),4.290,3.930
3,5:43,3,3,JAX 15,6,35,David Montgomery up the middle for 1 yard (tackle by Josh Hines-Allen),3.930,2.630
3,5:06,4,2,JAX 14,6,35,Jared Goff pass complete short middle to Tim Patrick for 9 yards (tackle by Tyson Campbell),2.630,6.060
3,4:21,1,5,JAX 5,6,41,Jared Goff pass complete short left to Brock Wright for 5 yards touchdown,6.060,7.000
3,4:16,,,JAX 15,6,42,Jake Bates kicks extra point good,0.000,0.000
3,4:16,,,DET 35,6,42,Jake Bates kicks off 64 yards returned by Devin Duvernay for 29 yards (tackle by Pat O'Connor and Malcolm Rodriguez),0.000,0.940
3,4:10,1,10,JAX 30,6,42,Travis Etienne left end for 2 yards (tackle by Alim McNeill and Ben Niemann),0.940,0.660
3,3:34,2,8,JAX 32,6,42,Mac Jones pass complete short left to Brian Thomas for 21 yards (tackle by Brian Branch),0.660,2.460
3,2:56,1,10,DET 47,6,42,Mac Jones pass incomplete short middle intended for Brenton Strange. Penalty on Jack Campbell: Defensive Pass Interference 6 yards (accepted) (no play),2.460,2.850
3,2:56,1,10,DET 41,6,42,Travis Etienne up the middle for 9 yards (tackle by Malcolm Rodriguez and Brian Branch),2.850,3.520
