Quarter,Time,Down,ToGo,Location,MIN,TEN,Detail,EPB,EPA
3,0:48,3,11,TEN 44,23,10,Will Levis pass complete deep middle to Bryce Oliver for 33 yards (tackle by Shaquill Griffin),0.560,4.040
4,15:00,1,10,MIN 23,23,10,Will Levis pass incomplete short left intended for Tyjae Spears,4.040,3.500
4,14:56,2,10,MIN 23,23,10,Tyjae Spears left tackle for -2 yards (tackle by Andrew Van Ginkel),3.500,2.540
4,14:20,3,12,MIN 25,23,10,Will Levis pass incomplete deep middle,2.540,1.800
4,14:12,4,12,MIN 25,23,13,Nick Folk 43 yard field goal good,1.800,3.000
4,14:08,,,TEN 35,23,13,Nick Folk kicks off 65 yards touchback.,0.000,0.940
4,14:08,1,10,MIN 30,23,13,Aaron Jones right guard for no gain (tackle by Jeffery Simmons),0.940,0.390
4,13:25,2,10,MIN 30,23,13,Sam Darnold pass incomplete short middle intended for Brandon Powell MIN challenged the pass completion ruling and the original play was overturned. Sam Darnold pass complete short middle to Brandon Powell for 13 yards (tackle by Jerome Baker),0.390,1.800
4,13:08,1,10,MIN 43,23,13,Aaron Jones left guard for 4 yards (tackle by Arden Key),1.800,1.790
4,12:30,2,6,MIN 47,23,13,Aaron Jones right tackle for 5 yards (tackle by Amani Hooker),1.790,1.750
4,11:47,3,1,TEN 48,23,13,Sam Darnold up the middle for 2 yards (tackle by T'Vondre Sweat),1.750,2.520
4,11:05,1,10,TEN 46,23,13,Sam Darnold pass incomplete deep left intended for Jalen Nailor,2.520,1.980
4,10:57,2,10,TEN 46,23,13,Sam Darnold pass incomplete short right intended for Jalen Nailor,1.980,1.290
4,10:54,3,10,TEN 46,23,13,Sam Darnold pass incomplete short right,1.290,0.200
4,10:48,4,10,TEN 46,23,13,Ryan Wright punts 40 yards returned by Jha'Quan Jackson for 20 yards (tackle by Ty Chandler). Penalty on Ty Chandler: Unnecessary Roughness / Defense 15 yards (accepted),0.200,-1.660
