Quarter,Time,Down,ToGo,Location,CIN,LAC,Detail,EPB,EPA
3,2:53,1,10,LAC 30,20,27,J.K. Dobbins left tackle for no gain (tackle by Myles Murphy and Logan Wilson),0.940,0.390
3,2:15,2,10,LAC 30,20,27,Derius Davis right end for 6 yards (tackle by Germaine Pratt),0.390,0.500
3,1:36,3,4,LAC 36,20,27,Justin Herbert pass complete short right to Ladd McConkey for 18 yards (tackle by Geno Stone),0.500,2.520
3,0:56,1,10,CIN 46,20,27,Justin Herbert pass incomplete deep left intended for Quentin Johnston (defended by DJ Turner),2.520,1.980
3,0:49,2,10,CIN 46,20,27,J.K. Dobbins left tackle for 15 yards (tackle by Logan Wilson),1.980,3.510
4,15:00,1,10,CIN 31,20,27,Justin Herbert scrambles right end for 7 yards. Justin Herbert fumbles (tackle by Mike Hilton) recovered by Geno Stone at CIN-23 and returned for 6 yards (tackle by Ladd McConkey),3.510,-0.870
4,14:50,1,10,CIN 29,20,27,Joe Burrow pass complete deep right to Chase Brown for 34 yards (tackle by Elijah Molden). Penalty on Kristian Fulton: Illegal Use of Hands / Defense 5 yards (declined),0.870,3.120
4,14:16,1,10,LAC 37,20,27,Chase Brown up the middle for 2 yards (tackle by Alohi Gilman). Penalty on Cordell Volson: Offensive Holding 10 yards (accepted),3.120,2.590
4,14:16,1,18,LAC 45,20,27,Joe Burrow pass complete short left to Ja'Marr Chase for 5 yards (tackle by Troy Dye),2.590,2.170
4,13:41,2,13,LAC 40,20,27,Joe Burrow pass complete short left to Drew Sample for 9 yards (tackle by Derwin James),2.170,2.680
4,13:00,3,4,LAC 31,20,27,Joe Burrow pass complete short left to Chase Brown for 14 yards (tackle by Daiyan Henley) Penalty on LAC: Defensive Too Many Men on Field 5 yards (declined),2.680,4.440
4,12:33,1,10,LAC 17,20,27,Joe Burrow pass incomplete short left intended for Chase Brown (defended by Daiyan Henley),4.440,3.850
4,12:28,2,10,LAC 17,26,27,Joe Burrow pass complete deep left to Ja'Marr Chase for 17 yards touchdown,3.850,7.000
4,12:21,,,LAC 15,27,27,Evan McPherson kicks extra point good,0.000,0.000
4,12:21,,,CIN 35,27,27,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
4,12:21,1,10,LAC 30,27,27,Justin Herbert pass complete short right to Josh Palmer for 12 yards (tackle by Josh Newton),0.940,1.730
4,12:09,1,10,LAC 42,27,27,Justin Herbert pass incomplete deep left intended for Jalen Reagor,1.730,1.190
4,12:00,2,10,LAC 42,27,27,Justin Herbert pass incomplete short left intended for Derius Davis (defended by Trey Hendrickson),1.190,0.500
4,11:56,3,10,LAC 42,27,27,Penalty on Trey Hendrickson: Neutral Zone Infraction 5 yards (accepted) (no play),0.500,1.160
4,11:56,3,5,LAC 47,27,27,Justin Herbert pass incomplete short right intended for Quentin Johnston,1.160,-0.260
4,11:52,4,5,LAC 47,27,27,JK Scott punts 39 yards fair catch by Trenton Irwin at CIN-14,-0.260,0.280
4,11:46,1,10,CIN 14,27,27,Chase Brown left end for 3 yards (tackle by Kristian Fulton),-0.280,-0.370
4,11:03,2,7,CIN 17,27,27,Joe Burrow pass complete short right to Tee Higgins for 10 yards (tackle by Tarheeb Still),-0.370,0.740
4,10:38,1,10,CIN 27,27,27,Chase Brown up the middle for 9 yards (tackle by Tuli Tuipulotu and Elijah Molden),0.740,1.410
4,9:58,2,1,CIN 36,27,27,Joe Burrow pass deep right is intercepted by Alohi Gilman at LAC-32 and returned for no gain (tackle by Andrei Iosivas). Penalty on Otito Ogbonnia: Roughing the Passer 15 yards (accepted) (no play),1.410,2.320
4,9:46,1,10,LAC 49,27,27,Chase Brown left end for 1 yard (tackle by Tarheeb Still),2.320,1.920
4,9:10,2,9,LAC 48,27,27,Joe Burrow pass incomplete short left,1.920,1.220
4,9:04,3,9,LAC 48,27,27,Joe Burrow scrambles up the middle for 14 yards (tackle by Tarheeb Still),1.220,3.310
4,8:14,1,10,LAC 34,27,27,Chase Brown up the middle for 4 yards (tackle by Troy Dye and Daiyan Henley),3.310,3.310
4,7:47,2,6,LAC 30,27,27,Joe Burrow pass incomplete short right intended for Drew Sample,3.310,2.610
4,7:40,3,6,LAC 30,27,27,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Tarheeb Still),2.610,1.430
4,7:35,4,6,LAC 30,27,27,Evan McPherson 48 yard field goal no good,1.430,-1.470
4,7:31,1,10,LAC 38,27,27,J.K. Dobbins left tackle for 7 yards (tackle by B.J. Hill and Mike Hilton),1.470,1.870
4,6:52,2,3,LAC 45,27,27,J.K. Dobbins left guard for -1 yards (tackle by Mike Hilton and Logan Wilson),1.870,1.020
4,6:10,3,4,LAC 44,27,27,Justin Herbert pass complete short right to Josh Palmer for no gain (tackle by Mike Hilton). Penalty on Rashawn Slater: Offensive Holding 10 yards (accepted) (no play),1.020,-0.290
4,5:44,3,14,LAC 34,27,27,Justin Herbert pass incomplete deep right intended for Ladd McConkey,-0.290,-1.110
4,5:36,4,14,LAC 34,27,27,JK Scott punts 55 yards returned by Trenton Irwin for 10 yards (tackle by Shaquille Quarterman),-1.110,-0.340
4,5:24,1,10,CIN 21,27,27,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Daiyan Henley),0.340,1.020
4,4:50,2,1,CIN 30,27,27,Chase Brown right guard for 3 yards (tackle by Daiyan Henley and Morgan Fox),1.020,1.140
4,4:17,1,10,CIN 33,27,27,Joe Burrow pass complete short right to Tee Higgins for 21 yards (tackle by Daiyan Henley),1.140,2.520
4,3:30,1,10,LAC 46,27,27,Chase Brown right end for -2 yards (tackle by Tuli Tuipulotu),2.520,1.710
4,2:51,2,12,LAC 48,27,27,Joe Burrow pass complete short middle to Andrei Iosivas for 13 yards (tackle by Alohi Gilman),1.710,3.250
4,2:28,,,,,,Timeout #1 by Los Angeles Chargers,,
4,2:28,1,10,LAC 35,27,27,Chase Brown right guard for 2 yards (tackle by Joey Bosa and Troy Dye),3.250,2.970
4,2:00,2,8,LAC 33,27,27,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Kristian Fulton),2.970,2.280
4,1:56,3,8,LAC 33,27,27,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,2.280,1.150
4,1:52,4,8,LAC 33,27,27,Evan McPherson 51 yard field goal no good,1.150,-1.660
4,1:48,1,10,LAC 41,27,27,Justin Herbert pass incomplete short right intended for Ladd McConkey,1.660,1.120
4,1:43,2,10,LAC 41,27,27,Justin Herbert pass incomplete short right intended for Ladd McConkey (defended by Mike Hilton),1.120,0.430
4,1:39,3,10,LAC 41,27,27,Justin Herbert pass incomplete deep middle intended for Josh Palmer (defended by Josh Newton),0.430,-0.650
4,1:34,4,10,LAC 41,27,27,JK Scott punts 43 yards fair catch by Trenton Irwin at CIN-16,-0.650,0.140
4,1:26,1,10,CIN 16,27,27,Joe Burrow scrambles left end for 14 yards (tackle by Derwin James),-0.140,0.940
4,1:14,1,10,CIN 30,27,27,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,0.940,0.390
4,1:05,2,10,CIN 30,27,27,Joe Burrow pass incomplete short left intended for Chase Brown (defended by Kristian Fulton),0.390,-0.300
4,1:01,3,10,CIN 30,27,27,Joe Burrow pass incomplete short right intended for Tee Higgins,-0.300,-1.370
4,0:55,4,10,CIN 30,27,27,Ryan Rehkow punts 64 yards returned by Derius Davis for 10 yards (tackle by Tycen Anderson),-1.370,0.140
4,0:45,1,10,LAC 16,27,27,Justin Herbert pass complete deep right to Ladd McConkey for 28 yards (tackle by Mike Hilton),-0.140,1.860
4,0:35,,,,,,Timeout #2 by Los Angeles Chargers,,
4,0:35,1,10,LAC 44,27,27,Justin Herbert pass incomplete short right intended for Will Dissly,1.860,1.320
4,0:31,2,10,LAC 44,27,27,Justin Herbert pass complete deep left to Ladd McConkey for 27 yards (tackle by Geno Stone),1.320,3.640
4,0:26,,,,,,Timeout #2 by Cincinnati Bengals,,
4,0:26,1,10,CIN 29,27,33,J.K. Dobbins left tackle for 29 yards touchdown,3.640,7.000
4,0:18,,,CIN 15,27,34,Cameron Dicker kicks extra point good,0.000,0.000
4,0:18,,,LAC 35,27,34,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
4,0:18,1,10,CIN 30,27,34,Joe Burrow pass complete deep middle to Andrei Iosivas for 27 yards (tackle by Derwin James),0.940,2.720
4,0:10,,,,,,Timeout #3 by Cincinnati Bengals,,
4,0:10,1,10,LAC 43,27,34,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Ja'Sir Taylor),2.720,2.180
4,0:03,,,,,,Timeout #3 by Los Angeles Chargers,,
4,0:03,2,10,LAC 43,27,34,Joe Burrow pass incomplete deep middle (defended by Derwin James),2.180,1.490
