Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA
3,12:35,3,13,IND 18,13,14,Anthony Richardson pass complete short middle to Josh Downs for 15 yards (tackle by Jamien Sherwood),-1.410,1.140
3,12:00,1,10,IND 33,13,14,Jonathan Taylor left tackle for -3 yards (tackle by Quinnen Williams),1.140,0.190
3,11:24,2,13,IND 30,13,14,Penalty on Braden Smith: False Start 5 yards (accepted) (no play),0.190,-0.490
3,11:07,2,18,IND 25,13,14,Jonathan Taylor up the middle for 9 yards (tackle by Eric Watts),-0.490,0.040
3,10:27,3,9,IND 34,13,14,Anthony Richardson pass complete short right to Josh Downs for 11 yards (tackle by Michael Carter),0.040,1.930
3,9:56,1,10,IND 45,13,14,Anthony Richardson pass complete deep right to Alec Pierce for 16 yards (tackle by D.J. Reed),1.930,2.980
3,9:15,1,10,NYJ 39,13,14,Anthony Richardson pass incomplete short right intended for Michael Pittman,2.980,2.440
3,9:05,2,10,NYJ 39,13,14,Jonathan Taylor right guard for 1 yard (tackle by Quincy Williams),2.440,1.880
3,8:25,3,9,NYJ 38,13,14,Jonathan Taylor up the middle for no gain (tackle by Micheal Clemons),1.880,0.720
3,7:45,4,9,NYJ 38,16,14,Matt Gay 56 yard field goal good,0.720,3.000
3,7:41,,,IND 35,16,14,Matt Gay kicks off 65 yards touchback.,0.000,0.940
3,7:41,1,10,NYJ 30,16,14,Breece Hall left guard for 5 yards (tackle by DeForest Buckner and Laiatu Latu),0.940,1.070
3,7:01,2,5,NYJ 35,16,14,Aaron Rodgers pass complete short middle to Breece Hall for no gain (tackle by Zaire Franklin),1.070,0.370
3,6:20,3,5,NYJ 35,16,14,Aaron Rodgers pass incomplete short left intended for Garrett Wilson (defended by Jaylon Jones),0.370,-1.040
3,6:13,4,5,NYJ 35,16,14,Thomas Morstead punts 49 yards out of bounds,-1.040,0.140
3,6:06,1,10,IND 16,16,14,Anthony Richardson aborted snap recovered by Anthony Richardson at IND-7 and returned for -9 yards,-0.140,-1.440
3,5:20,2,19,IND 7,16,14,Anthony Richardson pass incomplete short left intended for Alec Pierce,-1.440,-2.470
3,5:18,3,19,IND 7,16,14,Jonathan Taylor right tackle for 3 yards (tackle by Quinnen Williams),-2.470,-2.490
3,4:43,4,16,IND 10,16,14,Rigoberto Sanchez punts 43 yards fair catch by Xavier Gipson at NYJ-47. Penalty on Ashton Dulin: Fair Catch Interference 15 yards (accepted),-2.490,-3.050
3,4:32,1,10,IND 38,16,14,Breece Hall right end for no gain (tackle by E.J. Speed),3.050,2.510
3,3:53,2,10,IND 38,16,14,Aaron Rodgers pass complete short middle to Breece Hall for -2 yards (tackle by Kwity Paye and Raekwon Davis),2.510,1.550
3,3:05,3,12,IND 40,16,14,Aaron Rodgers pass incomplete short right intended for Tyler Conklin,1.550,0.590
3,3:00,4,12,IND 40,16,17,Anders Carlson 58 yard field goal good,0.590,3.000
3,2:55,,,NYJ 35,16,17,Anders Carlson kicks off 62 yards returned by Tyler Goodson for 20 yards (tackle by Irvin Charles). Penalty on Andrew Ogletree: Illegal Formation 5 yards (accepted),0.000,0.040
3,2:50,1,10,IND 18,16,17,Anthony Richardson right guard for 5 yards (tackle by Micheal Clemons and Javon Kinlaw),0.040,0.280
3,2:21,2,5,IND 23,16,17,Jonathan Taylor for no gain. Penalty on Ashton Dulin: Offensive Holding 10 yards (accepted) (no play),0.280,-1.140
3,2:07,2,15,IND 13,16,17,Anthony Richardson pass complete short left to Michael Pittman for -2 yards (tackle by Michael Carter),-1.140,-2.240
3,1:13,3,17,IND 11,16,17,Anthony Richardson pass incomplete short right intended for Jonathan Taylor,-2.240,-2.490
3,1:08,4,17,IND 11,16,17,Rigoberto Sanchez punts 58 yards returned by Xavier Gipson for 10 yards (tackle by Segun Olubi and Ashton Dulin),-2.490,-1.660
3,0:57,1,10,NYJ 41,16,17,Aaron Rodgers pass complete short right to Davante Adams for 24 yards (tackle by Kenny Moore),1.660,3.250
3,0:19,1,10,IND 35,16,17,Breece Hall left guard for 3 yards (tackle by Grant Stuard and DeForest Buckner),3.250,3.110
4,15:00,2,7,IND 32,16,17,Aaron Rodgers pass complete short left to Davante Adams for 5 yards (tackle by E.J. Speed),3.110,3.070
4,14:19,3,2,IND 27,16,17,Breece Hall right end for 16 yards (tackle by Nick Cross),3.070,4.840
4,13:36,1,10,IND 11,16,17,Penalty on Alijah Vera-Tucker: False Start 4 yards (accepted) (no play),4.840,4.410
4,13:36,1,14,IND 15,16,17,Braelon Allen up the middle for 4 yards (tackle by Grover Stewart and E.J. Speed),4.410,4.140
4,13:08,2,10,IND 11,16,23,Aaron Rodgers pass complete short right to Kenny Yeboah for 11 yards touchdown,4.140,7.000
4,13:03,,,IND 15,16,24,Anders Carlson kicks extra point good,0.000,0.000
4,13:03,,,NYJ 35,16,24,Anders Carlson kicks off 65 yards touchback.,0.000,0.940
4,13:03,1,10,IND 30,16,24,Anthony Richardson pass incomplete short right,0.940,0.390
