Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
4,10:33,1,10,PHI 44,10,12,Jayden Daniels pass complete short right to Terry McLaurin for 10 yards (tackle by Cooper DeJean),2.650,3.310
4,9:57,1,10,PHI 34,10,12,Jayden Daniels pass complete short right to John Bates for 9 yards (tackle by Zack Baun),3.310,3.990
4,9:24,2,1,PHI 25,10,12,Brian Robinson right guard for no gain (tackle by Jalen Carter and Nakobe Dean),3.990,3.270
4,8:39,3,1,PHI 25,10,12,Brian Robinson up the middle for -1 yards (tackle by Zack Baun and Brandon Graham),3.270,1.860
4,8:01,4,2,PHI 26,10,12,Jayden Daniels right end for no gain (tackle by Zack Baun and Reed Blankenship),1.860,-0.670
4,7:55,1,10,PHI 26,10,12,Saquon Barkley right guard for 3 yards (tackle by Frankie Luvu),0.670,0.540
4,7:14,2,7,PHI 29,10,12,Jalen Hurts pass complete deep right to Dallas Goedert for 32 yards. Dallas Goedert fumbles (tackle by Jeremy Chinn recovered by Grant Calcaterra at WAS-32 and returned for 2 yards,0.540,3.580
4,6:28,1,10,WAS 30,10,12,Saquon Barkley up the middle for 1 yard (tackle by Dorance Armstrong),3.580,3.170
4,5:46,2,9,WAS 29,10,12,Jalen Hurts pass complete short left to A.J. Brown for 6 yards (tackle by Mike Sainristil),3.170,3.270
4,5:05,3,3,WAS 23,10,18,Saquon Barkley right end for 23 yards touchdown,3.270,7.000
4,4:58,,,WAS 15,10,19,Jake Elliott kicks extra point good,0.000,0.000
4,4:58,,,PHI 35,10,19,Braden Mann kicks off 65 yards touchback.,0.000,0.940
4,4:58,1,10,WAS 30,10,19,Jayden Daniels pass deep left intended for Noah Brown is intercepted by Reed Blankenship at WAS-46 and returned for no gain,0.940,-2.520
4,4:50,1,10,WAS 46,10,19,Saquon Barkley left guard for 7 yards (tackle by Sheldon Day),2.520,2.920
4,4:45,,,,,,Timeout #1 by Washington Commanders,,
4,4:45,2,3,WAS 39,10,25,Saquon Barkley up the middle for 39 yards touchdown,2.920,7.000
4,4:38,,,WAS 15,10,26,Jake Elliott kicks extra point good,0.000,0.000
4,4:38,,,PHI 35,10,26,Braden Mann kicks off 65 yards touchback.,0.000,0.940
4,4:38,1,10,WAS 30,10,26,Jayden Daniels pass complete short right to Austin Ekeler for 7 yards (tackle by Moro Ojomo),0.940,1.340
4,4:14,2,3,WAS 37,10,26,Jayden Daniels pass complete short right to Austin Ekeler for 1 yard (tackle by Zack Baun),1.340,0.760
4,3:38,3,2,WAS 38,10,26,Jayden Daniels pass complete short right to Zach Ertz for 4 yards (tackle by Zack Baun),0.760,1.730
4,3:33,1,10,WAS 42,10,26,Jayden Daniels pass incomplete short middle intended for Olamide Zaccheaus,1.730,1.190
4,3:29,2,10,WAS 42,10,26,Jayden Daniels pass incomplete short right intended for Olamide Zaccheaus. Penalty on Moro Ojomo: Roughing the Passer 15 yards (accepted) (no play),1.190,2.720
4,3:25,1,10,PHI 43,10,26,Jayden Daniels scrambles right end for 5 yards (tackle by Nakobe Dean),2.720,2.850
