Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
2,0:52,2,10,HOU 30,17,10,C.J. Stroud pass incomplete short right intended for Tank Dell,0.390,-0.300
2,0:49,3,10,HOU 30,17,10,C.J. Stroud pass incomplete short right,-0.300,-1.370
2,0:45,4,10,HOU 30,17,10,Tommy Townsend punts 52 yards fair catch by KaVontae Turpin at DAL-18,-1.370,-0.040
2,0:37,1,10,DAL 18,17,10,Cooper Rush pass complete short left to Ezekiel Elliott for 5 yards (tackle by Devin White),0.040,0.280
2,0:29,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:29,2,5,DAL 23,17,10,Cooper Rush pass complete short right to Brevyn Spann-Ford for 7 yards (tackle by Derek Stingley),0.280,0.940
2,0:21,1,10,DAL 30,17,10,Cooper Rush pass incomplete deep right intended for Ryan Flournoy (defended by Ka'dar Hollman),0.940,0.390
2,0:15,2,10,DAL 30,17,10,Cooper Rush pass incomplete deep middle intended for Jalen Tolbert (defended by Derek Stingley),0.390,-0.300
2,0:09,3,10,DAL 30,17,10,Cooper Rush pass incomplete short right intended for Jonathan Mingo,-0.300,-1.370
2,0:05,,,,,,Timeout #3 by Dallas Cowboys,,
2,0:05,4,10,DAL 30,17,10,Cooper Rush pass incomplete deep right,-1.370,0.940
3,15:00,,,HOU 35,17,10,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,DAL 30,17,10,Rico Dowdle left tackle for 1 yard (tackle by Denico Autry and Ka'dar Hollman),0.940,0.530
3,14:27,2,9,DAL 31,17,10,Cooper Rush sacked by Danielle Hunter for -4 yards,0.530,-0.690
3,13:44,3,13,DAL 27,17,10,Cooper Rush pass complete short right to CeeDee Lamb for 8 yards (tackle by Derek Stingley),-0.690,-1.040
3,13:02,4,5,DAL 35,17,10,Bryan Anger punts 40 yards fair catch by Robert Woods at HOU-25,-1.040,-0.610
3,12:52,1,10,HOU 25,17,10,C.J. Stroud pass complete short left to Tank Dell for 4 yards (tackle by Israel Mukuamu and Malik Hooker),0.610,0.600
3,12:18,2,6,HOU 29,17,10,C.J. Stroud pass complete short left to Tank Dell for 12 yards (tackle by Donovan Wilson),0.600,1.660
3,11:41,1,10,HOU 41,17,10,C.J. Stroud scrambles right end for 3 yards (tackle by DeMarvion Overshown),1.660,1.530
3,11:01,2,7,HOU 44,17,10,C.J. Stroud pass complete short right to John Metchie for 7 yards (tackle by Josh Butler),1.530,2.320
3,10:23,1,10,DAL 49,17,10,Joe Mixon left end for 4 yards (tackle by Mazi Smith),2.320,2.320
3,9:41,2,6,DAL 45,17,10,C.J. Stroud pass complete deep left to Nico Collins for 33 yards (tackle by Josh Butler),2.320,4.780
3,8:57,1,10,DAL 12,17,10,C.J. Stroud pass complete short middle to Dalton Schultz for 2 yards (tackle by Chauncey Golston and Carlos Watkins),4.780,4.450
3,8:16,2,8,DAL 10,17,10,Joe Mixon left end for no gain (tackle by Trevon Diggs). Penalty on Juice Scruggs: Offensive Holding 10 yards (accepted) (no play),4.450,3.140
3,7:53,2,18,DAL 20,17,10,C.J. Stroud pass complete short right to John Metchie for 10 yards (tackle by Trevon Diggs),3.140,3.480
3,7:12,3,8,DAL 10,17,10,C.J. Stroud pass incomplete short right intended for Joe Mixon,3.480,2.760
3,7:07,4,8,DAL 10,20,10,Ka'imi Fairbairn 29 yard field goal good,2.760,3.000
3,7:05,,,HOU 35,20,10,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
3,7:05,1,10,DAL 30,20,10,Cooper Rush pass complete short middle to CeeDee Lamb for 11 yards (tackle by Ka'dar Hollman),0.940,1.660
3,6:35,1,10,DAL 41,20,10,Cooper Rush pass incomplete short right intended for Deuce Vaughn,1.660,1.120
3,6:31,2,10,DAL 41,20,10,Cooper Rush pass complete short middle to Luke Schoonmaker for 13 yards (tackle by Calen Bullock),1.120,2.520
3,5:56,1,10,HOU 46,20,10,Deuce Vaughn right tackle for 3 yards (tackle by Jalen Pitre and Devin White),2.520,2.380
3,5:26,2,7,HOU 43,20,10,Cooper Rush pass complete short right to Brevyn Spann-Ford for 7 yards (tackle by Ka'dar Hollman),2.380,3.180
3,4:48,1,10,HOU 36,20,10,Cooper Rush pass incomplete short right intended for CeeDee Lamb,3.180,2.640
3,4:37,2,10,HOU 36,20,10,Cooper Rush pass incomplete deep left intended for CeeDee Lamb. Penalty on CeeDee Lamb: Offensive Pass Interference 10 yards (accepted) (no play),2.640,1.290
3,4:31,2,20,HOU 46,20,10,Cooper Rush pass incomplete short right intended for Luke Schoonmaker,1.290,0.630
3,4:27,3,20,HOU 46,20,10,Cooper Rush pass incomplete deep left intended for CeeDee Lamb,0.630,0.200
3,4:21,4,20,HOU 46,20,10,Brandon Aubrey yard field goal good. Penalty on Derek Barnett: Unnecessary Roughness / Defense 15 yards (accepted) (no play),0.200,3.510
3,4:16,1,10,HOU 31,20,10,Cooper Rush pass complete short right to Jalen Tolbert for 15 yards (tackle by Jimmie Ward),3.510,4.510
3,3:38,1,10,HOU 16,20,10,Cooper Rush aborted snap recovered by Cooper Rush at HOU-21 and returned for -5 yards,4.510,3.280
3,2:52,2,15,HOU 21,20,10,Cooper Rush pass incomplete short middle intended for Luke Schoonmaker (defended by Calen Bullock),3.280,2.610
3,2:50,3,15,HOU 21,20,10,Cooper Rush pass complete short left to CeeDee Lamb for 13 yards,2.610,2.990
3,2:21,4,2,HOU 8,20,10,Cooper Rush pass incomplete short right intended for Jonathan Mingo. Penalty on Luke Schoonmaker: Offensive Holding 10 yards (declined),2.990,0.380
3,2:13,1,10,HOU 8,20,10,Joe Mixon left tackle for 5 yards (tackle by Eric Kendricks and Donovan Wilson),-0.380,-0.410
