Quarter,Time,Down,ToGo,Location,TAM,NYG,Detail,EPB,EPA
3,3:33,,,,,,Timeout #1 by New York Giants,,
3,3:33,2,10,NYG 32,30,0,Tommy DeVito pass complete short right to Wan'Dale Robinson for 7 yards (tackle by Lavonte David),0.530,0.760
3,2:54,3,3,NYG 39,30,0,Tommy DeVito pass complete short right to Malik Nabers for 11 yards (tackle by Zyon McCollum),0.760,2.260
3,2:13,1,10,NYG 50,30,0,Tommy DeVito pass complete short left to Malik Nabers for 4 yards (tackle by Christian Izien and Jamel Dean),2.260,2.250
3,1:27,2,6,TAM 46,30,0,Tommy DeVito pass complete short right to Devin Singletary for -3 yards (tackle by Anthony Nelson),2.250,1.160
3,0:41,3,9,TAM 49,30,0,Tommy DeVito pass complete short left to Theo Johnson for 9 yards (tackle by Christian Izien),1.160,2.920
3,0:14,1,10,TAM 40,30,0,Tommy DeVito pass complete short middle to Wan'Dale Robinson for no gain (tackle by K.J. Britt). Penalty on Theo Johnson: Offensive Pass Interference 10 yards (accepted) (no play),2.920,2.260
4,15:00,1,20,TAM 50,30,0,Tommy DeVito pass complete short right to Eric Gray for 4 yards (tackle by Lavonte David),2.260,1.560
4,14:29,2,16,TAM 46,30,0,Tommy DeVito scrambles right guard for 6 yards (tackle by Chris Braswell),1.560,1.680
4,13:57,3,10,TAM 40,30,0,Tommy DeVito pass complete short left to Wan'Dale Robinson for 16 yards (tackle by Mike Edwards and Anthony Nelson),1.680,3.970
4,13:25,1,10,TAM 24,30,0,Tommy DeVito pass complete short middle to Malik Nabers for 7 yards (tackle by Christian Izien and Antoine Winfield),3.970,4.460
4,12:46,2,3,TAM 17,30,0,Eric Gray up the middle for -1 yards (tackle by Jordan Whitehead),4.460,3.570
4,12:18,3,4,TAM 18,30,0,Tommy DeVito scrambles up the middle for 17 yards (tackle by Jordan Whitehead),3.570,6.970
4,11:30,1,1,TAM 1,30,6,Devin Singletary up the middle for 1 yard touchdown,6.970,7.000
4,11:28,,,TAM 15,30,7,Graham Gano kicks extra point good,0.000,0.000
4,11:28,,,NYG 35,30,7,Graham Gano kicks off 69 yards recovered by Sean Tucker in end zone (tackle by Isaiah Simmons),0.000,-0.380
4,11:25,1,10,TAM 2,30,7,Bucky Irving left guard for 3 yards (tackle by Tyler Nubin and Patrick Johnson),-0.380,-0.560
4,10:48,2,7,TAM 5,30,7,Bucky Irving left end for 56 yards (tackle by Jason Pinnock),-0.560,2.980
4,9:56,1,10,NYG 39,30,7,Rachaad White up the middle for 9 yards (tackle by Rakeem Nunez-Roches and Bobby Okereke),2.980,3.660
4,9:12,2,1,NYG 30,30,7,Baker Mayfield aborted snap recovered by D.J. Davidson at NYG-35,3.660,-1.270
4,9:03,1,10,NYG 35,30,7,Tommy DeVito scrambles right end for 6 yards (tackle by Zyon McCollum),1.270,1.530
4,8:32,2,4,NYG 41,30,7,Tommy DeVito pass complete short left to Theo Johnson for 7 yards (tackle by Christian Izien),1.530,2.130
4,8:09,1,10,NYG 48,30,7,Tommy DeVito left tackle for 1 yard (tackle by K.J. Britt),2.130,1.720
4,7:41,2,9,NYG 49,30,7,Tommy DeVito pass incomplete short middle intended for Malik Nabers (defended by Mike Edwards),1.720,1.020
4,7:35,3,9,NYG 49,30,7,Tommy DeVito pass incomplete short right intended for Theo Johnson,1.020,-0.130
4,7:30,4,9,NYG 49,30,7,Tommy DeVito pass incomplete short middle intended for Theo Johnson,-0.130,-2.320
4,7:25,1,10,NYG 49,30,7,Bucky Irving left end for 3 yards. Bucky Irving fumbles (tackle by Andru Phillips recovered by Bucky Irving at NYG-46,2.320,2.190
4,6:43,2,7,NYG 46,30,7,Rachaad White up the middle for 3 yards (tackle by D.J. Davidson),2.190,1.880
4,6:02,3,4,NYG 43,30,7,Rachaad White left tackle for no gain (tackle by Dexter Lawrence and Patrick Johnson),1.880,0.400
4,5:18,4,4,NYG 43,30,7,Trenton Gill punts 33 yards fair catch by Ihmir Smith-Marsette at NYG-10,0.400,0.380
4,5:12,1,10,NYG 10,30,7,Penalty on Jon Runyan: False Start 5 yards (accepted) (no play),-0.380,-0.570
4,5:12,1,15,NYG 5,30,7,Tommy DeVito pass incomplete deep right,-0.570,-1.150
4,5:00,2,15,NYG 5,30,7,Tommy DeVito pass incomplete deep left intended for Jalin Hyatt. Penalty on Calijah Kancey: Defensive Offside 5 yards (accepted) (no play),-1.150,-0.780
4,5:00,2,10,NYG 10,30,7,Drew Lock pass complete short right to Tyrone Tracy for 3 yards (tackle by Zyon McCollum and Christian Izien),-0.780,-1.070
4,4:20,3,7,NYG 13,30,7,Tommy DeVito sacked by Antoine Winfield for -2 yards,-1.070,-2.490
4,3:36,4,9,NYG 11,30,7,Jamie Gillan punts 43 yards returned by Trey Palmer for 15 yards (tackle by Daniel Bellinger),-2.490,-2.980
4,3:25,1,10,NYG 39,30,7,Rachaad White right tackle for 3 yards (tackle by Micah McFadden),2.980,2.850
4,2:42,2,7,NYG 36,30,7,Rachaad White left tackle for 5 yards (tackle by Brian Burns and Micah McFadden),2.850,2.810
4,2:00,3,2,NYG 31,30,7,Rachaad White up the middle for 1 yard (tackle by Rakeem Nunez-Roches and Darius Muasau),2.810,1.520
4,1:16,4,1,NYG 30,30,7,Rachaad White left guard for no gain (tackle by Brian Burns and Micah McFadden),1.520,-0.940
4,1:11,1,10,NYG 30,30,7,Tommy DeVito pass complete short left to Wan'Dale Robinson for 7 yards (tackle by Christian Izien),0.940,1.340
4,0:48,2,3,NYG 37,30,7,Tommy DeVito pass complete short middle to Devin Singletary for 10 yards (tackle by J.J. Russell and Christian Izien),1.340,2.060
4,0:43,,,,,,Timeout #2 by New York Giants,,
4,0:43,1,10,NYG 47,30,7,Tommy DeVito pass complete short middle to Tyrone Tracy for 10 yards (tackle by Christian Izien),2.060,2.720
4,0:23,1,10,TAM 43,30,7,Tommy DeVito pass complete short middle to Tyrone Tracy for 11 yards (tackle by Christian Izien and J.J. Russell),2.720,3.450
4,0:16,,,,,,Timeout #3 by New York Giants,,
4,0:16,1,10,TAM 32,30,7,Tommy DeVito pass complete short right to Tyrone Tracy for 4 yards (tackle by Zyon McCollum),3.450,3.440
4,0:11,2,6,TAM 28,30,7,Tommy DeVito pass incomplete short left intended for Tyrone Tracy (defended by Anthony Nelson). Penalty on Chris Braswell: Roughing the Passer 14 yards (accepted) (no play),3.440,4.650
4,0:08,1,10,TAM 14,30,7,Tommy DeVito pass incomplete short left intended for Darius Slayton,4.650,4.000
4,0:04,2,10,TAM 14,30,7,Tommy DeVito pass incomplete short left intended for Darius Slayton,4.000,3.110
