Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA
4,12:57,1,10,LAR 19,27,14,Saquon Barkley right end for 9 yards (tackle by Quentin Lake),4.310,5.360
4,12:16,2,1,LAR 10,27,14,Saquon Barkley up the middle for 3 yards (tackle by Christian Rozeboom and Kamren Curl),5.360,5.600
4,11:30,,,,,,Timeout #1 by Philadelphia Eagles,,
4,11:30,1,7,LAR 7,27,14,Jalen Hurts left guard for -1 yards (tackle by Christian Rozeboom),5.600,4.570
4,10:49,2,8,LAR 8,27,14,Jalen Hurts pass incomplete short left,4.570,3.580
4,10:42,3,8,LAR 8,27,14,Jalen Hurts pass incomplete short right intended for A.J. Brown. Penalty on Quentin Lake: Defensive Pass Interference 15 yards (offset) . Penalty on Landon Dickerson: Unnecessary Roughness / Offense 15 yards (offset) (no play),3.580,3.580
4,10:37,3,8,LAR 8,27,14,Jalen Hurts pass incomplete short left intended for Johnny Wilson (defended by Ahkello Witherspoon),3.580,2.950
4,10:33,4,8,LAR 8,30,14,Jake Elliott 26 yard field goal good,2.950,3.000
4,10:30,,,PHI 35,30,14,Braden Mann kicks off 63 yards returned by Xavier Smith for 30 yards (tackle by Sydney Brown),0.000,1.070
4,10:24,1,10,LAR 32,30,14,Matthew Stafford pass complete short left to Puka Nacua for 11 yards (tackle by Cooper DeJean),1.070,1.800
4,9:48,1,10,LAR 43,30,14,Matthew Stafford pass incomplete deep right intended for Puka Nacua (defended by Cooper DeJean),1.800,1.250
4,9:44,2,10,LAR 43,30,14,Matthew Stafford pass complete short left to Tyler Johnson for 11 yards (tackle by Quinyon Mitchell),1.250,2.520
4,9:07,1,10,PHI 46,30,14,Kyren Williams left tackle for -1 yards (tackle by Nakobe Dean and Moro Ojomo),2.520,1.840
4,8:27,2,11,PHI 47,30,14,Matthew Stafford pass incomplete short right intended for Puka Nacua (defended by Quinyon Mitchell),1.840,1.160
4,8:23,3,11,PHI 47,30,14,Matthew Stafford pass complete short right to Cooper Kupp for 8 yards (tackle by Reed Blankenship),1.160,0.660
4,7:41,4,3,PHI 39,30,14,Matthew Stafford pass complete short left to Tutu Atwell for 7 yards (tackle by Quinyon Mitchell),0.660,3.450
4,7:07,1,10,PHI 32,30,14,Matthew Stafford pass complete short right to Cooper Kupp for 1 yard (tackle by Cooper DeJean),3.450,3.040
4,6:29,2,9,PHI 31,30,14,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson,3.040,2.340
4,6:23,3,9,PHI 31,30,14,Matthew Stafford pass complete short right to Puka Nacua for no gain (tackle by Isaiah Rodgers and Reed Blankenship). Penalty on Puka Nacua: Offensive Pass Interference 10 yards (accepted) (no play),2.340,1.030
4,5:58,3,19,PHI 41,30,14,Matthew Stafford sacked by Milton Williams for -14 yards. Matthew Stafford fumbles (forced by Milton Williams) recovered by Beaux Limmer at LA-45,1.030,-0.390
4,5:19,4,33,LAR 45,30,14,Ethan Evans punts 46 yards fair catch by Britain Covey at PHI-9,-0.390,0.380
4,5:13,1,10,PHI 9,30,14,Saquon Barkley up the middle for 6 yards (tackle by Bobby Brown and Tyler Davis),-0.380,-0.280
4,5:07,,,,,,Timeout #1 by Los Angeles Rams,,
4,5:07,2,4,PHI 15,30,14,Saquon Barkley left tackle for 3 yards (tackle by Christian Rozeboom and Michael Hoecht),-0.280,-0.370
4,5:03,,,,,,Timeout #2 by Los Angeles Rams,,
4,5:03,3,1,PHI 18,30,14,Jalen Hurts up the middle for no gain (tackle by Christian Rozeboom and Jared Verse),-0.370,-2.240
4,4:19,4,1,PHI 18,30,14,Penalty on Bobby Brown: Defensive Offside 6 yards (accepted) (no play),-2.240,0.540
4,4:19,1,10,PHI 24,30,14,Saquon Barkley right guard for 1 yard (tackle by Kobie Turner),0.540,0.130
4,3:39,2,9,PHI 25,30,14,Kenneth Gainwell up the middle for 3 yards (tackle by Christian Rozeboom),0.130,-0.160
4,2:54,3,6,PHI 28,36,14,Saquon Barkley left tackle for 72 yards touchdown,-0.160,7.000
4,2:44,,,LAR 15,37,14,Jake Elliott kicks extra point good,0.000,0.000
4,2:44,,,PHI 35,37,14,Braden Mann kicks off 65 yards returned by Xavier Smith for 32 yards (tackle by Tristin McCollum),0.000,1.070
4,2:37,1,10,LAR 32,37,14,Kyren Williams up the middle for 11 yards (tackle by Jeremiah Trotter and C.J. Gardner-Johnson),1.070,1.800
4,2:16,1,10,LAR 43,37,14,Matthew Stafford pass incomplete short right,1.800,1.250
4,2:13,2,10,LAR 43,37,14,Matthew Stafford pass complete short right to Puka Nacua for 7 yards (tackle by Jeremiah Trotter),1.250,1.490
4,2:00,3,3,LAR 50,37,14,Matthew Stafford pass incomplete short middle intended for Colby Parkinson (defended by Jeremiah Trotter),1.490,-0.060
4,1:56,4,3,LAR 50,37,14,Matthew Stafford pass complete short middle to Tutu Atwell for 12 yards (tackle by Oren Burks),-0.060,3.050
4,1:36,1,10,PHI 38,37,14,Matthew Stafford pass complete short middle to Tutu Atwell for 11 yards (tackle by Avonte Maddox),3.050,3.780
4,1:21,1,10,PHI 27,37,14,Matthew Stafford pass incomplete short middle intended for Puka Nacua (defended by Oren Burks),3.780,3.230
4,1:12,2,10,PHI 27,37,20,Matthew Stafford pass complete short middle to Cooper Kupp for 27 yards touchdown,3.230,7.000
4,1:07,,,PHI 2,37,20,Two Point Attempt: Matthew Stafford pass incomplete intended for intended for Puka Nacua,1.000,-1.000
4,1:07,,,LAR 35,37,20,Ethan Evans kicks onside no gain returned by Dallas Goedert for no gain. Penalty on Dallas Goedert: Illegal Bat / Offense 10 yards (accepted) (no play),0.000,0.000
4,1:06,,,LAR 45,37,20,Ethan Evans kicks onside 10 yards returned by Dallas Goedert for no gain,0.000,1.930
4,1:05,1,10,PHI 45,37,20,Kenny Pickett kneels for -1 yards,1.930,1.250
4,0:32,2,11,PHI 44,37,20,Kenny Pickett kneels for -1 yards,1.250,0.430
