Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
3,6:02,1,10,MIA 30,0,24,Tua Tagovailoa pass incomplete short middle intended for Jonnu Smith. Penalty on Kyle Dugger: Defensive Pass Interference 10 yards (accepted) (no play),0.940,1.600
3,5:58,1,10,MIA 40,0,24,Tua Tagovailoa pass complete short left to Raheem Mostert for -3 yards (tackle by Jahlani Tavai),1.600,0.650
3,5:14,2,13,MIA 37,0,24,Tua Tagovailoa pass complete short right to Julian Hill for 8 yards (tackle by Jaylinn Hawkins and Jonathan Jones),0.650,1.030
3,4:34,3,5,MIA 45,0,24,Tua Tagovailoa pass incomplete deep left intended for Odell Beckham (defended by Marcus Jones),1.030,-0.390
3,4:26,4,5,MIA 45,0,24,Jake Bailey punts 39 yards out of bounds,-0.390,0.140
3,4:18,1,10,NWE 16,0,24,Drake Maye pass complete short middle to Demario Douglas for 27 yards (tackle by Jevon Holland),-0.140,1.800
3,3:51,1,10,NWE 43,0,24,Drake Maye scrambles right end for 8 yards (tackle by Jalen Ramsey),1.800,2.330
3,3:10,2,2,MIA 49,0,24,Rhamondre Stevenson up the middle for -1 yards (tackle by Zach Sieler and Jalen Ramsey),2.330,1.490
3,2:25,3,3,MIA 50,0,24,Drake Maye sacked by Zach Sieler for -13 yards. Drake Maye fumbles (forced by Zach Sieler) recovered by Jordyn Brooks at NE-37 and returned for 12 yards (tackle by Michael Jordan),1.490,-3.910
3,2:19,1,10,NWE 25,0,24,Jaylen Wright up the middle for 2 yards (tackle by Jeremiah Pharms and Jahlani Tavai),3.910,3.630
3,1:44,2,8,NWE 23,0,30,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 23 yards touchdown,3.630,7.000
3,1:37,,,NWE 15,0,31,Jason Sanders kicks extra point good,0.000,0.000
3,1:37,,,MIA 35,0,31,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
3,1:37,1,10,NWE 30,0,31,Drake Maye pass complete short middle to Demario Douglas for 20 yards (tackle by Jevon Holland),0.940,2.260
3,1:14,1,10,MIA 50,0,31,Drake Maye pass incomplete deep right intended for Hunter Henry (defended by Jordan Poyer),2.260,1.710
3,1:06,2,10,MIA 50,0,31,Antonio Gibson up the middle for 1 yard (tackle by Jordyn Brooks),1.710,1.160
3,0:32,3,9,MIA 49,0,31,Drake Maye pass complete short middle to Hunter Henry for 16 yards (tackle by Jordan Poyer),1.160,3.380
4,15:00,1,10,MIA 33,0,31,Drake Maye pass complete short middle to Austin Hooper for 7 yards (tackle by Jordan Poyer),3.380,3.780
4,14:38,2,3,MIA 26,0,31,Drake Maye sacked by Jalen Ramsey for -12 yards,3.780,1.490
4,14:00,3,15,MIA 38,0,31,Drake Maye pass incomplete short right intended for Kayshon Boutte. Penalty on Kayshon Boutte: Offensive Pass Interference 10 yards (declined),1.490,0.720
4,13:54,4,15,MIA 38,6,31,Drake Maye pass complete deep right to Austin Hooper for 38 yards touchdown,0.720,7.000
4,13:43,,,MIA 15,7,31,Joey Slye kicks extra point good,0.000,0.000
4,13:43,,,NWE 35,7,31,Joey Slye kicks off 65 yards touchback.,0.000,0.940
4,13:43,1,10,MIA 30,7,31,Jaylen Wright left end for 4 yards (tackle by Christian Gonzalez and Marte Mapu),0.940,0.930
4,13:01,2,6,MIA 34,7,31,Tua Tagovailoa pass incomplete short left intended for Jaylen Wright,0.930,0.230
4,12:55,3,6,MIA 34,7,31,Tua Tagovailoa pass incomplete short middle intended for Odell Beckham (defended by Marcus Jones),0.230,-1.110
4,12:52,4,6,MIA 34,7,31,Jake Bailey punts 53 yards returned by Marcus Jones for 7 yards (tackle by Duke Riley),-1.110,-0.280
4,12:40,1,10,NWE 20,7,31,Demario Douglas left end for 1 yard (tackle by Storm Duck),0.280,-0.130
4,12:20,2,9,NWE 21,7,31,Antonio Gibson left tackle for 3 yards (tackle by Jordyn Brooks),-0.130,-0.430
4,11:54,3,6,NWE 24,7,31,Drake Maye pass incomplete short right intended for Hunter Henry (defended by Chop Robinson),-0.430,-1.770
4,11:46,4,6,NWE 24,7,31,Drake Maye pass incomplete short right intended for Kendrick Bourne. Penalty on Cam Smith: Defensive Pass Interference 8 yards (accepted) (no play),-1.770,1.070
4,11:41,1,10,NWE 32,7,31,Drake Maye pass incomplete short left intended for Kendrick Bourne,1.070,0.530
4,11:38,2,10,NWE 32,7,31,Drake Maye pass complete short right to Hunter Henry for 6 yards (tackle by Jalen Ramsey),0.530,0.630
4,11:12,3,4,NWE 38,7,31,Drake Maye pass incomplete deep right intended for Hunter Henry,0.630,-0.850
4,11:06,4,4,NWE 38,7,31,Drake Maye pass incomplete deep left intended for Kendrick Bourne,-0.850,-3.120
4,11:01,1,10,NWE 37,7,31,Jaylen Wright up the middle for 3 yards (tackle by Davon Godchaux and Christian Elliss),3.120,2.980
4,10:22,2,7,NWE 34,13,31,Jaylen Wright up the middle for -3 yards. Jaylen Wright fumbles (forced by Marte Mapu) recovered by Christian Gonzalez at NE-37 and returned for 63 yards touchdown,2.980,-7.000
4,10:10,,,MIA 2,15,31,Two Point Attempt: Drake Maye pass complete to to Rhamondre Stevenson for no gain,1.000,1.000
4,10:10,,,NWE 35,15,31,Joey Slye kicks off 65 yards touchback.,0.000,0.940
4,10:10,1,10,MIA 30,15,31,Tua Tagovailoa pass complete short right to Jonnu Smith for 9 yards (tackle by Christian Gonzalez and Keion White),0.940,1.610
4,9:31,2,1,MIA 39,15,31,De'Von Achane up the middle for no gain. Penalty on Malik Washington: Illegal Motion 4 yards (accepted) (no play),1.610,1.070
4,9:08,2,5,MIA 35,15,31,Tua Tagovailoa pass complete short middle to Jonnu Smith for 7 yards (tackle by Christian Barmore and Keion White),1.070,1.730
4,8:36,1,10,MIA 42,15,31,De'Von Achane left guard for no gain (tackle by Keion White),1.730,1.190
4,7:53,2,10,MIA 42,15,31,Tua Tagovailoa pass complete short right to Jaylen Waddle for 3 yards (tackle by Marcus Jones),1.190,0.890
4,7:02,3,7,MIA 45,15,31,Tua Tagovailoa sacked by Brenden Schooler for -7 yards. Penalty on Patrick Paul: Offensive Holding 10 yards (declined),0.890,-0.850
4,6:36,4,14,MIA 38,15,31,Jake Bailey punts 45 yards returned by Marcus Jones for 20 yards (tackle by River Cracraft),-0.850,-1.400
4,6:19,1,10,NWE 37,15,31,Drake Maye pass complete short middle to Hunter Henry for 7 yards (tackle by Jevon Holland and Tyrel Dodson),1.400,1.800
4,5:53,2,3,NWE 44,15,31,Drake Maye pass complete short middle to Kendrick Bourne for 10 yards (tackle by Jordyn Brooks),1.800,2.520
4,5:27,1,10,MIA 46,15,31,Drake Maye pass incomplete deep right intended for Kayshon Boutte (defended by Storm Duck),2.520,1.980
4,5:24,2,10,MIA 46,15,31,Drake Maye pass short right intended for Antonio Gibson is intercepted by Tyrel Dodson at MIA-46 and returned for no gain (tackle by Antonio Gibson),1.980,-1.990
4,5:13,1,10,MIA 46,15,31,De'Von Achane right end for 9 yards (tackle by Jahlani Tavai),1.990,2.670
4,4:33,2,1,NWE 45,15,31,Tua Tagovailoa pass complete short right to Durham Smythe for 8 yards (tackle by Jonathan Jones),2.670,3.120
4,3:54,1,10,NWE 37,15,31,De'Von Achane left tackle for -1 yards (tackle by Kyle Dugger),3.120,2.440
4,3:45,,,,,,Timeout #1 by New England Patriots,,
4,3:45,2,11,NWE 38,15,31,Tua Tagovailoa pass incomplete short right intended for Malik Washington (defended by Jahlani Tavai) (defended by Kyle Dugger),2.440,1.750
4,3:42,3,11,NWE 38,15,31,Raheem Mostert up the middle for 5 yards (tackle by Dell Pettus and Anfernee Jennings),1.750,1.160
4,3:38,,,,,,Timeout #2 by New England Patriots,,
4,3:38,4,6,NWE 33,15,34,Jason Sanders 51 yard field goal good,1.160,3.000
4,3:33,,,MIA 35,15,34,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
4,3:33,1,10,NWE 30,15,34,Drake Maye pass complete short middle to Jamycal Hasty for 1 yard (tackle by Tyrel Dodson and Storm Duck),0.940,0.530
4,3:03,2,9,NWE 31,15,34,Jamycal Hasty right tackle for 15 yards (tackle by Jevon Holland),0.530,1.990
4,2:41,1,10,NWE 46,15,34,Drake Maye pass incomplete short right intended for Ja'Lynn Polk (defended by Jalen Ramsey),1.990,1.450
4,2:34,2,10,NWE 46,15,34,Drake Maye pass complete short left to Demario Douglas for 8 yards (tackle by Tyrel Dodson),1.450,1.820
4,2:10,3,2,MIA 46,15,34,Drake Maye pass complete short left to Jamycal Hasty for -1 yards (tackle by Jevon Holland),1.820,0.130
4,2:00,4,3,MIA 47,15,34,Drake Maye pass complete short right to Demario Douglas for 2 yards (tackle by Tyus Bowser and Kader Kohou),0.130,-1.930
4,1:55,1,10,MIA 45,15,34,Tua Tagovailoa kneels for no gain,1.930,1.380
4,1:15,2,10,MIA 45,15,34,Tua Tagovailoa kneels for -1 yards,1.380,0.560
4,0:33,3,11,MIA 44,15,34,Tua Tagovailoa kneels for -1 yards,0.560,-0.520
