Quarter,Time,Down,ToGo,Location,DEN,LVR,Detail,EPB,EPA
2,0:27,1,10,DEN 37,9,10,Gardner Minshew pass complete deep left to Tre Tucker for 16 yards (tackle by Ja'Quan McMillian),3.120,4.170
2,0:20,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:20,1,10,DEN 21,9,10,Gardner Minshew pass complete short right to Jakobi Meyers for 5 yards (tackle by Levi Wallace),4.170,4.370
2,0:04,2,5,DEN 16,9,10,Gardner Minshew spiked the ball,4.370,3.630
2,0:02,3,5,DEN 16,9,13,Daniel Carlson 34 yard field goal good,3.630,3.000
3,15:00,,,LVR 35,9,13,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,DEN 30,9,13,Jaleel McLaughlin right tackle for -4 yards (tackle by John Jenkins),0.940,-0.150
3,14:20,2,14,DEN 26,9,13,Bo Nix pass complete short right to Courtland Sutton for 6 yards (tackle by Jack Jones),-0.150,-0.030
3,13:40,3,8,DEN 32,9,13,Bo Nix pass incomplete short left intended for Marvin Mims (defended by Charles Snowden),-0.030,-1.240
3,13:33,4,8,DEN 32,9,13,Riley Dixon punts 52 yards returned by DJ Turner for 6 yards (tackle by Nate Adkins),-1.240,-0.410
3,13:22,1,10,LVR 22,9,13,Ameer Abdullah left end for 3 yards (tackle by P.J. Locke),0.410,0.270
3,12:55,2,7,LVR 25,9,13,Gardner Minshew pass complete short middle to Jakobi Meyers for 13 yards (tackle by P.J. Locke),0.270,1.470
3,12:30,1,10,LVR 38,9,13,Gardner Minshew sacked by Malcolm Roach for -4 yards,1.470,0.380
3,11:45,2,14,LVR 34,9,13,Gardner Minshew pass deep right intended for Jakobi Meyers is intercepted by Brandon Jones at DEN-45 and returned for 37 yards (tackle by Tre Tucker),0.380,-4.370
3,11:33,1,10,LVR 18,9,13,Javonte Williams left guard for no gain (tackle by Tyree Wilson),4.370,3.800
3,10:53,2,10,LVR 18,15,13,Bo Nix pass complete deep right to Courtland Sutton for 18 yards touchdown,3.800,7.000
3,10:49,,,LVR 15,16,13,Wil Lutz kicks extra point good,0.000,0.000
3,10:49,,,DEN 35,16,13,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
3,10:49,1,10,LVR 30,16,13,Gardner Minshew pass complete short right to Jakobi Meyers for 6 yards (tackle by Levi Wallace and Jonathon Cooper),0.940,1.200
3,10:14,2,4,LVR 36,16,13,Sincere McCormick up the middle for 19 yards (tackle by P.J. Locke and Patrick Surtain),1.200,2.590
3,9:31,1,10,DEN 45,16,13,Sincere McCormick up the middle for -3 yards (tackle by Nik Bonitto),2.590,1.640
3,8:49,2,13,DEN 48,16,13,Gardner Minshew pass complete short right to Ameer Abdullah for 5 yards (tackle by Levi Wallace and Jordan Jackson),1.640,1.620
3,8:06,3,8,DEN 43,16,13,Gardner Minshew pass incomplete short middle intended for Brock Bowers (defended by Brandon Jones),1.620,0.400
3,8:00,4,8,DEN 43,16,13,AJ Cole punts 42 yards downed by DJ Turner,0.400,0.380
3,7:52,1,10,DEN 1,16,13,Bo Nix pass complete short right to Courtland Sutton for 8 yards (tackle by Jack Jones),-0.380,-0.200
3,7:16,2,2,DEN 9,16,13,Jaleel McLaughlin up the middle for 1 yard (tackle by Tre'von Moehrig),-0.200,-0.370
3,6:57,3,1,DEN 10,16,13,Bo Nix pass complete short right to Courtland Sutton for 19 yards (tackle by Isaiah Pola-Mao),-0.370,0.870
3,6:30,1,10,DEN 29,16,13,Bo Nix pass complete short left to Lil'Jordan Humphrey for 2 yards (tackle by Decamerion Richardson),0.870,0.600
3,6:04,2,8,DEN 31,16,13,Jaleel McLaughlin up the middle for 3 yards (tackle by Janarius Robinson and Darnay Holmes),0.600,0.300
3,5:24,3,5,DEN 34,16,13,Bo Nix pass complete short left to Courtland Sutton for 9 yards (tackle by Decamerion Richardson),0.300,1.800
3,4:44,1,10,DEN 43,16,13,Javonte Williams left guard for 1 yard (tackle by Divine Deablo),1.800,1.390
3,4:04,2,9,DEN 44,16,13,Bo Nix pass complete short right to Lil'Jordan Humphrey for 2 yards (tackle by Maxx Crosby),1.390,0.960
3,3:19,3,7,DEN 46,16,13,Bo Nix pass incomplete deep right,0.960,-0.320
3,3:10,4,7,DEN 46,16,13,Riley Dixon punts 43 yards,-0.320,0.370
3,3:02,1,10,LVR 11,16,13,Gardner Minshew scrambles right end for 5 yards (tackle by D.J. Jones),-0.370,-0.300
3,2:30,2,5,LVR 16,16,13,Sincere McCormick up the middle for 1 yard (tackle by D.J. Jones and Dondrea Tillman),-0.300,-0.720
3,1:46,3,4,LVR 17,16,13,Gardner Minshew pass incomplete short right intended for DJ Turner,-0.720,-2.320
3,1:38,4,4,LVR 17,16,13,AJ Cole punts 57 yards returned by Marvin Mims for 22 yards (tackle by Tommy Eichenberg),-2.320,-2.130
3,1:27,1,10,DEN 48,16,13,Bo Nix pass incomplete short left intended for Marvin Mims,2.130,1.580
3,1:23,2,10,DEN 48,16,13,Bo Nix pass incomplete short middle intended for Devaughn Vele (defended by Darnay Holmes). Penalty on Luke Wattenberg: Ineligible Downfield Pass 5 yards (declined),1.580,0.890
3,1:18,3,10,DEN 48,16,13,Bo Nix pass complete deep left to Courtland Sutton for 18 yards (tackle by Decamerion Richardson),0.890,3.310
3,0:32,1,10,LVR 34,16,13,Marvin Mims left end for 3 yards (tackle by Tre'von Moehrig),3.310,3.180
