Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA
4,9:59,2,10,SEA 19,6,13,Geno Smith pass complete short middle to Kenneth Walker for 4 yards (tackle by Sean Murphy-Bunting),-0.390,-0.550
4,9:13,3,6,SEA 23,6,13,Geno Smith pass complete short left to Jaxon Smith-Njigba for 7 yards (tackle by Dadrion Taylor-Demerson),-0.550,0.940
4,8:34,1,10,SEA 30,6,13,Kenneth Walker left end for no gain (tackle by Kyzir White). Penalty on Jake Bobo: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
4,8:15,1,20,SEA 20,6,13,Geno Smith scrambles left end for 4 yards (tackle by Sean Murphy-Bunting),0.280,-0.420
4,7:32,2,16,SEA 24,6,13,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 8 yards (tackle by Dadrion Taylor-Demerson),-0.420,-0.030
4,6:44,3,8,SEA 32,6,13,Geno Smith pass complete deep middle to D.K. Metcalf for 18 yards (tackle by Dadrion Taylor-Demerson),-0.030,2.260
4,5:51,1,10,SEA 50,6,13,Kenneth Walker left guard for 3 yards (tackle by Khyiris Tonga),2.260,2.120
4,5:20,2,7,ARI 47,6,13,Geno Smith pass complete short left to AJ Barner for 3 yards (tackle by Max Melton),2.120,1.820
4,4:36,3,4,ARI 44,6,13,Zach Charbonnet left guard for 6 yards (tackle by Mack Wilson and Budda Baker),1.820,3.050
4,4:00,1,10,ARI 38,6,13,Kenneth Walker left guard for 6 yards (tackle by Dadrion Taylor-Demerson),3.050,3.320
4,3:16,2,4,ARI 32,6,13,Kenneth Walker left guard for -3 yards (tackle by Victor Dimukeje),3.320,2.210
4,2:37,3,7,ARI 35,6,13,Zach Charbonnet right guard for 3 yards (tackle by Garrett Williams),2.210,1.270
4,2:00,4,4,ARI 32,6,16,Jason Myers 50 yard field goal good,1.270,3.000
4,1:56,,,SEA 35,6,16,Jason Myers kicks off 65 yards touchback.,0.000,0.280
4,1:56,1,10,ARI 20,6,16,Kyler Murray pass complete short left to Trey McBride for 11 yards (tackle by Coby Bryant),0.280,1.000
4,1:36,1,10,ARI 31,6,16,Kyler Murray pass incomplete deep middle intended for Trey McBride,1.000,0.460
4,1:30,2,10,ARI 31,6,16,Kyler Murray pass complete short middle to James Conner for 11 yards (tackle by Tyrice Knight). Penalty on Trey McBride: Offensive Illegal Block Above the Waist 10 yards (accepted),0.460,0.600
4,1:18,2,9,ARI 32,6,16,Kyler Murray pass complete short middle to Trey McBride for 9 yards (tackle by Devon Witherspoon),0.600,1.660
4,1:07,1,10,ARI 41,6,16,Kyler Murray pass complete short middle to James Conner for 6 yards (tackle by Ernest Jones and Rayshawn Jenkins),1.660,1.930
4,0:51,,,,,,Timeout #2 by Arizona Cardinals,,
4,0:51,2,4,ARI 47,6,16,Kyler Murray pass complete deep middle to Michael Wilson for 24 yards (tackle by Coby Bryant),1.930,3.640
4,0:26,1,10,SEA 29,6,16,Kyler Murray pass incomplete deep middle intended for Michael Wilson,3.640,3.100
4,0:15,2,10,SEA 29,6,16,Chad Ryland 47 yard field goal no good,3.100,-1.400
4,0:11,1,10,SEA 37,6,16,Geno Smith kneels for -1 yards,1.400,0.720
