Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA
3,2:03,3,12,DAL 12,10,9,Cooper Rush pass incomplete short middle intended for Jalen Brooks (defended by Jeremy Chinn). Penalty on Tyler Guyton: Illegal Formation 5 yards (declined) WAS challenged the fumble ruling and the play was upheld.,-1.650,-2.490
3,2:00,4,12,DAL 12,10,9,Bryan Anger punts 43 yards fair catch by Olamide Zaccheaus at WAS-45,-2.490,-1.930
3,1:52,1,10,WAS 45,10,9,Jayden Daniels pass complete short right to Terry McLaurin for 4 yards (tackle by Jourdan Lewis),1.930,1.920
3,1:13,2,6,WAS 49,10,9,Austin Ekeler right end for -1 yards (tackle by Mazi Smith),1.920,1.090
3,0:31,3,7,WAS 48,10,9,Jayden Daniels pass incomplete short right intended for Noah Brown (defended by Josh Butler),1.090,-0.190
3,0:27,4,7,WAS 48,10,9,Tress Way punts 39 yards fair catch by KaVontae Turpin at DAL-13,-0.190,0.320
3,0:19,1,10,DAL 13,10,9,Cooper Rush pass complete short left to CeeDee Lamb for 11 yards (tackle by Benjamin St-Juste),-0.320,0.540
4,15:00,1,10,DAL 24,10,9,Cooper Rush aborted snap recovered by Ezekiel Elliott at DAL-24,0.540,-0.140
4,14:17,2,11,DAL 23,10,9,Cooper Rush pass complete short right to CeeDee Lamb for 7 yards (tackle by Clelin Ferrell). Penalty on Bobby Wagner: Roughing the Passer 15 yards (accepted),-0.140,1.930
4,13:43,1,10,DAL 45,10,9,Ezekiel Elliott right guard for 2 yards (tackle by Jer'Zhan Newton and Frankie Luvu),1.930,1.650
4,13:03,2,8,DAL 47,10,9,Cooper Rush pass incomplete deep left intended for Jalen Tolbert,1.650,0.960
4,12:58,,,,,,Timeout #1 by Dallas Cowboys,,
4,12:58,3,8,DAL 47,10,9,Cooper Rush pass incomplete deep middle intended for Jalen Brooks (defended by Mike Sainristil),0.960,-0.260
4,12:51,4,8,DAL 47,10,9,Bryan Anger punts 48 yards,-0.260,0.380
4,12:43,1,10,WAS 5,10,9,Austin Ekeler right tackle for 3 yards (tackle by Donovan Wilson and Eric Kendricks),-0.380,-0.560
4,12:10,2,7,WAS 8,10,9,Austin Ekeler right end for 3 yards (tackle by Micah Parsons),-0.560,-0.720
4,11:31,3,4,WAS 11,10,9,Jayden Daniels pass incomplete short middle intended for Austin Ekeler,-0.720,-2.490
4,11:25,4,4,WAS 11,10,9,Tress Way punts 39 yards fair catch by KaVontae Turpin at 50,-2.490,-2.260
4,11:17,1,10,DAL 50,10,9,Rico Dowdle left guard for 4 yards (tackle by Sheldon Day),2.260,2.250
4,10:39,2,6,WAS 46,10,9,Cooper Rush pass complete short middle to Rico Dowdle for 10 yards (tackle by Mike Sainristil and Sheldon Day),2.250,3.180
4,9:58,1,10,WAS 36,10,9,CeeDee Lamb right end for 1 yard (tackle by Benjamin St-Juste),3.180,2.770
4,9:27,2,9,WAS 35,10,9,Cooper Rush pass incomplete short left intended for Jonathan Mingo,2.770,2.080
4,9:23,3,9,WAS 35,10,9,Cooper Rush pass complete deep left to CeeDee Lamb for no gain (tackle by Benjamin St-Juste). Penalty on Tyler Guyton: Illegal Formation 5 yards (accepted) (no play),2.080,1.420
4,8:57,3,14,WAS 40,10,9,Cooper Rush pass complete short middle to Hunter Luepke for 10 yards (tackle by Percy Butler),1.420,1.460
4,8:14,4,4,WAS 30,13,9,Brandon Aubrey 48 yard field goal good. Penalty on Brock Hoffman: Unnecessary Roughness / Offense 15 yards (offset) . Penalty on Dorance Armstrong: Unnecessary Roughness / Defense 15 yards (offset),1.460,3.000
