Quarter,Time,Down,ToGo,Location,BAL,LAC,Detail,EPB,EPA
3,3:15,3,1,BAL 39,17,16,Lamar Jackson left end for no gain (tackle by Khalil Mack),0.890,-0.780
3,2:39,4,1,BAL 39,17,16,Derrick Henry left guard for 27 yards (tackle by Daiyan Henley and Tarheeb Still),-0.780,3.310
3,1:55,1,10,LAC 34,17,16,Justice Hill right guard for 1 yard (tackle by Nick Niemann). Penalty on Patrick Mekari: Offensive Holding 10 yards (accepted),3.310,2.720
3,1:35,1,19,LAC 43,17,16,Lamar Jackson pass complete short left to Tylan Wallace for 15 yards (tackle by Derwin James and Tarheeb Still),2.720,3.580
3,0:53,2,4,LAC 28,17,16,Derrick Henry left tackle for no gain (tackle by Poona Ford),3.580,2.870
3,0:16,3,4,LAC 28,17,16,Lamar Jackson pass complete short left to Rashod Bateman for 3 yards (tackle by Tarheeb Still),2.870,1.950
4,15:00,4,1,LAC 25,17,16,Derrick Henry up the middle for 2 yards (tackle by Nick Niemann),1.950,4.040
4,14:21,1,10,LAC 23,17,16,Lamar Jackson pass complete short right to Zay Flowers for 4 yards (tackle by Tarheeb Still),4.040,4.050
4,13:50,2,6,LAC 19,17,16,Derrick Henry left tackle for 9 yards (tackle by Tarheeb Still and Elijah Molden),4.050,4.910
4,13:21,1,10,LAC 10,17,16,Derrick Henry right tackle for 4 yards (tackle by Teair Tart),4.910,4.950
4,12:47,2,6,LAC 6,17,16,Lamar Jackson pass incomplete short left intended for Zay Flowers (defended by Elijah Molden),4.950,4.040
4,12:36,3,6,LAC 6,23,16,Lamar Jackson pass complete short middle to Mark Andrews for 6 yards touchdown,4.040,7.000
4,12:32,,,LAC 2,23,16,Two Point Attempt: Lamar Jackson pass incomplete intended for intended for Zay Flowers,1.000,-1.000
4,12:32,,,BAL 35,23,16,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
4,12:32,1,10,LAC 30,23,16,Gus Edwards left end for -7 yards (tackle by Kyle Hamilton),0.940,-0.550
4,11:49,2,17,LAC 23,23,16,Justin Herbert pass complete short middle to Will Dissly for 11 yards (tackle by Tre'Davious White),-0.550,0.230
