Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA
2,2:05,4,1,CIN 39,24,21,Penalty on Alex Cappa: False Start 4 yards (accepted) (no play),-0.780,-1.040
2,2:05,4,5,CIN 35,24,21,Ryan Rehkow punts 46 yards out of bounds,-1.040,-0.150
2,1:56,1,10,PIT 19,24,21,Russell Wilson pass complete short right to Pat Freiermuth for 8 yards (tackle by Germaine Pratt),0.150,0.750
2,1:34,2,2,PIT 27,24,21,Jaylen Warren right guard for 6 yards (tackle by Akeem Davis-Gaither and Germaine Pratt),0.750,1.140
2,1:13,1,10,PIT 33,24,21,Russell Wilson pass complete short middle to Pat Freiermuth for 8 yards (tackle by Akeem Davis-Gaither and Geno Stone),1.140,1.670
2,0:53,2,2,PIT 41,24,21,Russell Wilson pass complete short right to Pat Freiermuth for 17 yards (tackle by Geno Stone),1.670,2.790
2,0:46,1,10,CIN 42,24,21,Russell Wilson pass complete short left to Calvin Austin for 6 yards (tackle by Cam Taylor-Britt),2.790,3.050
2,0:38,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,0:38,2,4,CIN 36,24,21,Russell Wilson pass complete short left to Jaylen Warren for 6 yards (tackle by Cam Taylor-Britt),3.050,3.580
2,0:19,1,10,CIN 30,24,21,Russell Wilson pass complete short middle to Jaylen Warren for 14 yards (tackle by Germaine Pratt and Akeem Davis-Gaither),3.580,4.510
2,0:03,,,,,,Timeout #3 by Pittsburgh Steelers,,
2,0:03,1,10,CIN 16,27,21,Chris Boswell 34 yard field goal good,4.510,3.000
3,15:00,,,CIN 35,27,21,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,PIT 30,27,21,Russell Wilson pass complete short middle to MyCole Pruitt for 18 yards (tackle by Akeem Davis-Gaither). Penalty on Akeem Davis-Gaither: Defensive Holding 5 yards (declined),0.940,2.130
3,14:35,1,10,PIT 48,27,21,Najee Harris left tackle for 3 yards (tackle by B.J. Hill),2.130,1.990
3,13:54,2,7,CIN 49,27,21,Russell Wilson pass complete deep right to George Pickens for 36 yards (tackle by Josh Newton),1.990,1.990
3,13:41,2,7,CIN 49,27,21,Penalty on George Pickens: Unsportsmanlike Conduct / Offense 15 yards (accepted) (no play),1.990,3.710
