Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA
3,11:45,1,10,KAN 30,3,10,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,0.940,0.390
3,11:40,2,10,KAN 30,3,10,Patrick Mahomes pass complete short middle to Noah Gray for 22 yards (tackle by Robert Spillane),0.390,2.390
3,11:02,1,10,LVR 48,3,10,Isiah Pacheco up the middle for 34 yards (tackle by Isaiah Pola-Mao),2.390,4.650
3,10:23,1,10,LVR 14,3,10,Isiah Pacheco left guard for 1 yard (tackle by John Jenkins),4.650,4.160
3,9:48,2,9,LVR 13,3,10,Patrick Mahomes sacked by. Patrick Mahomes fumbles recovered by Patrick Mahomes at LV-33. Penalty on Jawaan Taylor: Illegal Formation 5 yards (declined),4.160,0.890
3,9:22,3,29,LVR 33,3,10,Patrick Mahomes pass complete short left to DeAndre Hopkins for 10 yards (tackle by Decamerion Richardson),0.890,1.930
3,8:44,4,19,LVR 23,3,13,Matthew Wright 42 yard field goal good,1.930,3.000
3,8:40,,,KAN 35,3,13,Matthew Wright kicks off 62 yards returned by DJ Turner for 27 yards. DJ Turner fumbles ball out of bounds at LV-30 (forced by Chamarri Conner). DJ Turner fumbles out of bounds,0.000,0.940
3,8:33,1,10,LVR 30,3,13,Aidan O'Connell pass complete short left to Brock Bowers for 11 yards (tackle by Chamarri Conner),0.940,1.660
3,7:59,1,10,LVR 41,3,13,Sincere McCormick right end for 1 yard (tackle by Nick Bolton and Michael Danna),1.660,1.260
3,7:15,2,9,LVR 42,3,13,Sincere McCormick left end for -1 yards (tackle by Joshua Williams and Nick Bolton),1.260,0.430
3,6:32,3,10,LVR 41,3,13,Aidan O'Connell pass incomplete short left intended for Terrace Marshall. Penalty on Chris Jones: Defensive Offside 5 yards (accepted) (no play),0.430,1.090
3,6:29,3,5,LVR 46,3,13,Aidan O'Connell pass complete deep right to Brock Bowers for 29 yards (tackle by Trent McDuffie). Penalty on Trent McDuffie: Defensive Pass Interference 15 yards (declined),1.090,3.910
3,6:05,1,10,KAN 25,3,13,Ameer Abdullah up the middle for 3 yards (tackle by Chris Jones and Mike Pennel),3.910,3.770
3,5:22,2,7,KAN 22,3,13,Aidan O'Connell pass incomplete short right intended for Brock Bowers (defended by Drue Tranquill),3.770,3.070
3,5:18,3,7,KAN 22,3,13,Aidan O'Connell sacked by George Karlaftis for -15 yards,3.070,0.790
3,4:34,4,22,KAN 37,3,13,Daniel Carlson 55 yard field goal no good,0.790,-1.930
3,4:28,1,10,KAN 45,3,13,Patrick Mahomes pass incomplete short right intended for Noah Gray,1.930,1.380
3,4:25,2,10,KAN 45,3,13,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,1.380,0.700
3,4:22,3,10,KAN 45,3,13,Patrick Mahomes pass complete deep left to DeAndre Hopkins for 31 yards (tackle by Decamerion Richardson),0.700,3.970
3,3:39,1,10,LVR 24,3,13,Patrick Mahomes pass incomplete short right intended for Travis Kelce,3.970,3.430
3,3:35,2,10,LVR 24,3,13,Patrick Mahomes pass complete short right to Xavier Worthy for 7 yards,3.430,3.750
3,3:20,3,3,LVR 17,3,13,Patrick Mahomes pass incomplete deep middle intended for Travis Kelce,3.750,2.410
