Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
4,12:12,3,6,GNB 30,11,27,Tua Tagovailoa pass complete short right to Odell Beckham for 9 yards (tackle by Keisean Nixon),2.610,4.170
4,11:45,1,10,GNB 21,11,27,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 12 yards (tackle by Isaiah McDuffie and Quay Walker),4.170,5.140
4,11:03,1,9,GNB 9,11,27,De'Von Achane left tackle for 8 yards (tackle by Brenton Cox and Javon Bullard),5.140,5.910
4,10:23,2,1,GNB 1,11,27,De'Von Achane right tackle for no gain (tackle by Rashan Gary),5.910,5.170
4,9:45,3,1,GNB 1,11,27,Tua Tagovailoa pass incomplete short left intended for Jonnu Smith (defended by Keisean Nixon),5.170,3.550
4,9:33,4,1,GNB 1,11,27,Tua Tagovailoa sacked by Quay Walker for -6 yards. Penalty on Liam Eichenberg: Offensive Holding 10 yards (declined),3.550,0.380
4,9:33,1,10,GNB 7,11,27,Josh Jacobs right tackle for 4 yards (tackle by Emmanuel Ogbah),-0.380,-0.490
4,8:54,2,6,GNB 11,11,27,Jordan Love pass incomplete short middle intended for Jayden Reed. Penalty on Jalen Ramsey: Defensive Holding 5 yards (accepted) (no play),-0.490,-0.140
4,8:49,1,10,GNB 16,11,27,Jordan Love pass complete short left to Tucker Kraft for 16 yards (tackle by Quinton Bell),-0.140,1.070
4,8:04,1,10,GNB 32,11,27,Jordan Love pass complete short left to Josh Jacobs for 49 yards (tackle by Tyrel Dodson),1.070,4.310
4,7:10,1,10,MIA 19,11,27,Jordan Love pass incomplete short right intended for Jayden Reed,4.310,3.750
4,7:04,2,10,MIA 19,11,27,Jordan Love pass complete short left to Tucker Kraft for 10 yards (tackle by Quinton Bell),3.750,5.140
4,6:16,1,9,MIA 9,11,27,Josh Jacobs left tackle for 2 yards (tackle by Emmanuel Ogbah and Jordan Poyer),5.140,4.760
4,5:34,2,7,MIA 7,11,27,Josh Jacobs left end for 3 yards (tackle by Jordyn Brooks and Zach Sieler),4.760,4.490
4,5:25,,,,,,Timeout #1 by Miami Dolphins,,
4,5:25,3,4,MIA 4,11,27,Jordan Love pass complete short right to Dontayvion Wicks for 3 yards (tackle by Storm Duck). Penalty on Elgton Jenkins: Unnecessary Roughness / Offense 14 yards (accepted),4.490,2.440
4,5:06,4,15,MIA 15,11,30,Brandon McManus 33 yard field goal good,2.440,3.000
4,5:02,,,GNB 35,11,30,Brandon McManus kicks off 63 yards returned by Malik Washington for 31 yards (tackle by Zayne Anderson),0.000,1.140
4,4:55,1,10,MIA 33,11,30,Tua Tagovailoa sacked by Kenny Clark for -7 yards,1.140,-0.350
