Quarter,Time,Down,ToGo,Location,SFO,BUF,Detail,EPB,EPA
4,14:10,2,9,SFO 24,10,28,Josh Allen pass complete deep middle to Dawson Knox for 17 yards (tackle by Renardo Green),3.500,5.600
4,13:27,1,7,SFO 7,10,28,James Cook up the middle for -1 yards (tackle by Yetur Gross-Matos and Kalia Davis),5.600,4.570
4,12:39,2,8,SFO 8,10,34,Josh Allen scrambles right tackle for 8 yards touchdown,4.570,7.000
4,12:31,,,SFO 15,10,35,Tyler Bass kicks extra point good,0.000,0.000
4,12:31,,,BUF 35,10,35,Tyler Bass kicks off 63 yards returned by Deebo Samuel for 28 yards. Deebo Samuel fumbles (tackle by Quintin Morris recovered by Jalen Virgil at SF-31,0.000,-3.510
4,12:22,1,10,SFO 31,10,35,Ray Davis right guard for no gain (tackle by Malik Mustapha). Penalty on Alec Anderson: Offensive Holding 10 yards (accepted) (no play),3.510,2.850
4,11:56,1,20,SFO 41,10,35,Ray Davis left guard for 8 yards (tackle by Charvarius Ward),2.850,2.700
4,11:11,2,12,SFO 33,10,35,Ray Davis left guard for 3 yards (tackle by Maliek Collins),2.700,2.410
4,10:23,,,,,,Timeout #2 by Buffalo Bills,,
4,10:23,3,9,SFO 30,10,35,Mitchell Trubisky up the middle for no gain (tackle by Yetur Gross-Matos),2.410,1.410
4,9:41,4,9,SFO 30,10,35,Tyler Bass 49 yard field goal no good,1.410,-1.530
4,9:34,1,10,SFO 39,10,35,Brock Purdy pass complete short left to Isaac Guerendo for -3 yards (tackle by DaQuan Jones),1.530,0.580
4,8:56,2,13,SFO 36,10,35,Isaac Guerendo left guard for -1 yards (tackle by Gregory Rousseau),0.580,-0.230
4,8:18,3,14,SFO 35,10,35,Brock Purdy pass incomplete short middle intended for Deebo Samuel,-0.230,-1.040
4,8:12,4,14,SFO 35,10,35,Pat O'Donnell punts 40 yards returned by Brandon Codrington for 10 yards touchdown. Penalty on Cole Bishop: Offensive Holding 10 yards (accepted),-1.040,-0.610
4,7:55,1,10,BUF 25,10,35,Ty Johnson left end for 7 yards (tackle by Ji'Ayir Brown),0.610,1.010
4,7:13,2,3,BUF 32,10,35,Ty Johnson up the middle for 8 yards (tackle by Renardo Green),1.010,1.600
4,6:29,1,10,BUF 40,10,35,Ty Johnson left tackle for 1 yard (tackle by Sam Okuayinonu),1.600,1.190
4,5:44,2,9,BUF 41,10,35,Mitchell Trubisky pass complete short right to Ray Davis for 4 yards (tackle by Ji'Ayir Brown),1.190,1.030
4,4:56,,,,,,Timeout #3 by Buffalo Bills,,
4,4:56,3,5,BUF 45,10,35,Ray Davis left end for 9 yards (tackle by Dee Winters),1.030,2.520
4,4:12,1,10,SFO 46,10,35,Ray Davis left guard for 6 yards (tackle by Charvarius Ward and Yetur Gross-Matos),2.520,2.790
4,3:28,2,4,SFO 40,10,35,Ray Davis left tackle for 2 yards (tackle by Evan Anderson),2.790,2.350
4,2:42,3,2,SFO 38,10,35,Ray Davis right tackle for 4 yards (tackle by Ji'Ayir Brown and Malik Mustapha),2.350,3.310
4,2:00,1,10,SFO 34,10,35,Mitchell Trubisky kneels for -1 yards,3.310,2.640
4,1:17,2,11,SFO 35,10,35,Mitchell Trubisky kneels for -1 yards,2.640,1.820
4,0:37,3,12,SFO 36,10,35,Mitchell Trubisky kneels for -1 yards,1.820,0.790
