Quarter,Time,Down,ToGo,Location,ARI,MIN,Detail,EPB,EPA
3,6:21,2,7,ARI 30,12,6,Kyler Murray pass complete deep right to Marvin Harrison for 16 yards,0.600,1.990
3,5:56,1,10,ARI 46,12,6,Trey Benson left end for 1 yard (tackle by Josh Metellus and Patrick Jones),1.990,1.520
3,5:10,2,10,ARI 47,12,6,Kyler Murray pass incomplete short right intended for Tip Reiman. Penalty on Hjalte Froholdt: Offensive Holding 10 yards (accepted) (no play),1.520,0.240
3,5:10,2,19,ARI 37,12,6,Kyler Murray pass complete short middle to Michael Wilson for 10 yards (tackle by Theo Jackson),0.240,0.890
3,4:48,3,9,ARI 47,12,6,Kyler Murray pass incomplete deep middle intended for Zay Jones. Penalty on Fabian Moreau: Defensive Pass Interference 38 yards (accepted) (no play),0.890,4.580
3,4:43,1,10,MIN 15,18,6,Kyler Murray pass complete short right to Marvin Harrison for 15 yards touchdown,4.580,7.000
3,4:37,,,MIN 15,19,6,Chad Ryland kicks extra point good,0.000,0.000
3,4:37,,,ARI 35,19,6,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
3,4:37,1,10,MIN 30,19,6,Sam Darnold pass complete short middle to Jalen Nailor for 18 yards (tackle by Budda Baker),0.940,2.130
3,4:15,1,10,MIN 48,19,6,Cam Akers right end for 18 yards (tackle by Jalen Thompson),2.130,3.310
3,3:29,1,10,ARI 34,19,6,Sam Darnold pass complete short right to Justin Jefferson for 15 yards (tackle by Mack Wilson),3.310,4.310
3,2:46,1,10,ARI 19,19,6,Sam Darnold pass complete short left to Justin Jefferson for 4 yards (tackle by Kyzir White),4.310,4.350
3,2:06,2,6,ARI 15,19,6,Sam Darnold pass complete short middle to T.J. Hockenson for 11 yards (tackle by Kyzir White and Naquan Jones),4.350,6.280
3,1:24,1,4,ARI 4,19,12,Sam Darnold pass complete short left to Johnny Mundt for 4 yards touchdown,6.280,7.000
3,1:17,,,ARI 15,19,13,John Parker Romo kicks extra point good,0.000,0.000
3,1:17,,,MIN 35,19,13,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
3,1:17,1,10,ARI 30,19,13,James Conner left guard for 12 yards (tackle by Camryn Bynum),0.940,1.730
3,0:36,1,10,ARI 42,19,13,Kyler Murray pass complete short left to Greg Dortch for 3 yards (tackle by Andrew Van Ginkel),1.730,1.590
4,15:00,2,7,ARI 45,19,13,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Fabian Moreau),1.590,0.890
4,14:57,3,7,ARI 45,19,13,Kyler Murray pass deep left intended for Michael Wilson is intercepted by Byron Murphy at MIN-32 and returned for no gain (tackle by Michael Wilson),0.890,-1.070
4,14:47,1,10,MIN 32,19,13,Cam Akers right end for -4 yards (tackle by Baron Browning),1.070,-0.010
4,14:10,2,14,MIN 28,19,13,Sam Darnold pass complete deep right to Justin Jefferson for 30 yards (tackle by Mack Wilson),-0.010,2.790
4,13:27,1,10,ARI 42,19,13,Sam Darnold sacked by L.J. Collier for no gain,2.790,2.240
