Quarter,Time,Down,ToGo,Location,PHI,BAL,Detail,EPB,EPA
4,2:54,,,,,,Timeout #3 by Baltimore Ravens,,
4,2:54,1,10,BAL 20,21,12,Saquon Barkley left guard for 1 yard (tackle by Brent Urban),4.240,3.820
4,2:13,2,9,BAL 19,21,12,Saquon Barkley right tackle for 2 yards (tackle by Travis Jones and Roquan Smith),3.820,3.360
4,2:00,3,7,BAL 17,21,12,Saquon Barkley right end for -5 yards (tackle by Ar'Darius Washington),3.360,1.990
4,1:15,,,,,,Timeout #1 by Philadelphia Eagles,,
4,1:15,4,12,BAL 22,21,12,Jake Elliott yard field goal no good blocked by Nate Wiggins. Penalty on Nate Wiggins: Defensive Offside 5 yards (accepted) (no play),1.990,2.310
4,1:07,4,7,BAL 17,24,12,Jake Elliott 35 yard field goal good,2.310,3.000
4,1:03,,,PHI 35,24,12,Braden Mann kicks off 65 yards touchback.,0.000,0.940
4,1:03,1,10,BAL 30,24,12,Lamar Jackson pass incomplete short left intended for Justice Hill,0.940,0.390
4,0:58,2,10,BAL 30,24,12,Lamar Jackson pass complete short left to Isaiah Likely for 3 yards (tackle by Cooper DeJean),0.390,0.100
4,0:54,3,7,BAL 33,24,12,Lamar Jackson pass complete short middle to Isaiah Likely for 10 yards (tackle by Tristin McCollum),0.100,1.800
4,0:33,1,10,BAL 43,24,12,Lamar Jackson pass incomplete short middle intended for Isaiah Likely,1.800,1.250
4,0:28,2,10,BAL 43,24,12,Lamar Jackson pass complete short right to Mark Andrews for 7 yards (tackle by Cooper DeJean),1.250,1.490
4,0:22,3,3,BAL 50,24,12,Lamar Jackson scrambles left end for 39 yards (tackle by Tristin McCollum),1.490,4.840
4,0:07,,,,,,Timeout #2 by Philadelphia Eagles,,
4,0:07,1,10,PHI 11,24,18,Lamar Jackson pass complete short right to Isaiah Likely for 11 yards touchdown,4.840,7.000
4,0:03,,,PHI 15,24,19,Justin Tucker kicks extra point good,0.000,0.000
4,0:03,,,BAL 35,24,19,Justin Tucker kicks onside 7 yards returned by Jahan Dotson for no gain,0.000,2.790
4,0:02,1,10,BAL 42,24,19,Jalen Hurts kneels for -1 yards,2.790,2.110
