Quarter,Time,Down,ToGo,Location,CHI,DET,Detail,EPB,EPA
3,9:47,,,DET 15,7,16,Cairo Santos kicks extra point good,0.000,0.000
3,9:47,,,CHI 35,7,16,Cairo Santos kicks off 66 yards returned by Khalil Dorsey for 23 yards (tackle by Collin Johnson),0.000,0.410
3,9:43,1,10,DET 22,7,16,Jared Goff pass complete short middle to David Montgomery for 19 yards (tackle by Kevin Byard),0.410,1.660
3,9:07,1,10,DET 41,7,16,David Montgomery up the middle for 1 yard (tackle by Kevin Byard and Tremaine Edmunds),1.660,1.260
3,8:29,2,9,DET 42,7,16,Jahmyr Gibbs left end for 1 yard (tackle by Byron Cowart),1.260,0.700
3,7:48,3,8,DET 43,7,16,Jared Goff pass complete short right to Jahmyr Gibbs for 4 yards (tackle by Kyler Gordon),0.700,-0.260
3,7:26,4,4,DET 47,7,16,Penalty on Kyler Gordon: Horse Collar Tackle 15 yards (accepted) (no play),-0.260,3.050
3,7:14,1,10,CHI 38,7,16,David Montgomery left tackle for 9 yards (tackle by Kevin Byard and Jonathan Owens),3.050,3.720
3,6:28,2,1,CHI 29,7,16,Jameson Williams right end for 15 yards (tackle by Kevin Byard),3.720,4.650
3,5:45,1,10,CHI 14,7,16,David Montgomery right tackle for 3 yards (tackle by Kevin Byard and Zacch Pickens),4.650,4.520
3,5:04,2,7,CHI 11,7,16,David Montgomery right tackle for 6 yards (tackle by Jonathan Owens),4.520,4.960
3,4:23,3,1,CHI 5,7,16,Jared Goff up the middle for 1 yard (tackle by Gervon Dexter),4.960,6.280
3,3:42,1,4,CHI 4,7,16,David Montgomery up the middle for 3 yards (tackle by DeMarcus Walker and Byron Cowart),6.280,5.910
3,2:46,2,1,CHI 1,7,22,Jared Goff pass complete short middle to Sam LaPorta for 1 yard touchdown,5.910,7.000
3,2:43,,,CHI 15,7,23,Jake Bates kicks extra point good,0.000,0.000
3,2:43,,,DET 35,7,23,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,2:43,1,10,CHI 30,7,23,Caleb Williams pass complete deep left to Rome Odunze for 19 yards,0.940,2.190
3,2:12,1,10,CHI 49,7,23,Caleb Williams pass complete short left to D'Andre Swift for 29 yards (tackle by Kerby Joseph),2.190,4.110
3,1:26,1,10,DET 22,7,23,D'Andre Swift right tackle for -2 yards (tackle by Alim McNeill and D.J. Reader),4.110,3.290
3,0:37,2,12,DET 24,7,23,Caleb Williams pass incomplete deep right intended for D.J. Moore (defended by Amik Robertson). Penalty on Amik Robertson: Defensive Holding 5 yards (accepted) (no play),3.290,4.310
3,0:30,1,10,DET 19,7,23,D'Andre Swift right end for 4 yards (tackle by Alim McNeill),4.310,4.350
3,0:06,2,6,DET 15,7,23,Caleb Williams pass incomplete short right intended for D.J. Moore (defended by Khalil Dorsey),4.350,3.580
4,15:00,3,6,DET 15,7,23,Caleb Williams pass complete short right to Rome Odunze for 6 yards (tackle by Terrion Arnold),3.580,5.140
4,14:28,1,9,DET 9,7,23,Caleb Williams pass complete short middle to D.J. Moore for no gain (tackle by Malcolm Rodriguez and Al-Quadin Muhammad),5.140,4.380
4,13:45,2,9,DET 9,13,23,Caleb Williams pass complete short middle to Keenan Allen for 9 yards touchdown,4.380,7.000
4,13:40,,,DET 2,13,23,Two Point Attempt: Caleb Williams pass incomplete intended for intended for Cole Kmet,1.000,-1.000
4,13:40,,,CHI 35,13,23,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
4,13:40,1,10,DET 30,13,23,Jared Goff pass complete short right to Brock Wright for 13 yards (tackle by T.J. Edwards),0.940,1.800
4,13:09,1,10,DET 43,13,23,Jahmyr Gibbs right end for 3 yards (tackle by Terell Smith),1.800,1.660
4,12:30,2,7,DET 46,13,23,Jared Goff pass complete deep right to Sam LaPorta for 18 yards Replay Assistant challenged the runner was in bounds ruling and the original play was overturned. Jared Goff pass incomplete deep right intended for Sam LaPorta (defended by Kevin Byard),1.660,0.960
4,12:21,3,7,DET 46,13,23,Jared Goff pass incomplete deep right intended for Amon-Ra St. Brown,0.960,-0.320
4,12:17,4,7,DET 46,13,23,Jack Fox punts 39 yards fair catch by DeAndre Carter at CHI-15,-0.320,0.220
4,12:10,1,10,CHI 15,13,23,D'Andre Swift up the middle for 3 yards (tackle by Brian Branch and Mekhi Wingo),-0.220,-0.280
4,11:39,2,7,CHI 18,13,23,Caleb Williams sacked by D.J. Reader for -11 yards,-0.280,-2.360
4,10:45,3,18,CHI 7,13,23,Caleb Williams pass incomplete deep middle intended for D.J. Moore,-2.360,-2.490
4,10:33,4,18,CHI 7,13,23,Tory Taylor punts 54 yards returned by Maurice Alexander for 11 yards (tackle by Tarvarius Moore),-2.490,-2.260
4,10:23,1,10,DET 50,13,23,Jared Goff pass complete short middle to Tim Patrick for 18 yards (tackle by Terell Smith),2.260,3.450
4,9:46,1,10,CHI 32,13,23,Jared Goff pass complete short right to Jameson Williams for 3 yards (tackle by Kevin Byard). Penalty on Jameson Williams: Taunting / Offense 15 yards (accepted),3.450,1.280
4,9:30,2,22,CHI 44,13,23,Jared Goff pass incomplete short middle intended for Jahmyr Gibbs (defended by Kyler Gordon),1.280,0.630
4,9:14,3,22,CHI 44,13,23,Jared Goff pass complete deep right to Amon-Ra St. Brown for 18 yards (tackle by Terell Smith),0.630,1.810
4,8:47,4,4,CHI 26,13,23,Jake Bates 45 yard field goal no good,1.810,-1.270
4,8:42,1,10,CHI 35,13,23,D'Andre Swift right end for -1 yards (tackle by Khalil Dorsey),1.270,0.590
4,8:17,2,11,CHI 34,13,23,Caleb Williams scrambles up the middle for 7 yards (tackle by Brian Branch),0.590,0.830
4,7:37,3,4,CHI 41,13,23,Caleb Williams pass complete short left to Cole Kmet for 5 yards (tackle by Brian Branch),0.830,1.990
4,7:09,1,10,CHI 46,13,23,Caleb Williams pass incomplete deep middle intended for D.J. Moore,1.990,1.450
4,7:01,2,10,CHI 46,13,23,Caleb Williams pass complete short right to D.J. Moore for 14 yards (tackle by Khalil Dorsey),1.450,2.920
4,6:22,1,10,DET 40,13,23,Caleb Williams pass incomplete deep right intended for Keenan Allen,2.920,2.370
4,6:15,2,10,DET 40,13,23,Caleb Williams pass complete short left to Keenan Allen for 9 yards (tackle by Amik Robertson and Khalil Dorsey),2.370,2.870
4,5:42,3,1,DET 31,19,23,Caleb Williams pass complete deep left to D.J. Moore for 31 yards touchdown,2.870,7.000
4,5:36,,,DET 15,20,23,Cairo Santos kicks extra point good,0.000,0.000
4,5:36,,,CHI 35,20,23,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
4,5:36,1,10,DET 30,20,23,David Montgomery left tackle for 4 yards (tackle by DeMarcus Walker),0.940,0.930
4,5:04,2,6,DET 34,20,23,David Montgomery right tackle for 5 yards (tackle by T.J. Edwards),0.930,0.890
4,4:25,3,1,DET 39,20,23,David Montgomery up the middle for -1 yards (tackle by Byron Cowart),0.890,-0.850
4,3:44,4,2,DET 38,20,23,Jack Fox punts 61 yards downed by Khalil Dorsey,-0.850,0.380
4,3:31,1,10,CHI 1,20,23,Caleb Williams pass complete short right to Keenan Allen for 6 yards (tackle by Ben Niemann). Penalty on Keenan Allen: Unsportsmanlike Conduct / Offense 3 yards (accepted),-0.380,-0.560
4,3:20,2,7,CHI 4,20,23,Caleb Williams pass incomplete short middle intended for Rome Odunze,-0.560,-1.070
4,3:14,,,,,,Timeout #1 by Chicago Bears,,
4,3:14,3,7,CHI 4,20,23,Caleb Williams pass complete short middle to D.J. Moore for 25 yards (tackle by Khalil Dorsey),-1.070,0.870
4,3:06,1,10,CHI 29,20,23,Caleb Williams sacked by Al-Quadin Muhammad for -5 yards,0.870,-0.350
4,2:40,2,15,CHI 24,20,23,Caleb Williams pass complete short left to D.J. Moore for 14 yards (tackle by Kindle Vildor),-0.350,0.830
4,2:25,3,1,CHI 38,20,23,D'Andre Swift up the middle for 12 yards (tackle by Kerby Joseph),0.830,2.260
4,2:00,1,10,DET 50,20,23,Caleb Williams sacked by and Zeke Turner for -7 yards and Za'Darius Smith for -7 yards,2.260,0.770
4,1:23,2,17,CHI 43,20,23,Caleb Williams scrambles up the middle for 13 yards (tackle by Brian Branch),0.770,1.820
4,1:08,,,,,,Timeout #1 by Detroit Lions,,
4,1:08,3,4,DET 44,20,23,Caleb Williams pass incomplete short middle intended for Keenan Allen (defended by Al-Quadin Muhammad),1.820,0.330
4,1:04,4,4,DET 44,20,23,Caleb Williams pass complete short right to D.J. Moore for no gain (tackle by Amik Robertson). Penalty on Cole Kmet: Offensive Pass Interference 10 yards (accepted) (no play),0.330,-0.320
4,0:56,4,14,CHI 46,20,23,Caleb Williams pass incomplete deep right intended for D.J. Moore. Penalty on Kindle Vildor: Defensive Pass Interference 29 yards (accepted) (no play),-0.320,3.910
4,0:45,1,10,DET 25,20,23,Caleb Williams pass incomplete short middle intended for D.J. Moore,3.910,3.360
4,0:43,,,,,,Timeout #2 by Chicago Bears,,
4,0:43,2,10,DET 25,20,23,Caleb Williams pass complete short left to Keenan Allen for no gain (tackle by Amik Robertson). Penalty on Teven Jenkins: Illegal Use of Hands / Offense 10 yards (accepted) (no play),3.360,2.010
4,0:38,2,20,DET 35,20,23,Caleb Williams sacked by Za'Darius Smith for -6 yards,2.010,0.560
4,0:15,3,26,DET 41,20,23,Caleb Williams pass incomplete deep right intended for Rome Odunze,0.560,0.530
