Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA
3,9:17,1,10,CIN 47,17,17,Joe Burrow pass complete short middle to Ja'Marr Chase for 6 yards (tackle by DeMarvion Overshown),2.060,2.330
3,8:33,2,4,DAL 47,17,17,Joe Burrow pass incomplete short right,2.330,1.620
3,8:22,3,4,DAL 47,17,17,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Jourdan Lewis),1.620,2.980
3,7:44,1,10,DAL 39,17,17,Chase Brown left guard for 6 yards (tackle by Osa Odighizuwa),2.980,3.250
3,7:01,2,4,DAL 33,17,17,Joe Burrow pass incomplete short right intended for Chase Brown. Penalty on Cordell Volson: Ineligible Downfield Pass 5 yards (accepted) (no play),3.250,2.580
3,7:01,2,9,DAL 38,17,17,Joe Burrow pass deep middle intended for Ja'Marr Chase is intercepted by Malik Hooker at DAL-18 and returned for -1 yards (tackle by Ja'Marr Chase),2.580,0.060
3,6:50,1,10,DAL 17,17,17,Cooper Rush pass complete short middle to Jake Ferguson for 20 yards (tackle by Jordan Battle),-0.060,1.400
3,6:18,1,10,DAL 37,17,17,Rico Dowdle left guard for 7 yards (tackle by Jordan Battle),1.400,1.800
3,5:39,2,3,DAL 44,17,17,CeeDee Lamb left end for 1 yard (tackle by Akeem Davis-Gaither),1.800,1.220
3,5:16,3,2,DAL 45,17,17,Cooper Rush up the middle for 2 yards (tackle by Joseph Ossai),1.220,2.060
3,4:32,1,10,DAL 47,17,17,Rico Dowdle right guard for no gain (tackle by Akeem Davis-Gaither),2.060,1.520
3,4:00,2,10,DAL 47,17,17,KaVontae Turpin right end for 10 yards (tackle by Akeem Davis-Gaither),1.520,2.720
3,3:19,1,10,CIN 43,17,17,Cooper Rush pass incomplete short right intended for KaVontae Turpin (defended by Mike Hilton),2.720,2.180
3,3:12,2,10,CIN 43,17,17,Cooper Rush pass complete short left to CeeDee Lamb for 7 yards (tackle by Cam Taylor-Britt),2.180,2.410
3,2:33,3,3,CIN 36,17,17,Rico Dowdle up the middle for 7 yards (tackle by Myles Murphy),2.410,3.640
3,1:57,1,10,CIN 29,17,17,Cooper Rush sacked by B.J. Hill for -1 yards. Penalty on T.J. Bass: Offensive Holding 10 yards (declined) . Penalty on Luke Schoonmaker: Unnecessary Roughness / Offense 15 yards (accepted),3.640,0.940
3,1:26,2,26,CIN 45,17,17,Cooper Rush pass complete short middle to Ezekiel Elliott for 2 yards (tackle by Akeem Davis-Gaither),0.940,0.560
3,0:45,3,24,CIN 43,17,17,Rico Dowdle left guard for 14 yards (tackle by Geno Stone),0.560,1.500
4,15:00,4,10,CIN 29,17,20,Brandon Aubrey 47 yard field goal good,1.500,3.000
4,14:55,,,DAL 35,17,20,Brandon Aubrey kicks off 65 yards returned by Khalil Herbert for 32 yards (tackle by Kemon Hall and Princeton Fant),0.000,1.070
4,14:49,1,10,CIN 32,17,20,Joe Burrow pass complete short right to Chase Brown for 15 yards (tackle by Donovan Wilson),1.070,2.060
4,14:15,1,10,CIN 47,17,20,Joe Burrow pass complete short middle to Ja'Marr Chase for 11 yards (tackle by DaRon Bland),2.060,2.790
4,13:42,1,10,DAL 42,17,20,Chase Brown left guard for 9 yards (tackle by Malik Hooker),2.790,3.460
4,13:04,2,1,DAL 33,17,20,Chase Brown up the middle for 2 yards (tackle by Eric Kendricks and Donovan Wilson),3.460,3.510
4,12:40,1,10,DAL 31,17,20,Joe Burrow pass complete short middle to Mike Gesicki for 13 yards (tackle by Donovan Wilson),3.510,4.370
4,11:54,1,10,DAL 18,17,20,Joe Burrow pass complete short right to Mike Gesicki for 6 yards (tackle by DaRon Bland),4.370,4.810
4,11:17,2,4,DAL 12,17,20,Chase Brown up the middle for 2 yards (tackle by Malik Hooker),4.810,4.510
4,10:36,3,2,DAL 10,17,20,Joe Burrow pass incomplete short right intended for Tee Higgins,4.510,2.890
4,10:28,4,2,DAL 10,20,20,Cade York 29 yard field goal good,2.890,3.000
4,10:24,,,CIN 35,20,20,Cade York kicks off 65 yards touchback.,0.000,0.940
4,10:24,1,10,DAL 30,20,20,Rico Dowdle up the middle for -1 yards (tackle by Germaine Pratt),0.940,0.260
4,9:52,2,11,DAL 29,20,20,Cooper Rush pass incomplete deep right intended for KaVontae Turpin,0.260,-0.430
4,9:47,3,11,DAL 29,20,20,Cooper Rush pass incomplete short left intended for Jalen Tolbert,-0.430,-1.440
4,9:43,4,11,DAL 29,20,20,Bryan Anger punts 52 yards returned by Isaiah Williams for 7 yards (tackle by Kemon Hall),-1.440,-0.670
4,9:33,1,10,CIN 26,20,20,Chase Brown up the middle for 4 yards (tackle by Mazi Smith and Osa Odighizuwa),0.670,0.670
4,8:54,2,6,CIN 30,20,20,Joe Burrow pass complete short middle to Tanner Hudson for 19 yards (tackle by Donovan Wilson),0.670,2.190
4,8:17,1,10,CIN 49,20,20,Chase Brown right end for -3 yards (tackle by Eric Kendricks),2.190,1.240
4,7:32,2,13,CIN 46,20,20,Joe Burrow pass complete short left to Andrei Iosivas for no gain. Andrei Iosivas fumbles (forced by Trevon Diggs) recovered by Donovan Wilson at CIN-46 (tackle by Alex Cappa) Replay Assistant challenged the pass completion ruling and the original play was overturned. Joe Burrow pass incomplete short left intended for Andrei Iosivas (defended by Trevon Diggs),1.240,0.560
4,7:28,3,13,CIN 46,20,20,Joe Burrow sacked by and Donovan Wilson for -2 yards and Marist Liufau for -2 yards. Joe Burrow fumbles (forced by Donovan Wilson) recovered by Tanner Hudson at CIN-44,0.560,-0.460
4,6:42,4,15,CIN 44,20,20,Penalty on Ryan Rehkow: Delay of Game 5 yards (accepted) (no play),-0.460,-0.780
4,6:42,4,20,CIN 39,20,20,Ryan Rehkow punts 61 yards touchback.,-0.780,-0.280
4,6:31,1,10,DAL 20,20,20,Rico Dowdle up the middle for 14 yards (tackle by Geno Stone and Akeem Davis-Gaither),0.280,1.200
4,5:56,1,10,DAL 34,20,20,Cooper Rush pass incomplete short left intended for Jake Ferguson,1.200,0.660
4,5:53,2,10,DAL 34,20,20,Cooper Rush pass incomplete deep left intended for Brandin Cooks,0.660,-0.030
4,5:48,3,10,DAL 34,20,20,Cooper Rush pass incomplete short middle intended for KaVontae Turpin (defended by Akeem Davis-Gaither),-0.030,-1.110
4,5:34,4,10,DAL 34,20,20,Bryan Anger punts 48 yards returned by Isaiah Williams for 6 yards (tackle by Hunter Luepke). Penalty on Tanner Hudson: Offensive Illegal Block Above the Waist 10 yards (accepted),-1.110,0.280
4,5:31,1,10,CIN 14,20,20,Joe Burrow pass complete deep left to Ja'Marr Chase for 16 yards,-0.280,0.940
4,4:55,1,10,CIN 30,20,20,Joe Burrow pass complete short left to Andrei Iosivas for 5 yards (tackle by Jourdan Lewis),0.940,1.070
4,4:12,2,5,CIN 35,20,20,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase. Penalty on Jourdan Lewis: Defensive Pass Interference 11 yards (accepted) (no play),1.070,1.990
4,4:06,1,10,CIN 46,20,20,Chase Brown right guard for 3 yards (tackle by Eric Kendricks and Malik Hooker),1.990,1.860
4,3:24,2,7,CIN 49,20,20,Joe Burrow pass complete short left to Ja'Marr Chase for 1 yard (tackle by Trevon Diggs). Penalty on Andrei Iosivas: Offensive Holding 10 yards (accepted),1.860,0.640
4,3:18,2,16,CIN 40,20,20,Joe Burrow pass complete short right to Drew Sample for no gain. Drew Sample fumbles (tackle by Donovan Wilson. Penalty on Cody Ford: Offensive Holding 10 yards (accepted) . Drew Sample fumbles out of bounds (no play),0.640,-0.710
4,3:07,2,26,CIN 30,20,20,Joe Burrow pass complete short middle to Chase Brown for 7 yards (tackle by Eric Kendricks and DaRon Bland),-0.710,-0.430
4,2:25,3,19,CIN 37,20,20,Joe Burrow sacked by Marist Liufau for -8 yards,-0.430,-1.440
4,2:00,4,27,CIN 29,20,20,Ryan Rehkow punts 14 yards recovered by Maema Njongmeta at CIN-43,-1.440,1.800
4,1:53,1,10,CIN 43,20,20,Joe Burrow pass complete short left to Andrei Iosivas for 7 yards,1.800,2.200
4,1:49,2,3,CIN 50,20,20,Chase Brown up the middle for 10 yards (tackle by Malik Hooker and Donovan Wilson),2.200,2.920
4,1:09,1,10,DAL 40,26,20,Joe Burrow pass complete short right to Ja'Marr Chase for 40 yards touchdown,2.920,7.000
4,1:01,,,DAL 15,27,20,Cade York kicks extra point good,0.000,0.000
4,1:01,,,CIN 35,27,20,Cade York kicks off 65 yards touchback.,0.000,0.940
4,1:01,1,10,DAL 30,27,20,Cooper Rush pass complete short right to CeeDee Lamb for 15 yards (tackle by Mike Hilton),0.940,1.930
4,0:53,,,,,,Timeout #1 by Dallas Cowboys,,
4,0:53,1,10,DAL 45,27,20,Cooper Rush scrambles up the middle for 3 yards (tackle by Myles Murphy),1.930,1.790
4,0:36,2,7,DAL 48,27,20,Cooper Rush sacked by Trey Hendrickson for -8 yards,1.790,0.040
4,0:30,,,,,,Timeout #2 by Dallas Cowboys,,
4,0:30,3,15,DAL 40,27,20,Cooper Rush pass complete short middle to Jake Ferguson for 8 yards (tackle by DJ Ivey),0.040,-0.190
4,0:24,,,,,,Timeout #3 by Dallas Cowboys,,
4,0:24,4,7,DAL 48,27,20,Cooper Rush pass incomplete deep right intended for Jake Ferguson,-0.190,-2.390
4,0:19,1,10,DAL 48,27,20,Joe Burrow kneels for -1 yards,2.390,1.710
