Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA
4,5:07,3,3,JAX 33,10,6,Tony Pollard up the middle for 5 yards (tackle by Foyesade Oluokun),2.610,3.710
4,4:27,1,10,JAX 28,10,6,Tyjae Spears left end for 8 yards (tackle by Darnell Savage and Foyesade Oluokun),3.710,4.250
4,3:48,2,2,JAX 20,10,6,Tyjae Spears right end for 1 yard (tackle by Foyesade Oluokun and Devin Lloyd),4.250,3.720
4,3:11,3,1,JAX 19,10,6,Will Levis up the middle for 3 yards (tackle by Ventrell Miller),3.720,4.510
4,2:32,1,10,JAX 16,10,6,Tony Pollard right end for 3 yards (tackle by Travon Walker and DaVon Hamilton),4.510,4.390
4,2:00,2,7,JAX 13,10,6,Tony Pollard right tackle for 2 yards (tackle by DaVon Hamilton and Foyesade Oluokun),4.390,3.940
4,1:21,3,5,JAX 11,10,6,Will Levis pass complete short right to Calvin Ridley for 2 yards,3.940,2.930
4,1:15,4,3,JAX 9,10,6,Will Levis pass incomplete short right intended for Nick Westbrook-Ikhine,2.930,0.380
4,1:11,1,10,JAX 9,10,6,Tank Bigsby up the middle for 1 yard (tackle by Jeffery Simmons). Penalty on Tim Jones: Illegal Shift 5 yards (declined),-0.380,-0.710
4,1:07,2,9,JAX 10,10,6,Tank Bigsby right guard for no gain (tackle by Otis Reese and Sebastian Joseph-Day),-0.710,-1.300
4,1:03,,,,,,Timeout #1 by Tennessee Titans,,
4,1:03,3,9,JAX 10,10,6,Tank Bigsby up the middle for 4 yards (tackle by Sebastian Joseph-Day),-1.300,-2.470
4,0:59,,,,,,Timeout #2 by Tennessee Titans,,
4,0:59,4,5,JAX 14,10,6,Logan Cooke punts 52 yards returned by Mason Kinsey for 6 yards (tackle by Josiah Deguara),-2.470,-1.600
4,0:49,1,10,TEN 40,10,6,Will Levis pass incomplete deep right intended for Chigoziem Okonkwo (defended by Montaric Brown),1.600,1.050
4,0:43,2,10,TEN 40,10,6,Will Levis pass incomplete short left intended for Tyler Boyd (defended by Jarrian Jones),1.050,0.370
4,0:38,3,10,TEN 40,10,6,Will Levis pass incomplete short middle intended for Calvin Ridley (defended by Andre Cisco),0.370,-0.720
4,0:34,4,10,TEN 40,10,6,Penalty on Nicholas Petit-Frere: False Start 5 yards (accepted) (no play),-0.720,-1.040
4,0:34,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,0:34,4,15,TEN 35,10,6,Will Levis pass incomplete deep middle intended for Tyler Boyd,-1.040,-3.250
4,0:28,1,10,TEN 35,10,6,Mac Jones kneels for -2 yards,3.250,2.430
