Quarter,Time,Down,ToGo,Location,SEA,ARI,Detail,EPB,EPA
3,1:47,2,2,SEA 2,27,10,James Conner left tackle for no gain (tackle by Rayshawn Jenkins and Byron Murphy),5.720,4.950
3,1:08,3,2,SEA 2,27,16,Kyler Murray pass complete short middle to James Conner for 2 yards touchdown,4.950,7.000
3,1:05,,,SEA 2,27,18,Two Point Attempt: Kyler Murray rushes conversion succeeds.,1.000,1.000
3,1:05,,,ARI 35,27,18,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
3,1:05,1,10,SEA 30,27,18,Geno Smith pass complete short right to Pharaoh Brown for 6 yards (tackle by Mack Wilson and Starling Thomas),0.940,1.200
3,0:27,2,4,SEA 36,27,18,Kenny McIntosh right tackle for 2 yards (tackle by Kyzir White and Budda Baker),1.200,0.760
4,15:00,3,2,SEA 38,27,18,Penalty on Abraham Lucas: False Start 5 yards (accepted) (no play),0.760,0.100
4,15:00,3,7,SEA 33,27,18,Geno Smith pass complete short right to Zach Charbonnet for 1 yard (tackle by Sean Murphy-Bunting),0.100,-1.110
4,14:18,4,6,SEA 34,27,18,Michael Dickson punts 58 yards returned by Greg Dortch for 8 yards (tackle by Dareke Young),-1.110,0.140
4,14:04,1,10,ARI 16,27,18,James Conner right tackle for 2 yards (tackle by Derick Hall and Byron Murphy),-0.140,-0.350
4,13:40,2,8,ARI 18,27,18,Kyler Murray pass incomplete short right intended for Marvin Harrison. Penalty on Marvin Harrison: Offensive Pass Interference 9 yards (accepted) (no play),-0.350,-1.290
4,13:34,2,17,ARI 9,27,18,Kyler Murray pass complete short middle to Emari Demercado for 3 yards (tackle by Tyrice Knight),-1.290,-1.890
4,12:54,3,14,ARI 12,27,18,Kyler Murray scrambles left end for 3 yards (tackle by Ernest Jones),-1.890,-2.440
4,12:17,4,11,ARI 15,27,18,Chad Ryland punts 37 yards out of bounds,-2.440,-2.130
4,12:10,1,10,SEA 48,27,18,Geno Smith pass incomplete deep left intended for Noah Fant,2.130,1.580
4,12:05,2,10,SEA 48,27,18,Penalty on Charles Cross: False Start 5 yards (accepted) (no play),1.580,0.910
4,12:05,2,15,SEA 43,27,18,Geno Smith pass complete short left to Zach Charbonnet for no gain (tackle by Budda Baker). Penalty on Abraham Lucas: Illegal Shift 5 yards (declined) . Penalty on Abraham Lucas: Offensive Holding 10 yards (accepted) (no play),0.910,-0.440
4,11:37,2,25,SEA 33,27,18,Geno Smith pass incomplete deep right intended for D.K. Metcalf,-0.440,-1.090
4,11:32,3,25,SEA 33,27,18,Zach Charbonnet up the middle for 17 yards (tackle by Kyzir White and Jalen Thompson),-1.090,-0.060
4,10:50,4,8,SEA 50,27,18,Michael Dickson punts 48 yards out of bounds,-0.060,0.380
4,10:42,1,10,ARI 2,27,18,Kyler Murray pass incomplete short right intended for Michael Wilson. Penalty on Derick Hall: Defensive Offside 5 yards (accepted) (no play),-0.380,-0.190
4,10:38,1,5,ARI 7,27,18,James Conner up the middle for 10 yards. James Conner fumbles (tackle by Devon Witherspoon recovered by Tip Reiman at ARI-23,-0.190,0.480
4,10:08,1,10,ARI 23,27,18,Kyler Murray pass complete short left to Michael Wilson for 16 yards (tackle by Julian Love),0.480,1.530
4,9:52,1,10,ARI 39,27,18,Kyler Murray pass complete short right to Trey McBride for 7 yards (tackle by Devon Witherspoon and Coby Bryant),1.530,1.930
4,9:21,2,3,ARI 46,27,18,Kyler Murray pass complete short right to Trey McBride for 11 yards (tackle by Ernest Jones and Julian Love),1.930,2.720
4,8:56,1,10,SEA 43,27,18,Kyler Murray scrambles right end for 14 yards (tackle by Julian Love),2.720,3.640
4,8:36,1,10,SEA 29,27,18,Kyler Murray pass complete short right to Trey Benson for 4 yards (tackle by Tyrice Knight),3.640,3.640
4,8:09,2,6,SEA 25,27,18,James Conner up the middle for 4 yards (tackle by Leonard Williams),3.640,3.470
4,7:26,3,2,SEA 21,27,18,Kyler Murray pass incomplete deep left intended for Marvin Harrison,3.470,2.180
4,7:20,4,2,SEA 21,27,18,Chad Ryland 40 yard field goal no good,2.180,-0.940
4,7:16,1,10,SEA 30,27,18,Zach Charbonnet up the middle for no gain (tackle by Dante Stills),0.940,0.390
4,7:12,,,,,,Timeout #1 by Arizona Cardinals,,
4,7:12,2,10,SEA 30,27,18,Geno Smith pass complete short left to Zach Charbonnet for 8 yards (tackle by Mack Wilson),0.390,0.760
4,6:27,3,2,SEA 38,27,18,Geno Smith pass complete short right to D.K. Metcalf for 13 yards (tackle by Budda Baker and Jalen Thompson),0.760,2.320
4,5:45,1,10,ARI 49,27,18,Zach Charbonnet up the middle for no gain (tackle by Jesse Luketa),2.320,1.780
4,5:42,,,,,,Timeout #2 by Arizona Cardinals,,
4,5:42,2,10,ARI 49,27,18,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 12 yards (tackle by Budda Baker),1.780,3.120
4,5:35,,,,,,Timeout #3 by Arizona Cardinals,,
4,5:35,1,10,ARI 37,27,18,Kenny McIntosh up the middle for 2 yards (tackle by Budda Baker and Kyzir White),3.120,2.840
4,5:07,2,8,ARI 35,27,18,Zach Charbonnet left tackle for 6 yards (tackle by Garrett Williams and Darius Robinson),2.840,2.940
4,4:21,3,2,ARI 29,27,18,Zach Charbonnet up the middle for 10 yards (tackle by Dadrion Taylor-Demerson and Budda Baker),2.940,4.310
4,3:35,1,10,ARI 19,27,18,Zach Charbonnet left end for -1 yards (tackle by Julian Okwara),4.310,3.630
4,2:52,2,11,ARI 20,27,18,Kenny McIntosh left tackle for no gain (tackle by Budda Baker),3.630,2.940
4,2:08,3,11,ARI 20,27,18,Zach Charbonnet left tackle for 3 yards (tackle by Mack Wilson and Kyzir White),2.940,2.310
4,2:00,4,8,ARI 17,30,18,Jason Myers 35 yard field goal good,2.310,3.000
4,1:56,,,SEA 35,30,18,Jason Myers kicks off 65 yards touchback.,0.000,0.940
4,1:56,1,10,ARI 30,30,18,Penalty on Isaiah Adams: False Start 5 yards (accepted) (no play),0.940,0.610
4,1:56,1,15,ARI 25,30,18,James Conner up the middle for 16 yards (tackle by Josh Jobe and Devon Witherspoon),0.610,1.660
4,1:36,1,10,ARI 41,30,18,Kyler Murray pass complete short right to Trey McBride for 9 yards (tackle by Devon Witherspoon),1.660,2.340
4,1:15,2,1,ARI 50,30,18,Kyler Murray pass complete short middle to Marvin Harrison for 15 yards (tackle by Julian Love),2.340,3.250
4,0:54,1,10,SEA 35,30,18,Kyler Murray pass incomplete short left intended for Trey McBride (defended by Leonard Williams),3.250,2.700
4,0:49,2,10,SEA 35,30,18,Kyler Murray pass complete short left to Trey McBride for 12 yards (tackle by Ernest Jones),2.700,4.040
4,0:29,1,10,SEA 23,30,18,Kyler Murray pass complete short left to James Conner for 11 yards (tackle by Rayshawn Jenkins),4.040,4.780
4,0:22,1,10,SEA 12,30,18,Kyler Murray pass incomplete short right intended for Zay Jones. Penalty on Dre'Mont Jones: Defensive Offside 5 yards (accepted) (no play),4.780,5.930
4,0:16,1,5,SEA 7,30,18,Kyler Murray pass incomplete short right intended for Marvin Harrison (defended by Josh Jobe),5.930,5.020
4,0:12,2,5,SEA 7,30,18,Kyler Murray pass incomplete short left intended for Trey McBride (defended by Julian Love),5.020,4.160
4,0:08,3,5,SEA 7,30,18,Kyler Murray sacked by Rayshawn Jenkins for -16 yards,4.160,1.930
