Quarter,Time,Down,ToGo,Location,NOR,NYG,Detail,EPB,EPA
3,9:33,1,15,NYG 12,7,3,Drew Lock pass incomplete deep left intended for Darius Slayton. Penalty on Payton Turner: Defensive Offside 5 yards (accepted) (no play),-0.510,-0.060
3,9:26,1,10,NYG 17,7,3,Drew Lock pass incomplete short right intended for Tyrone Tracy,-0.060,-0.580
3,9:21,2,10,NYG 17,7,3,Drew Lock pass complete short middle to Wan'Dale Robinson for 8 yards (tackle by Ugo Amadi),-0.580,-0.240
3,8:35,3,2,NYG 25,7,3,Drew Lock pass incomplete short middle intended for Wan'Dale Robinson (defended by Chase Young),-0.240,-1.700
3,8:30,4,2,NYG 25,7,3,Jamie Gillan punts 44 yards out of bounds,-1.700,-1.000
3,8:21,1,10,NOR 31,7,3,Penalty on Lucas Patrick: False Start 5 yards (accepted) (no play),1.000,0.670
3,8:21,1,15,NOR 26,7,3,Alvin Kamara right end for -2 yards (tackle by Micah McFadden),0.670,-0.490
3,7:43,2,17,NOR 24,7,3,Derek Carr pass complete short middle to Alvin Kamara for 5 yards (tackle by Darius Muasau),-0.490,-0.490
3,7:01,3,12,NOR 29,7,3,Derek Carr pass complete deep right to Cedrick Wilson for 18 yards (tackle by Tre Hawkins),-0.490,2.060
3,6:18,1,10,NOR 47,7,3,Derek Carr pass incomplete short right intended for Kevin Austin,2.060,1.520
3,6:13,2,10,NOR 47,7,3,Kendre Miller left end for 9 yards (tackle by Dane Belton and Cory Durden),1.520,2.020
3,5:31,3,1,NYG 44,7,3,Kendre Miller right guard for 3 yards (tackle by Cory Durden),2.020,2.850
3,4:52,1,10,NYG 41,7,3,Alvin Kamara left end for -2 yards (tackle by Jordon Riley),2.850,2.040
3,4:13,2,12,NYG 43,7,3,Derek Carr pass complete short left to Foster Moreau for 32 yards (tackle by Jason Pinnock),2.040,4.840
3,3:43,1,10,NYG 11,13,3,Derek Carr pass complete short middle to Juwan Johnson for 11 yards touchdown,4.840,7.000
3,3:40,,,NYG 15,14,3,Blake Grupe kicks extra point good,0.000,0.000
3,3:40,,,NOR 35,14,3,Blake Grupe kicks off 60 yards returned by Ihmir Smith-Marsette for 24 yards (tackle by Rico Payton),0.000,0.870
3,3:36,1,10,NYG 29,14,3,Tyrone Tracy up the middle for 5 yards (tackle by Pete Werner and Demario Davis),0.870,1.000
3,3:06,2,5,NYG 34,14,3,Tyrone Tracy left tackle for 4 yards (tackle by Khalen Saunders),1.000,0.830
3,2:33,3,1,NYG 38,14,3,Drew Lock pass complete short right to Wan'Dale Robinson for 8 yards (tackle by Ugo Amadi),0.830,1.990
3,1:51,1,10,NYG 46,14,3,Drew Lock pass complete short left to Wan'Dale Robinson for 4 yards (tackle by Ugo Amadi),1.990,1.990
3,1:24,2,6,NYG 50,14,3,Tyrone Tracy up the middle for 3 yards (tackle by Kool-Aid McKinstry),1.990,1.690
3,0:51,3,3,NOR 47,14,3,Drew Lock pass complete short left to Daniel Bellinger for 9 yards (tackle by Demario Davis),1.690,3.050
3,0:12,1,10,NOR 38,14,3,Drew Lock scrambles up the middle for no gain (tackle by Pete Werner). Penalty on John Michael Schmitz: Offensive Holding 10 yards (accepted) (no play),3.050,2.390
4,15:00,1,20,NOR 48,14,3,Drew Lock pass complete short middle to Malik Nabers for 14 yards (tackle by Ugo Amadi),2.390,3.050
4,14:22,2,6,NOR 34,14,3,Tyrone Tracy left tackle for 4 yards (tackle by Nathan Shepherd and Khalen Saunders),3.050,2.870
4,13:52,3,2,NOR 30,14,3,Drew Lock pass incomplete short left intended for Tyrone Tracy,2.870,1.500
4,13:47,4,2,NOR 30,14,3,Graham Gano yard field goal good. Penalty on Jake Kubas: Unnecessary Roughness / Offense 15 yards (accepted) (no play),1.500,0.270
4,13:42,4,17,NOR 45,14,3,Jamie Gillan punts 34 yards fair catch by Dante Pettis at NO-11. Penalty on Jordan Howden: Running Into the Kicker 5 yards (declined),0.270,0.370
4,13:35,1,10,NOR 11,14,3,Kendre Miller right end for 7 yards (tackle by Darius Muasau),-0.370,0.000
4,12:59,2,3,NOR 18,14,3,Kendre Miller right end for 4 yards (tackle by Dane Belton),0.000,0.410
4,12:25,1,10,NOR 22,14,3,Derek Carr pass complete short middle to Marquez Valdes-Scantling for 16 yards (tackle by Jason Pinnock and Tre Hawkins),0.410,1.470
4,11:46,1,10,NOR 38,14,3,Kendre Miller right end for -3 yards (tackle by Micah McFadden and Tre Hawkins),1.470,0.520
4,11:15,2,13,NOR 35,14,3,Derek Carr pass incomplete short right intended for Juwan Johnson,0.520,-0.160
4,11:12,3,13,NOR 35,14,3,Penalty on Derek Carr: Delay of Game 5 yards (accepted) (no play),-0.160,-0.820
4,11:12,3,18,NOR 30,14,3,Alvin Kamara up the middle for 16 yards (tackle by Jason Pinnock and Art Green),-0.820,-0.320
4,10:24,4,2,NOR 46,14,3,Matthew Hayball punts 36 yards downed by Payton Turner,-0.320,-0.040
4,10:14,1,10,NYG 18,14,3,Drew Lock pass complete short left to Malik Nabers for 3 yards (tackle by Ugo Amadi),0.040,0.010
4,9:46,2,7,NYG 21,14,3,Drew Lock pass complete short middle to Daniel Bellinger for 12 yards (tackle by Will Harris),0.010,1.140
4,9:02,1,10,NYG 33,14,3,Tyrone Tracy up the middle for 1 yard (tackle by Carl Granderson),1.140,0.730
4,8:25,2,9,NYG 34,14,3,Drew Lock pass incomplete deep left intended for Malik Nabers,0.730,0.040
4,8:20,3,9,NYG 34,14,3,Drew Lock scrambles up the middle for 14 yards (tackle by Alontae Taylor and Demario Davis),0.040,2.130
4,7:46,1,10,NYG 48,14,3,Tyrone Tracy left guard for 4 yards (tackle by Nathan Shepherd),2.130,2.120
4,7:17,2,6,NOR 48,14,3,Drew Lock pass complete short left to Darius Slayton for 7 yards (tackle by Kool-Aid McKinstry),2.120,2.850
4,6:41,1,10,NOR 41,14,3,Drew Lock sacked by Khalen Saunders for -8 yards,2.850,1.230
4,6:01,2,18,NOR 49,14,3,Drew Lock pass incomplete deep left intended for Wan'Dale Robinson,1.230,0.560
4,5:56,3,18,NOR 49,14,3,Drew Lock pass complete short right to Daniel Bellinger for 8 yards (tackle by Will Harris),0.560,0.530
4,5:12,4,10,NOR 41,14,3,Drew Lock pass complete deep middle to Wan'Dale Robinson for 18 yards (tackle by Alontae Taylor),0.530,4.040
4,4:40,1,10,NOR 23,14,3,Drew Lock pass complete deep left to Malik Nabers for 22 yards (tackle by Kool-Aid McKinstry),4.040,6.970
4,4:14,,,,,,Timeout #1 by New Orleans Saints,,
4,4:14,1,1,NOR 1,14,9,Tyrone Tracy right guard for no gain Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Tyrone Tracy right guard for 1 yard touchdown,6.970,7.000
4,4:11,,,NOR 2,14,11,Two Point Attempt: Drew Lock pass complete to to Malik Nabers for no gain,1.000,1.000
4,4:11,,,NYG 35,14,11,Graham Gano kicks off 65 yards touchback.,0.000,0.940
4,4:11,1,10,NOR 30,14,11,Derek Carr pass incomplete deep left intended for Marquez Valdes-Scantling,0.940,0.390
4,4:06,2,10,NOR 30,14,11,Derek Carr right end for 9 yards (tackle by Adoree' Jackson and Dane Belton),0.390,0.890
4,3:59,3,1,NOR 39,14,11,Kendre Miller left end for -1 yards (tackle by Micah McFadden),0.890,-0.850
4,3:16,4,2,NOR 38,14,11,Matthew Hayball punts 51 yards returned by Ihmir Smith-Marsette for 3 yards (tackle by J.T. Gray),-0.850,0.280
4,3:07,1,10,NYG 14,14,11,Drew Lock scrambles left end for 3 yards (tackle by Pete Werner),-0.280,-0.370
4,2:33,2,7,NYG 17,14,11,Drew Lock pass incomplete deep middle intended for Malik Nabers,-0.370,-1.040
4,2:29,3,7,NYG 17,14,11,Drew Lock pass complete deep left to Darius Slayton for 20 yards (tackle by Kool-Aid McKinstry),-1.040,1.400
4,2:23,1,10,NYG 37,14,11,Penalty on Drew Lock: Delay of Game 5 yards (accepted) (no play),1.400,1.070
4,2:23,1,15,NYG 32,14,11,Drew Lock pass incomplete short right intended for Daniel Bellinger (defended by Payton Turner),1.070,0.180
4,2:19,2,15,NYG 32,14,11,Drew Lock pass complete short left to Tyrone Tracy for 6 yards (tackle by Pete Werner),0.180,0.300
4,2:00,3,9,NYG 38,14,11,Drew Lock pass incomplete short right intended for Wan'Dale Robinson,0.300,-0.850
4,1:52,4,9,NYG 38,14,11,Drew Lock pass short right intended for Darius Slayton is intercepted by Demario Davis at NO-47 and returned for no gain,-0.850,-2.060
4,1:44,1,10,NOR 47,14,11,Jamaal Williams up the middle for 1 yard (tackle by Elijah Garcia and Elijah Chatman),2.060,1.650
4,1:39,,,,,,Timeout #1 by New York Giants,,
4,1:39,2,9,NOR 48,14,11,Jake Haener sacked by Kayvon Thibodeaux for -10 yards,1.650,-0.360
4,1:34,,,,,,Timeout #2 by New York Giants,,
4,1:34,3,19,NOR 38,14,11,Alvin Kamara up the middle for 1 yard (tackle by Darius Muasau),-0.360,-0.780
4,1:31,,,,,,Timeout #3 by New York Giants,,
4,1:31,4,18,NOR 39,14,11,Matthew Hayball punts 43 yards returned by Ihmir Smith-Marsette for 9 yards (tackle by J.T. Gray),-0.780,-0.740
4,1:21,1,10,NYG 27,14,11,Drew Lock pass complete short middle to Tyrone Tracy for 13 yards (tackle by Will Harris),0.740,1.600
4,1:02,1,10,NYG 40,14,11,Drew Lock pass incomplete deep right intended for Malik Nabers (defended by Alontae Taylor),1.600,1.050
4,0:57,2,10,NYG 40,14,11,Drew Lock pass incomplete short right intended for Malik Nabers (defended by Carl Granderson),1.050,0.370
4,0:54,3,10,NYG 40,14,11,Drew Lock pass incomplete short middle intended for Wan'Dale Robinson (defended by Ugo Amadi),0.370,-0.720
4,0:49,4,10,NYG 40,14,11,Drew Lock scrambles right end for 25 yards (tackle by Jordan Howden),-0.720,3.250
4,0:41,1,10,NOR 35,14,11,Drew Lock pass complete short right to Malik Nabers for 23 yards (tackle by Carl Granderson),3.250,4.780
4,0:20,1,10,NOR 12,14,11,Drew Lock spiked the ball,4.780,4.100
4,0:20,2,10,NOR 12,14,11,Penalty on Joshua Ezeudu: False Start 5 yards (accepted) (no play),4.100,3.420
4,0:20,2,15,NOR 17,14,11,Drew Lock pass incomplete deep middle intended for Wan'Dale Robinson (defended by Will Harris),3.420,2.840
4,0:16,3,15,NOR 17,14,11,Drew Lock pass incomplete deep right intended for Darius Slayton,2.840,2.310
4,0:11,4,15,NOR 17,14,11,Graham Gano 35 yard field goal no good blocked by Bryan Bresee,2.310,-0.610
4,0:08,1,10,NOR 25,14,11,Jake Haener kneels for -1 yards,0.610,-0.070
